Date,TLT_Open,TLT_High,TLT_Low,TLT_Close,TLT_Volume,TLT_ATRPercentOfClose20,TLT_SQN25,TLT_SQN50,TLT_SQN100,TLT_SQN200,TLT_MACD,TLT_MACD_Avg,TLT_MACD_Diff,TLT_LinReg10,TLT_LinReg30,TLT_LinReg90,TLT_LinReg270
4/17/2017, 123.46, 123.55, 122.86, 123.09, 8015015, 0.842687229913344, 1.78479659659833, 0.755489434956603, 0, 0, 0.862932247376833, 0.617722975472599, 0.245209271904234, 123.097454545455, 122.974064516128, 120.382195585997, 120.382195585997
4/18/2017, 123.86, 124.98, 123.55, 124.7, 11529704, 0.865998817750857, 2.42693701256755, 1.01602565358111, 0, 0, 1.02101941267739, 0.698382262913557, 0.322637149763833, 124.001818181819, 123.471655913978, 120.616608663458, 120.616608663458
4/19/2017, 124.1, 124.17, 123.7, 124.02, 7343991, 0.867525801845309, 1.99096833509372, 0.769968242927294, 0, 0, 1.07899631526126, 0.774505073383098, 0.304491241878166, 124.374, 123.820774193548, 120.804054054054, 120.804054054054
4/20/2017, 123.73, 123.92, 123.14, 123.54, 7932918, 0.862967641635199, 1.50307034476045, 0.535765828569537, 0, 0, 1.07383296184111, 0.8343706510747, 0.239462310766406, 124.490181818182, 124.030193548386, 120.957733333333, 120.957733333333
4/21/2017, 123.82, 124.24, 123.49, 123.54, 9798520, 0.850173800592778, 1.7329522594354, 0.256998276147737, 0, 0, 1.05755018680433, 0.879006558220627, 0.178543628583708, 124.452545454546, 124.139784946236, 121.10436431989, 121.10436431989
4/24/2017, 122.55, 123.16, 122.46, 122.93, 8066371, 0.855600323427726, 1.30129356676165, 0.414790351348704, 0, 0, 0.984080204233592, 0.90002128742322, 0.0840589168103723, 123.978545454546, 124.156086021505, 121.213256743256, 121.213256743256
4/25/2017, 122.21, 122.46, 121.38, 121.45, 8122253, 0.886537672877907, 0.644086237365462, 0.147888431506541, 0, 0, 0.79724098479231, 0.879465226897038, -0.0822242421047279, 122.984181818182, 123.898623655913, 121.242771827329, 121.242771827329
4/26/2017, 121.52, 122.14, 121.43, 122.12, 5766213, 0.866659845663861, 0.56288879832934, 0.336732152827415, 0, 0, 0.695218907055789, 0.842615962928788, -0.147397055872999, 122.441454545455, 123.731634408601, 121.304174050633, 121.304174050633
4/27/2017, 121.75, 122.35, 121.58, 122.08, 4978328, 0.855133316963034, 0.42057924621918, 0.494421850455021, 0, 0, 0.604173473990926, 0.794927465141216, -0.19075399115029, 122.035272727273, 123.622322580644, 121.360851851852, 121.360851851852
4/28/2017, 121.6, 122.44, 121.55, 122.35, 8166295, 0.846954978080137, 0.543049029710338, 0.649225847467927, 0, 0, 0.547494875732227, 0.745440947259418, -0.197946071527191, 121.853454545455, 123.48417204301, 121.428087925323, 121.428087925323
5/1/2017, 121.69, 122.14, 120.71, 121.08, 8795929, 0.880770519406174, 0.0683949447034176, 0.289402213545091, 0, 0, 0.395538767401547, 0.675460511287844, -0.279921743886297, 121.218, 123.205505376343, 121.431542756391, 121.431542756391
5/2/2017, 120.97, 121.78, 120.94, 121.7, 6727813, 0.866980359615568, 0.0863520793593143, 0.272175537053664, 0, 0, 0.321435961531037, 0.604655601336483, -0.283219639805445, 121.228363636364, 123.02376344086, 121.464079173838, 121.464079173838
5/3/2017, 122.22, 122.39, 121.55, 121.78, 8932912, 0.857578701568023, 0.327372625637107, 0.324991757857701, 0, 0, 0.266096886144965, 0.536943858298179, -0.270846972153214, 121.294000000001, 122.901720430107, 121.498901960784, 121.498901960784
5/4/2017, 121.01, 121.22, 120.67, 121.18, 9707211, 0.86453323620322, -0.0278987539725119, 0.179733481912033, 0, 0, 0.17184436968985, 0.463923960576513, -0.292079590886663, 121.178545454546, 122.724967741935, 121.50444870041, 121.50444870041
5/5/2017, 121.38, 121.47, 120.89, 121.29, 5605412, 0.844471355305061, 0.276191312890013, 0.13463846070235, 0, 0, 0.104816393895206, 0.392102447240252, -0.287286053345046, 121.229818181819, 122.547225806451, 121.514683239775, 121.514683239775
5/8/2017, 121.11, 121.14, 120.53, 120.63, 8057780, 0.838138391367847, -0.00729767389903152, -0.2311309797718, 0, 0, -0.00154246342418674, 0.313373465107364, -0.314915928531551, 121.053818181819, 122.308989247311, 121.494568965517, 121.494568965517
5/9/2017, 120.38, 120.63, 120.14, 120.62, 5536746, 0.816609206128073, -0.287412052050885, -0.102250834209673, 0, 0, -0.0856521953590601, 0.233568333014079, -0.319220528373139, 120.703818181819, 122.10776344086, 121.474685903983, 121.474685903983
5/10/2017, 120.91, 121.06, 120.16, 120.48, 6517131, 0.814030812757385, -0.141176981048918, -0.2124956631625, 0, 0, -0.16174213125835, 0.154506240159593, -0.316248371417944, 120.484727272728, 121.839999999999, 121.449280898876, 121.449280898876
5/11/2017, 120, 120.57, 119.91, 120.48, 7479834, 0.800719710366528, -0.251055900381543, 0.229458118254501, 0, 0, -0.219513538230643, 0.079702284481546, -0.299215822712189, 120.347090909092, 121.621139784946, 121.424749694749, 121.424749694749
5/12/2017, 121.01, 121.49, 120.98, 121.39, 7464184, 0.796582710023159, 0.0684262965489184, 0.501011691630103, 0, 0, -0.189681865194899, 0.025825454546257, -0.215507319741156, 120.665090909091, 121.457956989247, 121.436175824175, 121.440401337792
5/15/2017, 121.06, 121.21, 120.75, 121.06, 5173188, 0.785249598638904, 0.114624372090749, 0.36967055807505, 0, 0, -0.190472641418239, -0.0174341646466422, -0.173038476771597, 120.667454545455, 121.269591397849, 121.442117216117, 121.441255259467
5/16/2017, 121.11, 121.89, 121.11, 121.51, 6722728, 0.777377998441811, 0.0830970977324789, 0.580915237636223, 0, 0, -0.153024131149706, -0.0445521579472551, -0.108471973202451, 120.950363636364, 121.200064516128, 121.508803418803, 121.461031800503
5/17/2017, 122.63, 123.54, 122.39, 123.28, 11236435, 0.81023881052183, 0.242744727233833, 0.963537984987661, 0, 0, 0.0192563157119565, -0.0317904632154128, 0.0510467789273693, 121.871090909091, 121.312150537634, 121.628315018315, 121.554120940649
5/18/2017, 123.75, 123.94, 123.19, 123.42, 8350484, 0.799237793980511, 0.103360846630778, 1.12899137478633, 0, 0, 0.165182519769274, 0.00760413338152468, 0.15757838638775, 122.638363636364, 121.452021505376, 121.773728937729, 121.649532894737
5/19/2017, 123.36, 123.78, 123.01, 123.71, 11277436, 0.788617186213086, 0.0792306610898096, 1.40544426765555, 0, 0, 0.300763648078913, 0.0662360363210024, 0.234527611757911, 123.405636363637, 121.60352688172, 121.928876678876, 121.753307560137
5/22/2017, 123.41, 123.56, 123.26, 123.37, 4063071, 0.769488858726593, 0.0901999706104782, 1.25057318329344, 0, 0, 0.376438165722305, 0.128276462201263, 0.248161703521043, 123.791454545455, 121.663032258064, 122.076837606837, 121.83947401641
5/23/2017, 123.51, 123.62, 122.48, 122.54, 7901311, 0.782481218182184, -0.612153847460105, 1.23824141554705, 0, 0, 0.365226597884828, 0.175666489337976, 0.189560108546852, 123.739090909091, 121.637397849462, 122.181631257631, 121.889128014842
5/24/2017, 122.8, 123.26, 122.54, 123.23, 7468346, 0.76840855353601, -0.213199637406714, 1.25560603778069, 0, 0, 0.407323214560492, 0.221997834382479, 0.185325380178013, 123.792363636364, 121.767784946236, 122.303221001221, 121.964397979798
5/25/2017, 123.02, 123.28, 122.76, 123.27, 6464812, 0.750843163378197, -0.0645577891056873, 1.00722028145782, 0, 0, 0.438853917488018, 0.265369051003587, 0.173484866484431, 123.709454545455, 121.942688172042, 122.453374847374, 122.038528712871
5/26/2017, 123.55, 123.74, 123.25, 123.48, 2963919, 0.731929178102922, -0.00343459494660888, 1.18935428540011, 0.5139847571973, 0, 0.475308412174968, 0.307356923237863, 0.167951488937105, 123.72890909091, 122.16840860215, 122.577313797313, 122.118200349446
