Date,IHE_Open,IHE_High,IHE_Low,IHE_Close,IHE_Volume,IHE_ATRPercentOfClose20,IHE_SQN25,IHE_SQN50,IHE_SQN100,IHE_SQN200,IHE_MACD,IHE_MACD_Avg,IHE_MACD_Diff,IHE_LinReg10,IHE_LinReg30,IHE_LinReg90,IHE_LinReg270
2/13/2017, 148.87, 149.8, 148.7, 149.14, 26797, 1.26467224683755, 0.382191751067996, 0, 0, 0, 1.35951726952857, 0.424538270303602, 0.934978999224965, 149.549454545454, 144.337310344828, 144.337310344828, 144.337310344828
2/14/2017, 149.04, 151.37, 149.01, 151.04, 53886, 1.26445019828313, 0.426772239955393, 0, 0, 0, 1.67683355755923, 0.674997327754728, 1.00183622980451, 150.419272727273, 145.215397849462, 145.215397849462, 145.215397849462
2/15/2017, 150.71, 153.63, 150.71, 153.43, 17897, 1.27767340188522, 0.795317384467968, 0, 0, 0, 2.0969892412578, 0.959395710455343, 1.13759353080246, 151.858363636364, 146.367612903226, 146.291169354839, 146.291169354839
2/16/2017, 153.6, 153.61, 151.44, 152.57, 17622, 1.2917464675145, 1.21126011796312, 0, 0, 0, 2.33366974283064, 1.2342505169304, 1.09941922590023, 152.720363636364, 147.535397849462, 147.149488636364, 147.149488636364
2/17/2017, 152.2, 153.21, 151.95, 153.21, 9819, 1.26315299667941, 1.26436732993514, 0, 0, 0, 2.5435627883042, 1.49611297120516, 1.04744981709904, 153.635454545454, 148.770752688172, 147.992174688057, 147.992174688057
2/21/2017, 153.36, 153.45, 152.09, 152.72, 20225, 1.24837144506411, 1.09901044183208, 0, 0, 0, 2.63993411694241, 1.72487720035261, 0.915056916589801, 154.115636363636, 149.872623655914, 148.69356302521, 148.69356302521
2/22/2017, 152.69, 153.17, 152.1, 152.21, 11440, 1.22507537438855, 1.48715115291405, 0, 0, 0, 2.6446702391867, 1.90883580811943, 0.735834431067266, 153.892363636364, 150.969333333333, 149.268666666667, 149.268666666667
2/23/2017, 152.41, 153.43, 151.58, 153.05, 22580, 1.2178718497151, 1.50386352026621, 0, 0, 0, 2.68525073109672, 2.06411879271489, 0.621131938381829, 153.922545454545, 152.100473118279, 149.876426426426, 149.876426426426
2/24/2017, 152.48, 153.42, 152.29, 153.42, 50276, 1.19101500631568, 1.85523337047527, 0, 0, 0, 2.7159590853727, 2.19448685124645, 0.521472234126253, 153.972909090909, 153.028, 150.464011379801, 150.464011379801
2/27/2017, 152.96, 155.68, 152.28, 155.04, 30842, 1.22929080337658, 2.41428100224834, 0, 0, 0, 2.8382980058411, 2.32324908216538, 0.515048923675717, 154.390909090909, 154.116150537634, 151.16008097166, 151.16008097166
2/28/2017, 154.46, 154.46, 152.9, 153.26, 9999, 1.25120568868413, 2.21556698239533, 0, 0, 0, 2.75980800899049, 2.4105608675304, 0.349247141460088, 153.936181818182, 154.952559139785, 151.616692307692, 151.616692307692
3/1/2017, 154.59, 155.34, 153.58, 154.92, 33722, 1.24304024435414, 2.75747264754781, 0, 0, 0, 2.79928384611338, 2.488305463247, 0.310978382866385, 154.210181818182, 155.783376344086, 152.191243902439, 152.191243902439
3/2/2017, 154.8, 156.23, 154.32, 154.32, 30803, 1.24736395102758, 2.45763900522763, 0, 0, 0, 2.75044829005734, 2.54073402860907, 0.20971426144827, 154.543272727273, 156.502731182796, 152.658466898955, 152.658466898955
3/3/2017, 154.64, 155.8, 154.3, 154.91, 15521, 1.22889771271349, 2.84354659067464, 0, 0, 0, 2.72790820152278, 2.57816886319181, 0.149739338330972, 154.859636363636, 157.130473118279, 153.138815060908, 153.138815060908
3/6/2017, 154.34, 154.86, 152.62, 153.15, 11398, 1.25563250044156, 2.21427139702533, 0, 0, 0, 2.53876245464789, 2.57028758148303, -0.0315251268351311, 154.568363636364, 157.357462365591, 153.419735729387, 153.419735729387
3/7/2017, 152.77, 152.77, 150.53, 152.16, 42559, 1.286705517682, 2.24512772917379, 0, 0, 0, 2.28266521758462, 2.51276310870335, -0.230097891118723, 153.840363636364, 157.31511827957, 153.588696969697, 153.588696969697
3/8/2017, 152.27, 154.23, 151.93, 152.96, 18883, 1.29116014639101, 2.06011633918655, 0, 0, 0, 2.11982361911529, 2.43417521078574, -0.314351591670441, 153.317272727273, 157.212344086021, 153.810541062802, 153.810541062802
