Date,IEI_Open,IEI_High,IEI_Low,IEI_Close,IEI_Volume,IEI_ATRPercentOfClose20,IEI_SQN25,IEI_SQN50,IEI_SQN100,IEI_SQN200,IEI_MACD,IEI_MACD_Avg,IEI_MACD_Diff,IEI_LinReg10,IEI_LinReg30,IEI_LinReg90,IEI_LinReg270
6/22/2017, 124.15, 124.2, 124.06, 124.15, 148756, 0.187538283974433, 0.107859515185221, 0.522642834282356, 0.710364721285762, 0, 0.0997466598918351, 0.117764536606842, -0.0180178767150065, 124.125999999997, 124.220193548387, 124.27432967033, 124.035420168067
6/23/2017, 124.15, 124.2, 124.1, 124.18, 256776, 0.182144741968551, 0.294545432773608, 0.377246736230066, 0.61605014156695, 0, 0.101768795400815, 0.114565388365636, -0.012796592964821, 124.14836363636, 124.195956989247, 124.293474969475, 124.054093663912
6/26/2017, 124.18, 124.26, 124.18, 124.23, 200641, 0.176187695039619, 0.360259119688239, 0.250957090811569, 0.787345866124023, 0, 0.106181935239476, 0.112888697740404, -0.00670676250092796, 124.172909090906, 124.196021505376, 124.310893772894, 124.073807072212
6/27/2017, 124, 124, 123.83, 123.91, 405970, 0.18395131536626, 0.00330768647771919, 0.0652214643050329, 0.607363162779194, 0, 0.0829024073610469, 0.106891439664533, -0.023989032303486, 124.074545454542, 124.147505376344, 124.320510378511, 124.082538984406
6/28/2017, 123.9, 123.99, 123.83, 123.98, 270125, 0.181107736027437, 0.384344098506721, -0.206892206546161, 0.616232258265586, 0, 0.0693027498225689, 0.0993737016961401, -0.0300709518735712, 124.060545454542, 124.109634408602, 124.336967032967, 124.093216627327
6/29/2017, 123.64, 123.84, 123.61, 123.75, 429240, 0.187321618238768, -0.226897382327757, -0.214824361796738, 0.340363535087924, 0, 0.0395103942032478, 0.0874010401975616, -0.0478906459943139, 123.945272727269, 124.075677419355, 124.341252747253, 124.096209032258
6/30/2017, 123.74, 123.78, 123.55, 123.57, 266275, 0.187521224764872, -0.434266745770144, -0.253208864213067, 0.232268874333431, 0, 0.00135956978124341, 0.070192746114298, -0.0688331763330546, 123.802727272724, 124.013612903226, 124.339455433456, 124.093371428571
7/3/2017, 123.4, 123.43, 123.13, 123.18, 973930, 0.196569230857164, -0.885632335016592, -0.605051488294398, -0.0790460637203258, 0, -0.0596572820568753, 0.0442227404800634, -0.103880022536939, 123.515090909088, 123.904580645161, 124.324608058608, 124.078322709661
7/5/2017, 123.16, 123.32, 123.14, 123.24, 2614956, 0.193952677411037, -1.00367022430163, -0.420007560388913, 0.121338502728914, 0, -0.101996328003452, 0.0149789267833603, -0.116975254786812, 123.313636363633, 123.804860215053, 124.319035409036, 124.065499507874
7/6/2017, 123.15, 123.19, 123.04, 123.15, 735364, 0.192509878732678, -1.10707896823627, -0.215959391693847, 0.107266308294888, 0, -0.141185081061266, -0.016253874785565, -0.124931206275701, 123.131818181815, 123.682709677419, 124.303023199023, 124.050192587209
7/7/2017, 123.18, 123.19, 123.05, 123.1, 447062, 0.188645101442996, -0.980849475429381, -0.4016627307343, 0.135654315058483, 0, -0.174268177262562, -0.0478567352809643, -0.126411441981597, 122.995999999997, 123.574301075268, 124.282388278388, 124.033714967203
7/10/2017, 123.22, 123.28, 123.16, 123.23, 213491, 0.186327204319169, -1.21644643733719, -0.360116208708852, 0.36608703533445, 0, -0.187831649474262, -0.0758517181196239, -0.111979931354638, 122.96836363636, 123.487075268817, 124.252288156288, 124.021583088667
7/11/2017, 123.15, 123.35, 123.15, 123.35, 347917, 0.184945653172587, -0.866308253487201, -0.287079466381289, 0.480743114254012, 0, -0.186745120301381, -0.0980303985559754, -0.0887147217454061, 123.043999999997, 123.422193548387, 124.222358974359, 124.013348369188
7/12/2017, 123.63, 123.66, 123.52, 123.57, 240771, 0.187929060475007, -0.89570717985508, 0.076339772662095, 0.425648604496142, 0, -0.166215843937451, -0.11166748763227, -0.0545483563051803, 123.179636363633, 123.399161290322, 124.203404151404, 124.011876281613
7/13/2017, 123.52, 123.53, 123.38, 123.48, 315473, 0.186356286870358, -0.797532953694591, -0.122216531662888, 0.28263328854801, 0, -0.155416942581795, -0.120417378622175, -0.0349995639596193, 123.316727272724, 123.368193548387, 124.180007326008, 124.007721916732
7/14/2017, 123.81, 123.82, 123.61, 123.63, 348275, 0.190574379904669, -0.464436479908885, 0.173582369753391, 0.382848660189434, 0, -0.133219319666892, -0.122977766831119, -0.0102415528357737, 123.486909090906, 123.348989247311, 124.15873992674, 124.008059701492
7/17/2017, 123.63, 123.74, 123.59, 123.67, 356744, 0.187051629807014, -0.329203255795206, 0.320206441753225, 0.349405000780016, 0, -0.11111896758635, -0.120606006982165, 0.00948703939581502, 123.641454545451, 123.35552688172, 124.133677655678, 124.009518518518
