Date,IGV_Open,IGV_High,IGV_Low,IGV_Close,IGV_Volume,IGV_ATRPercentOfClose20,IGV_SQN25,IGV_SQN50,IGV_SQN100,IGV_SQN200,IGV_MACD,IGV_MACD_Avg,IGV_MACD_Diff,IGV_LinReg10,IGV_LinReg30,IGV_LinReg90,IGV_LinReg270
7/5/2017, 135.35, 136.89, 135.35, 136.5, 146179, 1.42724042189384, -0.271530936693362, 0.77342591990753, 1.62436470295745, 0, 0.202564135961296, 0.726125930895781, -0.523561794934485, 135.759999999997, 137.53159139785, 140.627145299145, 141.125697588583
7/6/2017, 135.47, 136.2, 135.11, 135.46, 163583, 1.41759487456875, -0.370561933225349, 0.625473724041431, 1.36805455308119, 0, 0.0247321116633827, 0.585847167049301, -0.561115055385919, 134.890545454542, 137.039526881721, 140.639667887668, 141.162797965116
7/7/2017, 135.94, 138.05, 135.94, 137.48, 124121, 1.42112330247039, -0.224587540484776, 0.845757071933848, 1.50280049279314, 0, 0.0462627808127252, 0.477930289801986, -0.431667508989261, 135.229999999997, 136.908494623656, 140.705633699634, 141.259994036971
7/10/2017, 137.47, 138.61, 137.18, 138.23, 71304, 1.39446740969723, -0.288929680208448, 0.808084469220681, 1.5594945589973, 0, 0.122433387344984, 0.406830909310586, -0.284397521965602, 136.130181818178, 136.971397849463, 140.839399267399, 141.376602466236
7/11/2017, 137.86, 138.94, 137.55, 138.53, 66267, 1.37204481729824, -0.264447274968922, 0.835589308665288, 1.5088208905023, 0, 0.204647584629839, 0.366394244374436, -0.161746659744597, 137.158727272724, 137.039784946237, 140.955587301587, 141.498383067314
7/12/2017, 139.73, 141.49, 139.39, 141.41, 169049, 1.3815564678121, 0.124825429367402, 0.988854411388504, 1.70113145805067, 0, 0.496471840797426, 0.392409763659034, 0.104062077138392, 138.76836363636, 137.493397849463, 141.187177045177, 141.702465254044
7/13/2017, 141.67, 141.87, 140.46, 140.8, 202778, 1.36823583173042, 0.0284039111758112, 0.921207843381986, 1.58765230990387, 0, 0.670790311119077, 0.448085873151043, 0.222704437968034, 140.259454545451, 137.834774193549, 141.375956043956, 141.882305016272
7/14/2017, 141.26, 141.76, 140.9, 141.51, 74864, 1.32722228006686, 0.116295382692574, 1.00836962741457, 1.59227412954301, 0, 0.856358453836918, 0.529740389288218, 0.3266180645487, 141.392181818178, 138.316924731183, 141.584627594628, 142.077674958541
7/17/2017, 141.74, 141.88, 141.12, 141.54, 53447, 1.28744145548713, 0.757039137371859, 0.936387259746205, 1.61743751123604, 0, 0.994380691535127, 0.6226684497376, 0.371712241797527, 142.285999999997, 138.873978494624, 141.792547008547, 142.268137254902
7/18/2017, 141.34, 142.07, 141.01, 142.07, 61343, 1.25581220827174, 0.948923058364861, 0.882069168531119, 1.65695005585789, 0, 1.13346500093925, 0.724827759977931, 0.408637240961323, 142.719272727269, 139.500645161291, 142.00812942613, 142.468398454272
