Date,SHY_Open,SHY_High,SHY_Low,SHY_Close,SHY_Volume,SHY_ATRPercentOfClose20,SHY_SQN25,SHY_SQN50,SHY_SQN100,SHY_SQN200,SHY_MACD,SHY_MACD_Avg,SHY_MACD_Diff,SHY_LinReg10,SHY_LinReg30,SHY_LinReg90,SHY_LinReg270
1/9/2018, 83.8, 83.8, 83.75, 83.75, 1551131, 0.0693656554283764, -1.27376152238227, -1.8841071413478, -1.894995494394, -0.814038310389468, -0.0715900065108315, -0.0717770219945823, 0.00018701548375083, 83.7734545454517, 83.7542150537621, 83.7648107448107, 84.1696760474166
1/10/2018, 83.78, 83.78, 83.74, 83.78, 789546, 0.0682609806638843, -0.835310471142545, -2.04458854447696, -1.86891162605881, -0.813729400874992, -0.0690705320397882, -0.0712357240036235, 0.0021651919638353, 83.7619999999971, 83.7504516129019, 83.7566495726495, 84.1618673490767
1/11/2018, 83.77, 83.79, 83.75, 83.75, 1047876, 0.0672592204420209, -0.939099067805545, -2.35481029924463, -1.91170521263746, -0.803629898435927, -0.0687026186275403, -0.0707291029284069, 0.00202648430086652, 83.7481818181789, 83.7456129032245, 83.7458363858364, 84.1537065637066
1/12/2018, 83.8, 83.8, 83.72, 83.74, 904967, 0.0686805794891125, -1.26010432942385, -2.2237153371026, -1.98239998455784, -0.87273277333222, -0.068429152351527, -0.0702691128130309, 0.00183996046150388, 83.7367272727244, 83.7404946236546, 83.7369792429792, 84.1455057471265
1/16/2018, 83.66, 83.75, 83.66, 83.73, 2707733, 0.0706287607798565, -1.38313031224443, -2.00952791793685, -1.9826346394015, -0.862038200579443, -0.0682327995443757, -0.0698618501592999, 0.00162905061492419, 83.7307272727243, 83.7330322580632, 83.7281440781441, 84.1372656547045
1/17/2018, 83.72, 83.72, 83.68, 83.7, 2950768, 0.0701082297860513, -1.54895206016377, -2.2289858533715, -2.27017082291975, -0.905942327534154, -0.0696945425069373, -0.0698283886288273, 0.000133846121890047, 83.7149090909061, 83.7197634408589, 83.71978998779, 84.1286834237948
1/18/2018, 83.68, 83.7, 83.66, 83.68, 1090678, 0.0690087941137417, -1.45348582144985, -2.13156341016899, -2.16193668018084, -0.950649330248091, -0.0716409845145591, -0.0701909078059737, -0.00145007670858543, 83.6987272727242, 83.7024301075256, 83.7108571428571, 84.1199161769789
1/19/2018, 83.7, 83.71, 83.66, 83.71, 1052061, 0.0685213606124238, -1.24805722626923, -2.25696359915513, -2.16101369980252, -0.883576052324875, -0.0699563908223553, -0.07014400440925, 0.000187613586894744, 83.6925454545424, 83.6898494623644, 83.7021978021978, 84.1117204116638
1/22/2018, 83.68, 83.68, 83.65, 83.67, 973549, 0.068711927118712, -2.38063997023666, -2.25772715697566, -2.18186043534549, -0.926639303106408, -0.0710302118233557, -0.0703212458920711, -0.000708965931284528, 83.6763636363605, 83.6762150537622, 83.6915604395604, 84.1030358916158
1/23/2018, 83.68, 83.72, 83.68, 83.72, 885609, 0.0682234901447861, -1.69980747659043, -1.93205132406998, -2.15119554318079, -0.890471894843606, -0.067073459481449, -0.0696716886099467, 0.00259822912849768, 83.6834545454514, 83.6714623655902, 83.6833235653235, 84.0952166934189
1/24/2018, 83.71, 83.71, 83.67, 83.7, 865652, 0.0678146602768865, -1.59936565777064, -1.9724223691969, -2.24733039826558, -0.802625146825769, -0.0648045115271714, -0.0686982531933917, 0.00389374166622029, 83.6809090909059, 83.6657849462354, 83.6750427350427, 84.0872055453071
1/25/2018, 83.69, 83.7, 83.64, 83.68, 757205, 0.0680244109932677, -1.72812626340906, -1.93630292029844, -2.29347678362499, -0.871418267238002, -0.063883774394597, -0.0677353574336327, 0.00385158303903571, 83.6801818181786, 83.6566451612891, 83.6662954822954, 84.0790057149198
1/26/2018, 83.71, 83.71, 83.62, 83.63, 990699, 0.0700426710070639, -1.76824787728731, -2.07545232448613, -2.2314017939685, -1.02327790535833, -0.0664229829158529, -0.0674728825300768, 0.00104989961422386, 83.6616363636331, 83.6427741935471, 83.6548888888889, 84.0701767864519
1/29/2018, 83.61, 83.62, 83.58, 83.6, 1440058, 0.069554846262018, -2.02758244692941, -2.29403439641561, -2.53984218046146, -1.1296107349022, -0.0700485966243463, -0.0679880253489307, -0.00206057127541559, 83.6372727272695, 83.6330322580633, 83.6430305250305, 84.0610239169058
1/30/2018, 83.65, 83.65, 83.59, 83.61, 1708637, 0.0696572884837876, -1.59440720266125, -2.12637916710822, -2.48932472694916, -1.16590769957567, -0.0712931817620586, -0.0686490566315563, -0.00264412513050231, 83.6219999999967, 83.6252688172031, 83.6307203907204, 84.0499002323357
1/31/2018, 83.64, 83.64, 83.56, 83.61, 2078654, 0.0709585407920464, -1.38409979391213, -2.17374824910113, -2.63361258451131, -1.15462734664939, -0.0714558261661153, -0.0692104105384681, -0.00224541562764727, 83.6072727272694, 83.6172903225794, 83.6185738705739, 84.0389878365451
2/1/2018, 83.52, 83.53, 83.47, 83.49, 2243803, 0.0758917405179285, -1.6986435948252, -2.27011205031267, -2.78215650038325, -1.35730439953746, -0.0803415922813571, -0.0714366468870459, -0.00890494539431119, 83.5519999999967, 83.5962795698912, 83.6022197802198, 84.0268167281673
2/2/2018, 83.48, 83.52, 83.44, 83.5, 1825540, 0.0768789382640689, -1.94992834694722, -2.11453046618962, -2.60364639555723, -1.30280726522224, -0.0855900803513521, -0.0742673335799071, -0.011322746771445, 83.5165454545421, 83.5768387096761, 83.5881098901099, 84.0143539702064
2/5/2018, 83.45, 83.68, 83.45, 83.65, 2019772, 0.0866517845522688, -0.785766362624091, -1.24347258446554, -2.02058410386445, -1.08844817175878, -0.0767609461571652, -0.0747660560953587, -0.00199489006180649, 83.5363636363602, 83.5797419354826, 83.5808376068377, 84.004692633593
2/6/2018, 83.51, 83.65, 83.51, 83.59, 2386681, 0.0907524905958538, -1.11672891859721, -1.70241586510592, -2.09695866793295, -1.19625846487868, -0.0737550894961174, -0.0745638627755105, 0.000808773279393049, 83.546545454542, 83.5701075268804, 83.5713211233212, 83.9939915265818
2/7/2018, 83.52, 83.58, 83.49, 83.53, 2053983, 0.0922626679571662, -1.22335700249623, -1.87931108101528, -2.23923399433573, -1.17024706462777, -0.0753458845395016, -0.0747202671283087, -0.000625617411192936, 83.5390909090874, 83.5523440860202, 83.5600415140416, 83.9827716277162
2/8/2018, 83.53, 83.57, 83.48, 83.54, 1178608, 0.0930256837651297, -1.17760238213071, -1.84291289164469, -2.19356747777797, -1.07896645762218, -0.0749358705758851, -0.074763387817824, -0.000172482758061143, 83.5403636363602, 83.5368602150524, 83.5494432234433, 83.9719983599836
2/9/2018, 83.54, 83.7, 83.52, 83.61, 3159919, 0.0990646733722284, -0.682809629373182, -1.59242314807484, -1.91091193949571, -1.02860152342484, -0.0681766189454152, -0.0734460340433422, 0.00526941509792707, 83.563454545451, 83.5344731182782, 83.5423492063493, 83.9620388137214
2/12/2018, 83.59, 83.59, 83.54, 83.57, 1592814, 0.0983445910448652, -0.837262207126838, -1.65006562424615, -2.01596998772829, -1.10540430532215, -0.0652948506429567, -0.0718157973632651, 0.00652094672030842, 83.5678181818147, 83.5290322580631, 83.5330036630038, 83.952004100041
2/13/2018, 83.55, 83.57, 83.53, 83.57, 1292877, 0.095820564795242, -0.837262207126839, -1.50311892988616, -1.88210373995547, -1.15179045253185, -0.0622929541023751, -0.0699112287110871, 0.00761827460871201, 83.5758181818146, 83.5266021505362, 83.5278144078145, 83.9414546945469
2/14/2018, 83.5, 83.5, 83.43, 83.45, 953396, 0.0995486922701185, -1.0992825778141, -1.61835614353806, -2.04219709777049, -1.15295867520209, -0.068803799216127, -0.0696897428120951, 0.000885943595968094, 83.5445454545419, 83.5087526881706, 83.5140976800978, 83.9289864698646
2/15/2018, 83.44, 83.46, 83.4, 83.42, 1452820, 0.0982015278283896, -1.33370597611182, -1.56655918946156, -2.15003470666963, -1.21992295865497, -0.0755139622059176, -0.0708545866908596, -0.00465937551505796, 83.4876363636328, 83.4894838709663, 83.499076923077, 83.9165253519201
2/16/2018, 83.37, 83.47, 83.37, 83.44, 728338, 0.0992614199289552, -1.14170396571818, -1.46798042084275, -2.22577076476567, -1.13525865832564, -0.0783152128423126, -0.0723467119211502, -0.00596850092116238, 83.4434545454509, 83.4726666666652, 83.4856043956045, 83.9050367637009
2/20/2018, 83.41, 83.44, 83.41, 83.43, 1448475, 0.0961075660425317, -1.14184211807187, -1.64016523216375, -2.20538442767958, -1.13539255564665, -0.0804151646190689, -0.0739604024607339, -0.006454762158335, 83.4290909090872, 83.4567741935469, 83.4727985347986, 83.8931206778734
2/21/2018, 83.43, 83.45, 83.38, 83.44, 1540741, 0.0954858763564482, -1.06459346530732, -1.63994849369933, -2.16089998179837, -1.1586266430239, -0.0803462930524859, -0.0752375805790843, -0.00510871247340153, 83.4181818181781, 83.4444086021491, 83.4608888888889, 83.8812906929069
2/22/2018, 83.45, 83.46, 83.41, 83.45, 839306, 0.0936965182387408, -0.917240935659913, -1.60647331743025, -2.16061837364684, -1.10484117947586, -0.0785789857789183, -0.0759058616190511, -0.00267312415986717, 83.4069090909053, 83.4335053763426, 83.4498608058609, 83.869766570999
2/23/2018, 83.47, 83.5, 83.45, 83.47, 753813, 0.0919854525538728, -0.766407076728658, -1.42116497026205, -2.07200513496341, -1.03927895364782, -0.0747034147152448, -0.0756653722382899, 0.000961957523045093, 83.4089090909054, 83.4290752688158, 83.4414700854702, 83.8589178625119
2/26/2018, 83.51, 83.54, 83.48, 83.48, 1445777, 0.091568332995187, -0.845893499430719, -1.38826361630262, -2.02788750490961, -1.05067790267917, -0.0700179568765833, -0.0745358891659486, 0.00451793228936526, 83.432181818178, 83.4259139784932, 83.4324126984128, 83.8483025830258
2/27/2018, 83.53, 83.53, 83.41, 83.42, 852344, 0.0942450037942499, -0.910094847287397, -1.9222990292516, -2.04596013516529, -1.12467558510767, -0.0703354134773235, -0.0736957940282236, 0.00336038055090003, 83.4338181818144, 83.416215053762, 83.421562881563, 83.8370367637009
2/28/2018, 83.45, 83.47, 83.43, 83.44, 3721301, 0.0925074581218899, -1.03810794773863, -1.75612800705192, -2.49955160695206, -1.22786375447937, -0.0681871482673557, -0.07259406487605, 0.00440691660869427, 83.4505454545416, 83.4104516129017, 83.4115799755801, 83.8255648489818
3/1/2018, 83.39, 83.49, 83.36, 83.47, 2049917, 0.0956377284102785, -0.843557276138472, -1.52658633982489, -2.18283526287332, -1.18112836756166, -0.0633338105869683, -0.0707420140182337, 0.00740820343126536, 83.4607272727233, 83.4083655913963, 83.4046422466424, 83.8148407817411
3/2/2018, 83.45, 83.45, 83.4, 83.43, 1716636, 0.095094535908973, -0.912317865201004, -1.64759669957403, -2.20452758751, -1.22427376875139, -0.0620004684090532, -0.0689937048963976, 0.0069932364873444, 83.449999999996, 83.4013548387081, 83.3954822954824, 83.8033888205549
3/5/2018, 83.45, 83.47, 83.4, 83.43, 1112239, 0.0945349427584957, -0.737698226074621, -1.52720872579441, -2.20452758751, -1.3391158314112, -0.0602492690570244, -0.0672448177285229, 0.0069955486714985, 83.4427272727232, 83.3979569892458, 83.3869523809525, 83.7926879868799
3/6/2018, 83.43, 83.45, 83.4, 83.41, 737314, 0.0928269723129627, -0.702596398470207, -1.62527550930782, -2.30653331731325, -1.31862180830866, -0.0597860870113323, -0.0657530715850848, 0.00596698457375254, 83.4270909090869, 83.3911612903211, 83.377733821734, 83.7816361896952
3/7/2018, 83.42, 83.45, 83.4, 83.41, 1230960, 0.0911828662341805, -0.740919904555031, -1.36470486017736, -2.28176512202753, -1.34212759211358, -0.05874187216628, -0.0643508317013238, 0.00560895953504383, 83.4145454545414, 83.3893763440846, 83.368700854701, 83.7712688260217
3/8/2018, 83.42, 83.44, 83.41, 83.43, 608889, 0.0884008717363461, -0.663360307434355, -1.19630616533416, -2.20312854904124, -1.28553883797033, -0.0556588904823769, -0.0626124434575345, 0.00695355297515754, 83.4125454545414, 83.3907956989233, 83.3611575091577, 83.7607760010934
3/9/2018, 83.39, 83.43, 83.38, 83.39, 668970, 0.0870190729405833, -0.402494078522047, -1.28899171704424, -2.43964801199995, -1.29635963343414, -0.0558000428327858, -0.0612499633325847, 0.00544992049979891, 83.4018181818141, 83.3875483870953, 83.3537997557999, 83.7497108104415
3/12/2018, 83.43, 83.44, 83.39, 83.43, 1281180, 0.0856250086046921, -0.277343988112632, -1.28824810027493, -2.16305494204077, -1.30855041164942, -0.0520838511662163, -0.0594167408993111, 0.00733288973309478, 83.4112727272686, 83.3879139784932, 83.3497533577535, 83.739180265136
3/13/2018, 83.45, 83.47, 83.43, 83.45, 609891, 0.0837209076632109, -1.0035901983285, -1.25180934904273, -2.13493935439972, -1.28474150974647, -0.0469833152318131, -0.0569300557658115, 0.00994674053399838, 83.4183636363595, 83.3901075268803, 83.3461440781442, 83.7285884925516
3/14/2018, 83.42, 83.49, 83.4, 83.44, 1525844, 0.0849374910986355, -0.780832733133876, -1.35641039175516, -2.08914753977228, -1.28489282481925, -0.0432494672463974, -0.0541939380619287, 0.0109444708155312, 83.4243636363595, 83.3926666666653, 83.3407203907206, 83.717709170425
3/15/2018, 83.43, 83.47, 83.42, 83.45, 1106584, 0.0836767530785696, -0.433252823614681, -1.22521893800395, -2.2074040251629, -1.30886826123612, -0.0390334955513083, -0.0511618495598046, 0.0121283540084963, 83.439818181814, 83.3975913978481, 83.3367423687426, 83.7073538335383
3/16/2018, 83.45, 83.45, 83.41, 83.41, 878523, 0.0819288309817328, -0.693826928928886, -1.35088998668762, -2.18840588160445, -1.36401597918093, -0.0384764408551206, -0.0486247678188678, 0.0101483269637472, 83.4345454545413, 83.3904731182783, 83.3304761904764, 83.6969364493645
3/19/2018, 83.4, 83.45, 83.39, 83.41, 834896, 0.0814290804768855, -1.16931044459115, -1.22572801898793, -2.18840588160445, -1.28314236227661, -0.0376015240321266, -0.0464201190615196, 0.00881859502939299, 83.4303636363594, 83.3845376344073, 83.3258852258854, 83.686684160175
3/20/2018, 83.39, 83.4, 83.36, 83.38, 1074682, 0.0803837805522686, -1.12169027791426, -1.32227260969173, -2.21168038029862, -1.39199616724336, -0.0388807028855638, -0.0449122358263284, 0.00603153294076463, 83.4129090909049, 83.3853763440847, 83.319694749695, 83.6762298756321
3/21/2018, 83.35, 83.45, 83.33, 83.44, 2404467, 0.0835004750877969, -0.714110137124505, -1.09643174688372, -1.98404602737662, -1.24294225782931, -0.034653498820461, -0.0428604884251549, 0.00820698960469394, 83.4178181818139, 83.3915698924718, 83.3164981684984, 83.6670517971847
3/22/2018, 83.44, 83.51, 83.44, 83.48, 1954888, 0.0834800630002338, 0.208481558796113, -0.863228956636857, -1.87283912372283, -1.22963823327524, -0.0277557919452818, -0.0398395491291803, 0.0120837571838985, 83.4389090909047, 83.3998064516116, 83.3153699633703, 83.6588536285364
3/23/2018, 83.48, 83.52, 83.46, 83.5, 1202847, 0.0828798787580426, 0.564347048557662, -0.897803017491279, -1.99187790723657, -1.17259506950831, -0.0204398587303274, -0.0359596110494097, 0.0155197523190823, 83.4561818181775, 83.4115698924719, 83.3149548229551, 83.6505258985924
3/26/2018, 83.48, 83.5, 83.45, 83.46, 1729368, 0.0817690676070179, 0.13699552561679, -0.927475376630441, -2.19771961273448, -1.19426114095522, -0.017665952550729, -0.0323008793496736, 0.0146349267989446, 83.4616363636319, 83.4231827956977, 83.3130378510382, 83.6413994806616
3/27/2018, 83.46, 83.54, 83.46, 83.52, 1732617, 0.0824140812183632, 0.572511178154933, -0.688091736472399, -1.90822620990829, -1.08629735273537, -0.0105050180504662, -0.0279417070898321, 0.0174366890393659, 83.4901818181773, 83.4407096774182, 83.3146788766792, 83.6323550635508
3/28/2018, 83.54, 83.57, 83.49, 83.53, 1899270, 0.0830727027438022, 0.572444299477325, -0.624846709537161, -1.69745126569717, -1.06334793157723, -0.0039771631793144, -0.0231487983077286, 0.0191716351284142, 83.5163636363591, 83.4598279569881, 83.3165518925523, 83.6228634686348
3/29/2018, 83.5, 83.56, 83.5, 83.56, 2998890, 0.0824809683721915, 0.690468276365899, -0.435937129898116, -1.66857021549512, -1.02756613939916, 0.00357573922035215, -0.0178038908021124, 0.0213796300224646, 83.5499999999955, 83.475010752687, 83.3203907203911, 83.6140259669265
4/2/2018, 83.45, 83.53, 83.42, 83.49, 3047693, 0.0868068538905415, 0.115760313441105, -0.580796753895899, -1.7080998034091, -1.14888839425164, 0.00386846059650736, -0.0134694205223885, 0.0173378811188958, 83.5454545454499, 83.4786021505365, 83.3204761904765, 83.604368457018
4/3/2018, 83.47, 83.48, 83.42, 83.45, 3418567, 0.0867001680018599, -0.166989763254425, -0.795243647172257, -1.94422860237844, -1.15973659198549, 0.000862832494107124, -0.0106029699190894, 0.0114658024131965, 83.5227272727226, 83.4779999999988, 83.3185787545792, 83.5939699330328
4/4/2018, 83.47, 83.47, 83.4, 83.4, 1717588, 0.0866111818797052, -0.11300836991817, -0.823223873956252, -1.96549458637273, -1.26140345539427, -0.00549044117580877, -0.00958046417043323, 0.00409002299462446, 83.4745454545408, 83.470322580644, 83.3144908424913, 83.5823875905427
4/5/2018, 83.4, 83.43, 83.4, 83.42, 1109600, 0.0840590258970157, -0.11298065426004, -0.925130408268864, -1.88614242721624, -1.18459373139443, -0.00881006651631822, -0.00942638463961023, 0.000616318123292015, 83.4441818181771, 83.4660430107515, 83.3132942612947, 83.5710955309554
4/6/2018, 83.47, 83.49, 83.44, 83.49, 1097435, 0.0839812401881969, 0.108323423174384, -0.630563325119139, -1.656256956203, -1.10844535289141, -0.00572646737836635, -0.00868640118736146, 0.0029599338089951, 83.4470909090862, 83.4714408602139, 83.3156556776561, 83.5612723793906
4/9/2018, 83.44, 83.48, 83.43, 83.48, 1737990, 0.0833854103515437, 0.275510213249826, -0.601147615146367, -1.61038928662574, -1.13117393685331, -0.0040430040380528, -0.00775772175749972, 0.00371471771944693, 83.4499999999953, 83.4766451612892, 83.3180268620272, 83.5510712040455
4/10/2018, 83.43, 83.46, 83.41, 83.44, 1218506, 0.0834487458453927, 0.0546650582175037, -0.57343967063221, -1.67864814452519, -1.18601217609499, -0.00586886034935219, -0.00737994947587022, 0.00151108912651803, 83.432181818177, 83.4773763440848, 83.3193260073264, 83.540269782698
4/11/2018, 83.44, 83.46, 83.42, 83.44, 985647, 0.0816732404802559, 0.162775175366924, -0.484218090194244, -1.73064914563455, -1.2464523936649, -0.00723249295393202, -0.00735045817148258, 0.000117965217550557, 83.4274545454497, 83.4743655913967, 83.320671550672, 83.5307191471916
4/12/2018, 83.41, 83.41, 83.38, 83.39, 791078, 0.0812336542317896, -0.102913865812696, -0.660735932767346, -1.77325239014855, -1.29986568194172, -0.0122070484936501, -0.00832177623591608, -0.00388527225773399, 83.4118181818132, 83.4662150537623, 83.319196581197, 83.5200661473283
4/13/2018, 83.37, 83.39, 83.36, 83.37, 1040927, 0.0789896929959157, -0.311583504232289, -0.72035453642251, -1.84711662398168, -1.26948132390334, -0.0175608222242829, -0.0101695854335894, -0.00739123679069346, 83.4029090909041, 83.4578494623644, 83.3159902319906, 83.5094926882604
4/16/2018, 83.35, 83.37, 83.33, 83.36, 1155907, 0.077448442536181, -0.158329435103607, -0.415995885177103, -1.75977765068233, -1.32900606665581, -0.0223529717599575, -0.0126062626988631, -0.00974670906109448, 83.3869090909041, 83.4461935483859, 83.3116825396829, 83.4992250922511
4/17/2018, 83.35, 83.36, 83.33, 83.36, 892312, 0.0753754445936331, -0.380475803115977, -0.448470378701683, -1.68905178106512, -1.27605307764134, -0.0258527701510474, -0.0152555641892999, -0.0105972059617474, 83.369999999995, 83.4349892473107, 83.3075702075706, 83.4893415334155
4/18/2018, 83.3, 83.31, 83.28, 83.29, 971745, 0.0764693505613997, -0.827169890936092, -1.29589073867346, -1.79206124377162, -1.34865896578876, -0.0338842045582908, -0.0189812922630981, -0.0149029122951927, 83.3238181818131, 83.4140215053751, 83.3016971916976, 83.4786658466587
4/19/2018, 83.3, 83.31, 83.27, 83.29, 1410798, 0.0750471316826277, -0.77519884558854, -1.10025133487259, -1.99622423851607, -1.22718875003576, -0.0397904941416556, -0.0231431326388096, -0.016647361502846, 83.2876363636313, 83.393827956988, 83.2965372405376, 83.4680885608858
4/20/2018, 83.27, 83.29, 83.25, 83.26, 904797, 0.0737225776838072, -0.978947501368777, -1.00669985176136, -2.06801920631753, -1.29724246328947, -0.0463576384689048, -0.0277860338048286, -0.0185716046640762, 83.2621818181767, 83.3719354838697, 83.2905641025645, 83.4571676916772
4/23/2018, 83.26, 83.26, 83.22, 83.25, 1861066, 0.0724472639886622, -0.83656043557833, -1.08307732449329, -2.09322925037314, -1.33279701225333, -0.0517722656373252, -0.032583280171328, -0.0191889854659972, 83.243818181813, 83.347204301074, 83.2837851037855, 83.4464225775593
