Date,TLH_Open,TLH_High,TLH_Low,TLH_Close,TLH_Volume,TLH_ATRPercentOfClose20,TLH_SQN25,TLH_SQN50,TLH_SQN100,TLH_SQN200,TLH_MACD,TLH_MACD_Avg,TLH_MACD_Diff,TLH_LinReg10,TLH_LinReg30,TLH_LinReg90,TLH_LinReg270
3/28/2017, 134.85, 134.89, 134.09, 134.18, 71341, 0.553301915815701, 0.127667637851098, 0.00990938786792858, 0, 0, 0.241987413938801, -0.020787602611538, 0.262775016550339, 134.740181818181, 133.168172043011, 133.112661016949, 133.112661016949
3/29/2017, 134.4, 134.67, 134.36, 134.65, 24232, 0.541997389609678, 0.259141604120284, -0.083868627168776, 0, 0, 0.305067792735514, 0.0443834764578723, 0.260684316277642, 134.902545454544, 133.32911827957, 133.199344262295, 133.199344262295
3/30/2017, 134.41, 134.45, 134.09, 134.12, 14547, 0.537809059688309, -0.0761955993121707, 0.0800592201606399, 0, 0, 0.30873398361345, 0.0972535778889879, 0.211480405724462, 134.688727272726, 133.395075268817, 133.247334743522, 133.247334743522
3/31/2017, 134.1, 134.51, 134.1, 134.41, 15162, 0.525068101563323, -0.274125968221692, 0.30690408380759, 0, 0, 0.331221922522246, 0.14404724681564, 0.187174675706607, 134.587999999999, 133.525096774193, 133.311013824885, 133.311013824885
4/3/2017, 134.36, 135.17, 134.33, 135.02, 33095, 0.527667629644273, 0.117268121796918, 0.476500276935421, 0, 0, 0.393727037934866, 0.193983205039485, 0.199743832895381, 134.694727272726, 133.756666666666, 133.409112103175, 133.409112103175
4/4/2017, 135.04, 135.09, 134.77, 134.79, 32265, 0.514009935357528, 0.00690046307423366, 0.208941855819141, 0, 0, 0.419863786045198, 0.239159321240628, 0.180704464804571, 134.744363636362, 133.950903225806, 133.487951923077, 133.487951923077
4/5/2017, 134.49, 135.22, 134.48, 135.15, 20241, 0.51438571385497, 0.789657871411548, 0.482053414124973, 0, 0, 0.464274471475846, 0.284182351287671, 0.180092120188175, 134.945999999998, 134.190752688172, 133.584307692308, 133.584307692308
4/6/2017, 135.01, 135.08, 134.71, 135, 28920, 0.505505687156476, 0.881154968047174, 0.686520512197853, 0, 0, 0.481812478904715, 0.32370837681108, 0.158104102093635, 135.017636363635, 134.432430107527, 133.666775214835, 133.666775214835
4/7/2017, 135.4, 135.58, 134.57, 134.57, 50977, 0.519291850916387, 0.658034069495221, 0.499138907947934, 0, 0, 0.455760348213317, 0.350118771091528, 0.10564157712179, 134.929090909089, 134.670817204301, 133.719907813872, 133.719907813872
4/10/2017, 134.77, 135.07, 134.77, 134.95, 34138, 0.510463498769376, 0.862563081856255, 0.521872368604764, 0, 0, 0.460468674899943, 0.372188751853211, 0.088279923046732, 135.031999999998, 134.929483870967, 133.792212276215, 133.792212276215
4/11/2017, 135.22, 135.82, 135.22, 135.72, 37020, 0.514240323467292, 1.23300713931947, 0.761149308106342, 0, 0, 0.520334529997456, 0.40181790748206, 0.118516622515396, 135.289090909089, 135.289698924731, 133.904575569358, 133.904575569358
4/12/2017, 135.68, 136.28, 135.68, 136.19, 49404, 0.508870415345707, 1.80089325633256, 0.731499630234128, 0, 0, 0.598801116982713, 0.44121454938219, 0.157586567600523, 135.718545454543, 135.603612903226, 134.037674044266, 134.037674044266
4/13/2017, 136.34, 136.8, 136.19, 136.48, 32310, 0.50474727998707, 2.31812440842083, 0.924275151229895, 0, 0, 0.676587746478475, 0.488289188801447, 0.188298557677028, 136.05818181818, 135.913010752688, 134.180269953052, 134.180269953052
4/17/2017, 136.62, 136.75, 136.16, 136.36, 16817, 0.501565806204192, 2.1074333518545, 0.919356343481781, 0, 0, 0.720248635724687, 0.534681078186095, 0.185567557538592, 136.285636363634, 136.188473118279, 134.309452054794, 134.309452054794
4/18/2017, 136.72, 137.54, 136.64, 137.38, 16867, 0.515896328921992, 2.71112711810986, 1.15225979417281, 0, 0, 0.827615444840973, 0.593267951517071, 0.234347493323902, 136.881090909089, 136.563806451613, 134.487215845983, 134.487215845983
4/19/2017, 136.97, 137.05, 136.79, 136.86, 36152, 0.513518528305846, 2.29234807821674, 0.800027789486984, 0, 0, 0.860821743210238, 0.646778709855704, 0.214043033354534, 137.12218181818, 136.830258064516, 134.629059459459, 134.629059459459
4/20/2017, 136.66, 136.74, 136.38, 136.59, 7925, 0.506377761876721, 1.81018434153933, 0.650198731106937, 0, 0, 0.8554896779074, 0.688520903466043, 0.166968774441357, 137.229090909089, 136.98888172043, 134.750154385965, 134.750154385965
4/21/2017, 136.73, 136.96, 136.59, 136.65, 19766, 0.494385887815618, 2.10862279815108, 0.45668718337935, 0, 0, 0.846349288534412, 0.720086580479717, 0.126262708054695, 137.248181818179, 137.085440860215, 134.868725222146, 134.868725222146
4/24/2017, 135.94, 136.25, 135.76, 136.13, 49554, 0.50415000361055, 1.54158907859473, 0.56127024134804, 0, 0, 0.788061527190536, 0.733681569821881, 0.0543799573686546, 136.911636363634, 137.102086021505, 134.955354645355, 134.955354645355
4/25/2017, 135.76, 135.8, 135.16, 135.19, 16741, 0.518148110007611, 0.83442390390824, 0.32268073720966, 0, 0, 0.65842796457423, 0.718630848772351, -0.0602028841981208, 136.24127272727, 136.941483870968, 134.990717299578, 134.990717299578
4/26/2017, 135.27, 135.69, 135.19, 135.69, 104013, 0.508851211160236, 0.79618257289795, 0.546559214880894, 0, 0, 0.589245794836955, 0.692753837985272, -0.103508043148316, 135.884545454543, 136.83023655914, 135.049227848101, 135.049227848101
4/27/2017, 135.49, 135.94, 135.49, 135.76, 17629, 0.49973276222905, 0.661793665016561, 0.725917479540427, 0, 0, 0.53391223399052, 0.660985517186321, -0.127073283195801, 135.647636363634, 136.782322580645, 135.1085, 135.1085
4/28/2017, 135.51, 136.07, 135.39, 135.95, 56638, 0.499091826481832, 0.804668265588431, 0.854080750261599, 0, 0, 0.499631954307517, 0.628714804610561, -0.129082850303043, 135.557818181815, 136.710451612903, 135.174305931948, 135.174305931948
5/1/2017, 135.64, 135.82, 134.88, 135.27, 97918, 0.516071243584644, 0.414596285850934, 0.518918623887416, 0, 0, 0.412835359634983, 0.585538915615445, -0.172703555980463, 135.237999999997, 136.566967741936, 135.20461651484, 135.20461651484
