Date,VNQI_Open,VNQI_High,VNQI_Low,VNQI_Close,VNQI_Volume,VNQI_ATRPercentOfClose20,VNQI_SQN25,VNQI_SQN50,VNQI_SQN100,VNQI_SQN200,VNQI_MACD,VNQI_MACD_Avg,VNQI_MACD_Diff,VNQI_LinReg10,VNQI_LinReg30,VNQI_LinReg90,VNQI_LinReg270
2/12/2018, 58.66, 59.12, 58.49, 58.95, 700481, 1.31259071014173, -0.887167078559457, -0.256985278611889, -0.278049373767602, 0.565978478167138, -0.804310449671888, -0.123506729935874, -0.680803719736015, 57.7714545454503, 61.3580645161282, 62.2557460317466, 63.0210102501024
2/13/2018, 58.88, 59.24, 58.78, 59.18, 319669, 1.28097940595999, -0.915222377576051, -0.247053014999069, -0.190766321698196, 0.634259834669149, -0.865513468601606, -0.27190807766902, -0.593605390932585, 57.7490909090866, 60.8509032258056, 62.1613748473754, 62.9986814268142
2/14/2018, 58.89, 59.91, 58.89, 59.87, 451015, 1.28808991452274, -0.698559779067233, -0.0979319621334939, -0.0426405164586131, 0.691566195218786, -0.848558415414324, -0.387238145218081, -0.461320270196243, 58.2385454545411, 60.4938064516121, 62.0982783882789, 62.9832417657509
2/15/2018, 60.17, 60.43, 59.89, 60.43, 411780, 1.25868022544022, -0.470303621752049, 0.0969710919981276, 0.087818962289797, 0.696486082016273, -0.780931995789942, -0.465976915332453, -0.314955080457489, 59.0469090909048, 60.2383870967734, 62.05517948718, 62.9760240535738
2/16/2018, 60.5, 60.95, 60.48, 60.69, 267891, 1.23346422346655, -0.434149862832885, 0.0903510408127412, 0.310476428474049, 0.762959172519125, -0.698308083026795, -0.512443148871321, -0.185864934155474, 59.8774545454502, 60.0276989247303, 62.0192967032973, 62.9748670220034
2/20/2018, 60.32, 60.59, 60.09, 60.24, 240876, 1.23034522802251, -0.637834446487466, 0.0523087848400564, 0.237914964585176, 0.735610819461851, -0.661513757266192, -0.542257270550296, -0.119256486715897, 60.1605454545411, 59.810365591397, 61.976842490843, 62.9672485991525
2/21/2018, 60.56, 60.91, 59.92, 59.95, 431391, 1.25705082083857, -0.698034552592831, -0.0157341026105553, 0.253007884817129, 0.653146431819505, -0.648281578880919, -0.56346213221642, -0.0848194466644987, 60.4901818181775, 59.5925161290314, 61.9204908424914, 62.9552032253655
2/22/2018, 59.99, 60.37, 59.89, 59.98, 1156946, 1.23361431933659, -0.785784230510093, -0.0989479281593304, 0.252901920878494, 0.656733139074197, -0.628133500899516, -0.57639640595304, -0.0517370949464762, 60.6425454545411, 59.3941505376336, 61.8697387057393, 62.941549815498
2/23/2018, 60.67, 60.8, 60.5, 60.76, 1436394, 1.2243676354529, -0.491124244391163, 0.0775621826158016, 0.306033835091727, 0.729707636446607, -0.542967530960809, -0.569710630954593, 0.0267430999937848, 60.7589090909047, 59.2933763440852, 61.8594871794878, 62.9379874265408
2/26/2018, 60.87, 61.36, 60.8, 61.34, 291141, 1.20105883034907, -0.485810696128367, 0.170152317759597, 0.452835654739183, 0.782718792329397, -0.423786585499307, -0.540525821863536, 0.116739236364229, 60.9907272727228, 59.2853118279562, 61.8735164835171, 62.9414240809074
2/27/2018, 60.64, 60.67, 59.75, 59.76, 662402, 1.30420517437971, -0.938425689813267, -0.260573696500161, 0.0545667623471341, 0.580966106681867, -0.451621610160537, -0.522744979522936, 0.0711233693623998, 60.6219999999955, 59.106989247311, 61.8138437118443, 62.9236107694409
2/28/2018, 59.93, 59.99, 59.29, 59.32, 756529, 1.30718705596569, -1.13769456606732, -0.311021567849827, -0.0426315832122809, 0.520500227625904, -0.503382707998703, -0.51887252521809, 0.0154898172193864, 60.1030909090864, 58.8887741935475, 61.741770451771, 62.899504441711
3/1/2018, 59.54, 59.81, 58.82, 59.16, 511407, 1.32885766314893, -1.24156186565167, -0.339382904696098, -0.0782627597666858, 0.471433103555283, -0.550963252367652, -0.525290670648002, -0.0256725817196494, 59.6592727272682, 58.6966451612894, 61.6574041514048, 62.8723873172064
3/2/2018, 59.02, 59.62, 58.86, 59.54, 540647, 1.3181803557994, -1.11253591251907, -0.338924097180806, 0.0305165839771799, 0.509465548055733, -0.551649282829153, -0.530562393084232, -0.0210868897449208, 59.49745454545, 58.5584731182787, 61.587372405373, 62.8522282356155
3/5/2018, 59.12, 59.79, 59.03, 59.74, 1330752, 1.31168790534117, -1.25838533739603, 0.142857940369299, 0.0977080343068275, 0.552002458577715, -0.529945753614328, -0.530439065190252, 0.000493311575923694, 59.5052727272682, 58.5056989247303, 61.5140927960934, 62.8328847888477
3/6/2018, 59.95, 59.95, 59.63, 59.88, 433155, 1.26991021529438, -0.985511503162091, 0.216588965598416, 0.00598322388348615, 0.608290172622346, -0.495734205043007, -0.523498093160803, 0.0277638881177956, 59.5232727272681, 58.5238279569884, 61.4517191697198, 62.8162550225501
3/7/2018, 59.87, 60.1, 59.65, 60.08, 284732, 1.23984874346265, -0.851079305568126, 0.220448190643998, 0.0526519833978402, 0.569746731009832, -0.447326476617697, -0.508263769852182, 0.0609372932344848, 59.5719999999954, 58.617741935483, 61.3869328449335, 62.8054484078173
3/8/2018, 60.33, 60.43, 60.11, 60.39, 231823, 1.20078832392572, -0.802808752047607, 0.204075282395431, 0.07489557009061, 0.576504866582452, -0.379573111308773, -0.4825256381435, 0.102952526834727, 59.7267272727227, 58.794494623655, 61.3358070818077, 62.8006270329368
3/9/2018, 60.48, 60.78, 60.35, 60.75, 441180, 1.1693798607042, -0.603262977607543, 0.262518302018102, 0.0894855186197908, 0.645188320295829, -0.293446422120198, -0.444709794938839, 0.151263372818642, 60.1394545454499, 59.0367096774185, 61.3016556776563, 62.8008954489543
3/12/2018, 60.63, 60.92, 60.51, 60.83, 1118619, 1.14315034047167, -0.322101900880745, 0.187531071206125, 0.111564074953373, 0.601608546786928, -0.216242361677637, -0.399016308286599, 0.182773946608962, 60.696363636359, 59.3625591397841, 61.2662637362644, 62.8004001640015
3/13/2018, 61.01, 61.18, 60.41, 60.56, 687711, 1.1544079169476, 0.253898056127018, 0.0423395933009764, 0.0951756403459368, 0.552343519004275, -0.174829011055373, -0.354178848840354, 0.179349837784981, 60.8718181818135, 59.6072903225797, 61.226593406594, 62.7955938226047
3/14/2018, 61, 61.17, 60.68, 60.92, 342167, 1.1402724274102, 0.10061533346718, 0.129947655787514, 0.107752598222286, 0.595890871739149, -0.111672351609947, -0.305677549394272, 0.194005197784325, 61.0399999999953, 59.8973548387088, 61.2006666666673, 62.7974880415469
3/15/2018, 61.13, 61.37, 60.97, 61.12, 416452, 1.11652693821888, 0.584283006355769, -0.00433914284607061, 0.196041445235226, 0.590470260431953, -0.0449636030232554, -0.253534760120069, 0.208571157096814, 61.1579999999953, 60.23993548387, 61.1918485958492, 62.801422714227
3/16/2018, 61.17, 61.22, 60.97, 61.09, 168012, 1.08168309282601, 1.28926060724144, -0.0815286147779213, 0.21654895802933, 0.578611378823209, 0.00542032937968884, -0.201743742220117, 0.207164071599806, 61.2347272727226, 60.5661290322571, 61.1780244200251, 62.8033237665708
3/19/2018, 60.98, 60.99, 60.52, 60.78, 300911, 1.07973048920211, 1.01898597319735, -0.16293683493699, 0.264846055897128, 0.484235772900193, 0.0201038054289526, -0.157374232690303, 0.177478038119256, 61.1598181818134, 60.7916989247303, 61.1482148962156, 62.8008364083639
3/20/2018, 60.9, 61.03, 60.78, 60.88, 406105, 1.04459129725721, 0.850517206281697, -0.288152699702967, 0.242070800271143, 0.432171937782279, 0.0393560581122401, -0.118028174529795, 0.157384232642035, 61.0907272727225, 60.8806451612894, 61.1229621489628, 62.8008511685115
3/21/2018, 60.87, 61.25, 60.78, 61.05, 218869, 1.02809143764403, 0.823167344102055, -0.325167402605957, 0.368685918397922, 0.462107914652869, 0.0675524833414443, -0.0809120429555469, 0.148464526296991, 61.0658181818134, 61.0405161290313, 61.110615384616, 62.8041877818776
3/22/2018, 60.58, 60.73, 60.12, 60.15, 868593, 1.06860736749392, 0.136171602388621, -0.510665695214968, 0.194229082561999, 0.332135680985254, 0.0170789990242568, -0.0613138345595862, 0.078392833583843, 60.7390909090861, 61.007870967741, 61.0569279609286, 62.7928623752902
3/23/2018, 60.15, 60.26, 59.43, 59.43, 223534, 1.09730601543028, -0.387858452025049, -0.605316227549426, 0.0440839453327446, 0.233665007898044, -0.0800962835493095, -0.0650703243575309, -0.0150259591917787, 60.2487272727225, 60.785999999999, 60.9699389499396, 62.7684072707392
3/26/2018, 60.04, 60.41, 59.62, 60.31, 612580, 1.10847706304378, -0.123143303651493, -0.427497230422982, 0.235617458926741, 0.363583483528926, -0.0851185558385836, -0.0690799706537414, -0.0160385851848422, 60.1503636363588, 60.6867956989238, 60.9169450549457, 62.7562104687712
