Date,MDY_Open,MDY_High,MDY_Low,MDY_Close,MDY_Volume,MDY_ATRPercentOfClose20,MDY_SQN25,MDY_SQN50,MDY_SQN100,MDY_SQN200,MDY_MACD,MDY_MACD_Avg,MDY_MACD_Diff,MDY_LinReg10,MDY_LinReg30,MDY_LinReg90,MDY_LinReg270
8/1/2017, 321.61, 321.8, 320.12, 321.32, 846525, 0.845895717864592, 0.299766496202262, 0.770316171583344, 0.582822456121116, 0, 1.07317041130295, 1.35194403797641, -0.278773626673461, 321.150363636356, 323.598, 322.43926984127, 320.922119094213
8/2/2017, 320.67, 321.1, 317.79, 318.94, 1397304, 0.864937140092299, 0.328588144574991, 0.460856513476826, 0.391394989723559, 0, 0.763048483900775, 1.23416492716129, -0.471116443260512, 320.015454545447, 323.317698924732, 322.390815628816, 320.964491634492
8/3/2017, 319.21, 319.45, 317.43, 318.06, 1293286, 0.855718728818417, -0.142073673918955, 0.349730441221941, 0.323392413260765, 0, 0.441180324438619, 1.07556800661675, -0.634387682178134, 318.79072727272, 322.79288172043, 322.285496947497, 320.982002539452
8/4/2017, 318.59, 319.33, 318.11, 318.97, 1307693, 0.830521378009175, 0.188731305524694, 0.351053759821759, 0.42589166002605, 0, 0.256569312615682, 0.911768267816539, -0.655198955200857, 318.023454545447, 322.395806451613, 322.263421245421, 321.02297181208
8/7/2017, 319.37, 319.95, 318.11, 319.06, 748571, 0.817607452348797, 0.175234568672939, 0.320534567459858, 0.230160675340784, 0, 0.116186675858501, 0.752651949424931, -0.636465273566431, 317.618363636356, 322.078666666667, 322.261770451771, 321.065054304636
8/8/2017, 318.88, 321.05, 317.73, 318.25, 1106105, 0.830864232707264, -0.193180752988744, 0.32053674354579, 0.20075262133868, 0, -0.0597391697587568, 0.590173725588194, -0.649912895346951, 317.754727272719, 321.729870967742, 322.255018315018, 321.084613105612
8/9/2017, 316.8, 317.15, 315.06, 316.06, 1014259, 0.845255378586763, -0.298960480708063, 0.228947678929315, 0.122909411965131, 0, -0.371592875928911, 0.397820405284773, -0.769413281213684, 316.971636363628, 320.930215053764, 322.150415140415, 321.046351909185
8/10/2017, 314.85, 315.1, 311, 311.09, 2326040, 0.897148234299803, -0.400991946289599, -0.140247410507587, -0.0497318085323196, 0, -1.00815526251881, 0.116625271724056, -1.12478053424287, 314.678363636355, 319.738860215054, 321.788341880342, 320.879988965283
8/11/2017, 310.59, 312.08, 310.09, 311.72, 1830082, 0.882487976382361, -0.713998465513431, -0.477152274155168, 0.290144847080278, 0, -1.4451411179665, -0.195728006214055, -1.24941311175244, 312.914181818173, 318.542967741936, 321.443321123321, 320.733290322581
8/14/2017, 313.56, 315.97, 313.38, 315.29, 1023622, 0.896269131269669, -0.19916064997128, -0.227962360695598, 0.429287774500224, 0, -1.48625378399572, -0.453833161770389, -1.03242062222533, 312.8069090909, 317.850752688173, 321.200400488401, 320.680838709678
