Date,IXN_Open,IXN_High,IXN_Low,IXN_Close,IXN_Volume,IXN_ATRPercentOfClose20,IXN_SQN25,IXN_SQN50,IXN_SQN100,IXN_SQN200,IXN_MACD,IXN_MACD_Avg,IXN_MACD_Diff,IXN_LinReg10,IXN_LinReg30,IXN_LinReg90,IXN_LinReg270
1/16/2018, 162.18, 162.85, 160.5, 160.59, 89444, 0.886148938877044, 1.80506928376875, 0.865250089031212, 2.18947847110886, 1.79681198720658, 1.76398302278864, 1.38016262010395, 0.383820402684684, 161.142545454541, 160.08969892473, 160.345968253968, 158.272799274663
1/17/2018, 161.57, 163.41, 161.14, 163.25, 112879, 0.914495100701692, 1.95567605876679, 1.12376730168217, 2.39353096660862, 1.90523117529665, 1.99369093875666, 1.50286828383449, 0.490822654922164, 161.820545454541, 160.901505376342, 160.668412698412, 158.51965373117
1/18/2018, 163.23, 163.92, 162.83, 163.51, 38133, 0.900720194055859, 1.78766483632849, 1.05193276147529, 2.42135562807072, 1.91686839950066, 2.17168214427284, 1.63663105592216, 0.535051088350674, 162.514545454541, 161.509935483869, 160.966688644688, 158.766843242309
1/19/2018, 164.05, 164.37, 163.35, 163.94, 47532, 0.884548743342503, 2.02555382009739, 1.00619847200137, 2.4795852838493, 1.9360482189992, 2.32068742330378, 1.77344232939849, 0.547245093905295, 163.233636363632, 162.082967741934, 161.314525030525, 159.016922527159
1/22/2018, 163.78, 165.41, 163.62, 165.11, 50938, 0.888572920685551, 2.17259682261144, 1.1111257388525, 2.57048203114228, 1.99853344102922, 2.50431620404535, 1.91961710432786, 0.584699099717493, 164.400181818177, 162.753741935482, 161.699765567765, 159.280948787062
1/23/2018, 165.81, 166.66, 165.81, 166.52, 42815, 0.883537480108526, 2.46205078775063, 1.16703840419771, 2.63335909516614, 2.06347219422514, 2.73212432338366, 2.08211854813902, 0.650005775244639, 165.867999999995, 163.593978494622, 162.12168009768, 159.562275069697
1/24/2018, 166.58, 166.62, 164.31, 165.06, 409853, 0.916759530645148, 1.85072011641585, 1.18662190340488, 2.39882613327854, 2.00222394595361, 2.76300391177256, 2.21829562086573, 0.544708290906831, 166.389090909086, 164.220301075267, 162.45463003663, 159.817854547487
1/25/2018, 165.74, 166.11, 164.24, 164.39, 49154, 0.931348085174729, 1.47111660730215, 1.13804053226233, 2.23716322608841, 1.98851696381411, 2.70226280396591, 2.31508905748576, 0.387173746480145, 166.225272727267, 164.765827956987, 162.756879120879, 160.059841868723
1/26/2018, 165.65, 166.92, 165.21, 166.87, 32743, 0.94743870159873, 1.99026515198232, 1.34336790046324, 2.39925292773105, 2.10361363309979, 2.82171335706366, 2.41641391740134, 0.405299439662316, 166.748727272722, 165.522365591396, 163.161137973138, 160.335042544403
1/29/2018, 166.53, 166.53, 165.38, 165.5, 48665, 0.952532576005989, 1.66491684179847, 1.22458313843548, 2.4225616860599, 2.06101666389909, 2.77385594587739, 2.48790232309655, 0.285953622780835, 166.620363636358, 166.039612903224, 163.494517704517, 160.586183408501
