Date,XBI_Open,XBI_High,XBI_Low,XBI_Close,XBI_Volume,XBI_ATRPercentOfClose20,XBI_SQN25,XBI_SQN50,XBI_SQN100,XBI_SQN200,XBI_MACD,XBI_MACD_Avg,XBI_MACD_Diff,XBI_LinReg10,XBI_LinReg30,XBI_LinReg90,XBI_LinReg270
5/24/2017, 69.62, 70.49, 68.99, 70.1, 5861075, 1.90503391338368, 0.481108442121904, -0.0630010683269461, 0, 0, 0.10489991633753, 0.150351998331898, -0.0454520819943679, 69.7138181818174, 70.2043655913975, 71.07084004884, 71.3687434343434
5/25/2017, 70.56, 70.56, 69.57, 69.76, 7165431, 1.88956039939487, 0.291249558344839, -0.343152666244612, 0, 0, 0.0999742315992194, 0.140276444985362, -0.0403022133861428, 69.6070909090901, 70.077892473118, 71.022275946276, 71.3728732673267
5/26/2017, 69.53, 69.83, 68.55, 68.72, 3614442, 1.91538048295542, 0.197275921464263, -0.374118648906683, 1.02437223215613, 0, 0.0120128064441474, 0.114623717277119, -0.102610910832972, 69.2925454545447, 69.8731612903222, 70.9416141636142, 71.3359464181712
5/30/2017, 68.59, 68.81, 67.24, 67.46, 4628734, 1.96996293283815, -0.342900017100311, -0.497345235197831, 0.618041533655983, 0, -0.157552558636823, 0.0601884620943308, -0.217741020731154, 68.654181818181, 69.5296129032255, 70.7888156288156, 71.2512564249
5/31/2017, 67.82, 67.98, 66.66, 67.71, 4938940, 1.96202945616303, -0.630616207234337, -0.489227878796568, 0.629143130237842, 0, -0.268664425197287, -0.00558211536399267, -0.263082309833294, 68.3432727272719, 69.1624946236556, 70.6336874236875, 71.1786687826736
6/1/2017, 67.96, 69.84, 67.85, 69.58, 5014344, 1.9668951387318, -0.16640305853772, 0.352853269244128, 0.713530737560485, 0, -0.20348238987917, -0.0451621702670281, -0.158320219612142, 68.4183636363628, 69.0495483870964, 70.5394041514041, 71.1790934065934
6/2/2017, 69.84, 71.3, 69.62, 71.1, 4411658, 1.94956027518018, 0.0183004259592453, 0.482505708842199, 0.653909692000247, 0, -0.0288413948022423, -0.041898015174071, 0.0130566203718286, 69.2494545454537, 69.1538494623652, 70.5080512820513, 71.2363000898472
6/5/2017, 71.66, 71.75, 70.05, 70.66, 4241979, 1.98390954977421, -0.116683470832536, 0.45442949175635, 0.569651703312028, 0, 0.0732145574067715, -0.0188755006579025, 0.092090058064674, 69.6965454545446, 69.1448602150534, 70.4586764346764, 71.2749832481043
6/6/2017, 70.6, 71.44, 70.25, 70.66, 2983550, 1.9689201294607, -0.253598093697887, 0.362155449565285, 0.831988071731531, 0, 0.152338570591525, 0.0153673135919829, 0.136971256999542, 70.1547272727264, 69.1972473118276, 70.4001953601954, 71.3121339563863
6/7/2017, 70.85, 71.23, 70.33, 70.83, 2530151, 1.92951717535378, 0.0204027537222026, 0.221311212247885, 0.742075299416643, 0, 0.226155520287946, 0.0575249549311756, 0.168630565356771, 70.6223636363627, 69.3561935483867, 70.3608180708181, 71.3540265035678
6/8/2017, 70.9, 71.74, 70.74, 71.62, 2409852, 1.88263496863716, 0.265019497043951, 0.421838284614668, 0.763140717525588, 0, 0.344431984918629, 0.114906360928666, 0.229525623989962, 71.3885454545445, 69.6117634408599, 70.3261001221001, 71.4229107589658
6/9/2017, 71.6, 72.75, 70.71, 71.35, 4931109, 1.9382284601416, 0.161989786762401, 0.308621852570687, 0.923413153176013, 0, 0.411635118348144, 0.174252112412562, 0.237383005935582, 71.9105454545445, 69.8688387096771, 70.3301001221001, 71.4796707616707
6/12/2017, 71.2, 71.55, 69.88, 71.26, 3852265, 1.96081912152046, 0.261242881694697, 0.374853383560577, 0.824338112136454, 0, 0.452416660284669, 0.229885021986983, 0.222531638297686, 72.1067272727263, 70.1301290322577, 70.3267741147741, 71.5311920849421
