Date,IXG_Open,IXG_High,IXG_Low,IXG_Close,IXG_Volume,IXG_ATRPercentOfClose20,IXG_SQN25,IXG_SQN50,IXG_SQN100,IXG_SQN200,IXG_MACD,IXG_MACD_Avg,IXG_MACD_Diff,IXG_LinReg10,IXG_LinReg30,IXG_LinReg90,IXG_LinReg270
5/11/2017, 61.73, 61.77, 61.32, 61.71, 15507, 0.909169391076006, 0.706204481968529, -0.0719323234409275, 0, 0, 0.395212026938616, 0.31479175010986, 0.080420276828756, 62.0261818181829, 61.8322580645163, 61.5877509157509, 61.5877509157509
5/12/2017, 61.57, 61.63, 61.33, 61.62, 16401, 0.895806572008038, 0.583003423096908, 0.123711169453555, 0, 0, 0.36849897177207, 0.325533194442302, 0.042965777329768, 61.8647272727284, 61.9723225806453, 61.5974212454212, 61.613779264214
5/15/2017, 61.85, 62.24, 61.85, 62.2, 13518, 0.892919950462678, 0.886557848934319, 0.141385168806456, 0, 0, 0.389638327732499, 0.338354221100341, 0.0512841066321575, 61.9450909090921, 62.1614623655916, 61.6470915750916, 61.6635063113604
5/16/2017, 62.24, 62.34, 62.08, 62.33, 22794, 0.867361461139735, 0.977044583154743, 0.296688427708376, 0, 0, 0.412130548752977, 0.353109486630868, 0.0590210621221085, 62.034181818183, 62.3367096774195, 61.6965567765567, 61.7167536032944
5/17/2017, 61.48, 61.52, 60.62, 60.75, 17863, 0.986164738752225, 0.30779519447399, -0.126353873356955, 0, 0, 0.29901612876899, 0.342290815058493, -0.0432746862895025, 61.5747272727285, 62.2981290322582, 61.6759609279609, 61.7017357222844
5/18/2017, 60.45, 60.98, 60.11, 60.69, 214397, 1.00945843607246, 0.433466727552981, -0.143628486360918, 0, 0, 0.202199803952261, 0.314272612837246, -0.112072808884985, 61.1994545454558, 62.2165806451615, 61.6418363858364, 61.6846447368421
5/19/2017, 61.05, 61.61, 61.05, 61.4, 20712, 1.02281483486931, 0.922007810997257, -0.00726204444593694, 0, 0, 0.180680463381286, 0.287554182946054, -0.106873719564768, 61.2058181818195, 62.2348602150539, 61.6382295482295, 61.6971670962199
5/22/2017, 61.62, 61.62, 61.36, 61.58, 37568, 0.989944613801999, 0.729577866356669, -0.0379518029295513, 0, 0, 0.176120518906806, 0.265267450138205, -0.0891469312313983, 61.2500000000013, 62.2551612903227, 61.6494822954823, 61.7164275194614
5/23/2017, 61.7, 61.93, 61.46, 61.84, 22651, 0.974494661255349, 0.981311416902843, 0.023544064534626, 0, 0, 0.191281582137272, 0.250470276538018, -0.0591886944007464, 61.3556363636377, 62.2925161290324, 61.6663638583639, 61.7453370439085
5/24/2017, 61.88, 61.97, 61.63, 61.89, 29518, 0.952490101137974, 1.07210666960154, 0.10429151231496, 0, 0, 0.204968664928806, 0.241369954216176, -0.0364012892873695, 61.5249090909104, 62.3220215053765, 61.6882612942613, 61.7751050505051
5/25/2017, 61.99, 62.13, 61.72, 61.86, 26472, 0.938443772089521, 0.775905971559052, -0.018695891392538, 0, 0, 0.210963175207887, 0.235288598414518, -0.0243254232066312, 61.6361818181832, 62.307677419355, 61.6889133089133, 61.8025405940594
5/26/2017, 61.68, 61.81, 61.59, 61.69, 19034, 0.915861973648644, 0.774035124518505, -0.147643178034283, 0.719702322769909, 0, 0.199694336535281, 0.228169746038671, -0.02847540950339, 61.6625454545469, 62.2119354838711, 61.6794065934066, 61.8222830518346
5/30/2017, 61.59, 61.59, 61.35, 61.46, 18324, 0.900985175669795, 0.0739389880127634, -0.0819449664215738, 0.50715180237083, 0, 0.17024217704494, 0.216584232239925, -0.0463420551949841, 61.7216363636378, 62.1199569892475, 61.6550134310134, 61.8323491338283
5/31/2017, 61.59, 61.59, 60.88, 61.18, 25940, 0.917878742265974, -0.284308441895161, -0.121723416773467, 0.484182630898324, 0, 0.122890859187322, 0.197845557629404, -0.074954698442082, 61.7503636363651, 61.9538494623657, 61.6214139194139, 61.8312434652726
6/1/2017, 61.27, 61.58, 61.09, 61.58, 158560, 0.906106371861654, 0.0267825229735892, 0.339939823944123, 0.555439830603384, 0, 0.11630061460729, 0.181536569024981, -0.0652359544176911, 61.6640000000015, 61.8137849462367, 61.6027130647131, 61.8452252747253
6/2/2017, 61.58, 61.85, 61.44, 61.68, 54597, 0.892641518487008, 0.130701366854466, 0.450186281845327, 0.678444166213271, 0, 0.117789162419427, 0.168787087703871, -0.0509979252844432, 61.5549090909107, 61.7259569892475, 61.5954822954823, 61.8623899371069
6/5/2017, 61.63, 61.77, 61.49, 61.6, 88725, 0.871838026254298, 0.222573332576181, 0.392589473466168, 0.652045169486825, 0, 0.11123131056376, 0.157275932275848, -0.0460446217120887, 61.5061818181834, 61.6056344086023, 61.605199023199, 61.875907247399
6/6/2017, 61.26, 61.47, 61.1, 61.37, 74967, 0.872086708430854, -0.0452790174958884, 0.292557165658705, 0.513469518880637, 0, 0.0864782208128645, 0.143116389983252, -0.0566381691703871, 61.4030909090925, 61.5526021505378, 61.6054383394384, 61.8803997923157
6/7/2017, 61.57, 61.78, 61.56, 61.74, 16342, 0.856721140777153, 0.12572335472537, 0.440941397592413, 0.632824179806667, 0, 0.095614937152618, 0.133616099417125, -0.0380011622645068, 61.4912727272744, 61.5776559139787, 61.61621001221, 61.8981566428814
6/8/2017, 61.76, 62.39, 61.67, 62.22, 17033, 0.865465526679562, 0.247512956797235, 0.372645051491997, 0.683931149758606, 0, 0.139974302522475, 0.134887740038195, 0.00508656248428019, 61.760727272729, 61.6473978494625, 61.635452991453, 61.9326188490409
