Date,XLU_Open,XLU_High,XLU_Low,XLU_Close,XLU_Volume,XLU_ATRPercentOfClose20,XLU_SQN25,XLU_SQN50,XLU_SQN100,XLU_SQN200,XLU_MACD,XLU_MACD_Avg,XLU_MACD_Diff,XLU_LinReg10,XLU_LinReg30,XLU_LinReg90,XLU_LinReg270
1/20/2017, 48.62, 48.78, 48.33, 48.64, 11874247, 0, 0, 0, 0, 0, 0.0652008577341903, 0.0417533338551126, 0.0234475238790777, 48.7792727272727, 48.7128571428571, 48.7128571428571, 48.7128571428571
1/23/2017, 48.71, 48.82, 48.34, 48.39, 10625505, 0, 0, 0, 0, 0, 0.0421773708684654, 0.0418381412577831, 0.000339229610682279, 48.7581818181818, 48.6451428571429, 48.6451428571429, 48.6451428571429
1/24/2017, 48.38, 48.59, 48.29, 48.38, 11049442, 0, 0, 0, 0, 0, 0.0228606518612082, 0.0380426433784681, -0.0151819915172599, 48.6296363636363, 48.58925, 48.58925, 48.58925
1/25/2017, 48.16, 48.43, 48.11, 48.38, 19230002, 0, 0, 0, 0, 0, 0.00746595005368533, 0.0319273047135116, -0.0244613546598263, 48.4607272727272, 48.5445588235294, 48.5445588235294, 48.5445588235294
1/26/2017, 48.36, 48.63, 48.18, 48.4, 11488239, 0, 0, 0, 0, 0, -0.00308506646278062, 0.0249248304782531, -0.0280098969410338, 48.3801818181818, 48.5127450980392, 48.5127450980392, 48.5127450980392
1/27/2017, 48.49, 48.64, 48.29, 48.39, 7228797, 0, 0, 0, 0, 0, -0.0121140957396548, 0.0175170452346716, -0.0296311409743264, 48.3118181818181, 48.4847368421053, 48.4847368421053, 48.4847368421053
1/30/2017, 48.41, 48.59, 48.14, 48.43, 9319923, 0, 0, 0, 0, 0, -0.015859185962384, 0.0108417989952604, -0.0267009849576444, 48.2536363636363, 48.4694736842105, 48.4694736842105, 48.4694736842105
1/31/2017, 48.47, 49.22, 48.42, 49.18, 15916468, 0, 0, 0, 0, 0, 0.0412164178341925, 0.0169167227630469, 0.0242996950711456, 48.564909090909, 48.5961428571429, 48.5961428571429, 48.5961428571429
2/1/2017, 48.92, 48.94, 48.19, 48.33, 24379533, 0, 0, 0, 0, 0, 0.0176578006624553, 0.0170649383429285, 0.000592862319526721, 48.562909090909, 48.5519913419914, 48.5519913419914, 48.5519913419914
2/2/2017, 48.48, 48.84, 48.19, 48.84, 15661096, 1.07382780507781, 0, 0, 0, 0, 0.0396827268024111, 0.0215884960348251, 0.0180942307675861, 48.6865454545454, 48.6011462450593, 48.6011462450593, 48.6011462450593
2/3/2017, 48.98, 49.1, 48.79, 48.9, 11336644, 1.05058205521473, 0, 0, 0, 0, 0.0612728230453641, 0.0295253614369329, 0.0317474616084312, 48.8330909090908, 48.6529347826087, 48.6529347826087, 48.6529347826087
2/6/2017, 49.09, 49.12, 48.75, 48.8, 7041999, 1.0380079789959, 0, 0, 0, 0, 0.0695126668477357, 0.0375228225190934, 0.0319898443286423, 48.880909090909, 48.6817666666667, 48.6817666666667, 48.6817666666667
2/7/2017, 48.88, 49, 48.75, 48.92, 6109128, 1.00924059497649, 0, 0, 0, 0, 0.0847488673556001, 0.0469680314863948, 0.0377808358692053, 48.9458181818181, 48.7247076923077, 48.7247076923077, 48.7247076923077
2/8/2017, 49.04, 49.49, 48.95, 49.4, 15881993, 1.00715480588943, 0.559347523655311, 0, 0, 0, 0.134010860718114, 0.0643765973327385, 0.0696342633853751, 49.1470909090908, 48.8317094017094, 48.8317094017094, 48.8317094017094
2/9/2017, 49.35, 49.47, 48.86, 48.98, 14496034, 1.02727184647592, 0.212970002450745, 0, 0, 0, 0.137574976763176, 0.079016273218826, 0.0585587035443499, 49.1516363636362, 48.8663227513228, 48.8663227513228, 48.8663227513228
2/10/2017, 48.85, 49.36, 48.84, 49.29, 9479582, 1.02251950270585, 0.352287234146331, 0, 0, 0, 0.163528914100326, 0.0959188013951259, 0.0676101127051996, 49.2296363636362, 48.9385221674877, 48.9385221674877, 48.9385221674877
2/13/2017, 49.33, 49.58, 49.16, 49.53, 13042814, 1.00908513979311, 0.398428627141548, 0, 0, 0, 0.201144917266468, 0.116964024569394, 0.0841808926970739, 49.3494545454544, 49.0335172413793, 49.0335172413793, 49.0335172413793
