Date,THD_Open,THD_High,THD_Low,THD_Close,THD_Volume,THD_ATRPercentOfClose20,THD_SQN25,THD_SQN50,THD_SQN100,THD_SQN200,THD_MACD,THD_MACD_Avg,THD_MACD_Diff,THD_LinReg10,THD_LinReg30,THD_LinReg90,THD_LinReg270
5/5/2017, 77.45, 77.76, 77.33, 77.7, 260799, 0.699422070037368, -0.215409659984599, 0.724664107133125, 0, 0, 0.0945827713407823, 0.221156081286694, -0.126573309945911, 77.5281818181818, 77.7281935483871, 78.2985244587009, 78.2985244587009
5/8/2017, 77.85, 77.85, 77.46, 77.6, 142370, 0.690436083760417, -0.199680226094688, 0.732191212359416, 0, 0, 0.0795251047285461, 0.192829885975064, -0.113304781246518, 77.5592727272726, 77.6506236559139, 78.314960815047, 78.314960815047
5/9/2017, 77.16, 77.6, 76.79, 77.49, 195596, 0.709110183182577, -0.47614645225706, 0.746504388905746, 0, 0, 0.0580465898075175, 0.165873226741555, -0.107826636934037, 77.5614545454545, 77.5875913978494, 78.3255643513789, 78.3255643513789
5/10/2017, 77.47, 77.62, 77.45, 77.55, 388169, 0.684094141716015, -0.442176999383445, 0.821275292563092, 0, 0, 0.0453435186892506, 0.141767285131094, -0.0964237664418434, 77.5843636363635, 77.5435483870967, 78.3381423220974, 78.3381423220974
5/11/2017, 77.02, 77.29, 76.51, 76.82, 107119, 0.723755866383404, -0.477542615898838, 0.274338667254971, 0, 0, -0.0233593833970218, 0.108741951425471, -0.132101334822493, 77.298909090909, 77.4087096774192, 78.3180683760684, 78.3180683760684
5/12/2017, 76.56, 76.82, 76.37, 76.73, 123565, 0.717698154213403, -0.367087858632586, 0.433989078686757, 0, 0, -0.0840997268162056, 0.0701736157771355, -0.154273342593341, 77.0379999999999, 77.2768602150536, 78.2546764346765, 78.2946129957
5/15/2017, 76.58, 76.9, 76.58, 76.8, 110459, 0.702025135470764, -0.800052517983633, 0.394403582782109, 0, 0, -0.125145867935899, 0.0311097190345286, -0.156255586970428, 76.8743636363636, 77.154193548387, 78.2209133089133, 78.2747896213184
5/16/2017, 77.26, 77.26, 76.83, 77.02, 162299, 0.694881250116165, -0.544843225288473, 0.734036529425737, 0, 0, -0.138328504221292, -0.00277792561663546, -0.135550578604656, 76.8321818181818, 77.0924516129031, 78.2091550671551, 78.2647792267216
5/17/2017, 77.28, 77.28, 76.53, 76.8, 221023, 0.710856330595699, -1.03963674354804, 0.792819779796257, 0, 0, -0.164630244852617, -0.0351483894638318, -0.129481855388785, 76.7009090909091, 77.0115053763439, 78.1780463980464, 78.2456954087346
5/18/2017, 76.93, 77.33, 76.35, 76.9, 250614, 0.738154458781043, -1.22360111188025, 0.982368016586139, 0, 0, -0.175383685576861, -0.0631954486864377, -0.112188236890423, 76.664, 76.9093763440858, 78.1428131868132, 78.2312302631579
5/19/2017, 77.32, 77.93, 77.25, 77.72, 155580, 0.760111605587353, -0.512454069942724, 1.35800032784246, 0, 0, -0.116396966080728, -0.0738357521652958, -0.0425612139154325, 76.9758181818182, 76.8965161290321, 78.1595311355311, 78.2507109106529
5/22/2017, 77.94, 78.07, 77.82, 77.95, 75614, 0.742425661153773, -0.585271333849122, 1.55133379324134, 0, 0, -0.0505082603093427, -0.0691702537941052, 0.0186619934847624, 77.3460000000001, 76.9588387096772, 78.1915286935287, 78.2786282347991
5/23/2017, 78.17, 78.33, 78.01, 78.09, 120488, 0.728370806410421, -0.180658462372389, 1.48666574032306, 0, 0, 0.0128576289452695, -0.0527646772462302, 0.0656223061914998, 77.7234545454546, 77.0274193548384, 78.2160634920634, 78.3109833024119
5/24/2017, 78.4, 78.44, 78.13, 78.38, 169135, 0.711719219940804, 0.610155011905215, 1.58453125809036, 0, 0, 0.0854906461225937, -0.0251136125724655, 0.110604258695059, 78.1803636363637, 77.165827956989, 78.2592161172161, 78.3535474747474
5/25/2017, 78.51, 78.83, 78.38, 78.68, 289041, 0.702152069598529, 0.522063260762904, 1.37633717385426, 0, 0, 0.165354227715966, 0.0129799554852208, 0.152374272230745, 78.5496363636364, 77.3654193548385, 78.3039413919413, 78.4062613861386
5/26/2017, 78.82, 78.88, 78.7, 78.82, 133115, 0.678546797693626, 0.514331413027962, 1.13678916671353, 1.42036030315759, 0, 0.237209122380676, 0.0578257888643119, 0.179383333516364, 78.8478181818183, 77.5741505376342, 78.3380659340659, 78.462434478742
5/30/2017, 78.61, 78.86, 78.44, 78.78, 105804, 0.671603270684197, 0.694582335788149, 1.07443999058822, 1.16057676430294, 0, 0.287611571221916, 0.103782945335833, 0.183828625886083, 79.0321818181819, 77.8000430107524, 78.3527277167277, 78.514959071007
5/31/2017, 78.47, 78.49, 78.12, 78.18, 133320, 0.685129961387515, 0.249767752019976, 0.591045408910495, 0.880303880669387, 0, 0.275959796710382, 0.138218315610742, 0.137741481099639, 78.9452727272728, 77.911892473118, 78.3499047619047, 78.5425578790142
6/1/2017, 78.17, 78.59, 77.88, 78.51, 131699, 0.693354825655486, 0.520300731421829, 0.85573594871158, 1.03364133689833, 0, 0.29001085888271, 0.168576824265136, 0.121434034617574, 78.865090909091, 78.00776344086, 78.3793357753357, 78.5815549450549
6/2/2017, 78.7, 78.91, 78.66, 78.88, 124450, 0.680952370614877, 0.986418999899691, 0.669463085423563, 1.18086584927035, 0, 0.327230228289707, 0.20030750507005, 0.126922723219657, 78.8394545454546, 78.1735268817202, 78.4396678876679, 78.6329703504043
6/5/2017, 78.67, 78.69, 78.42, 78.58, 67844, 0.678644016854116, 0.693077356589989, 0.654533958511041, 0.937831157718506, 0, 0.328729959553982, 0.225991995966837, 0.102737963587145, 78.7661818181819, 78.3052903225804, 78.4928107448107, 78.6713542585082
6/6/2017, 78.94, 79.06, 78.58, 78.94, 98369, 0.672174493313613, 0.811858585427611, 0.611233944468908, 0.93815320021597, 0, 0.354876701033959, 0.251768936980261, 0.103107764053698, 78.8163636363637, 78.4616989247309, 78.5590012210012, 78.7215784008307
6/7/2017, 78.79, 78.84, 78.39, 78.68, 174348, 0.675627628076611, 0.644088477720286, 0.329717744673899, 1.00459453068111, 0, 0.35057712013041, 0.271530573610291, 0.0790465465201192, 78.7507272727273, 78.5766881720427, 78.61063003663, 78.7605079850492
6/8/2017, 78.68, 79.05, 78.6, 78.94, 182921, 0.66823489597434, 0.962653917685339, 0.380518055959552, 0.97310903447311, 0, 0.363954062497939, 0.29001527138782, 0.0739387911101185, 78.8007272727273, 78.7131182795696, 78.6752551892551, 78.8074261884904
6/9/2017, 78.57, 78.84, 77.92, 78.33, 153163, 0.704876031581816, 0.465450052974605, 0.138578394651822, 0.927170835698014, 0, 0.321625979595012, 0.296337413029259, 0.0252885665657534, 78.6694545454545, 78.7423440860212, 78.7056703296703, 78.830800982801
6/12/2017, 78.44, 78.58, 78.26, 78.56, 184290, 0.688038347455619, 0.508839226400031, 0.189034433479366, 1.13169130274631, 0, 0.303145276698501, 0.297698985763107, 0.00544629093539389, 78.6647272727273, 78.8027526881717, 78.7413089133088, 78.8614414414414
6/13/2017, 79, 79.56, 79, 79.47, 156774, 0.70906855350834, 0.982025978575654, 0.564167003481207, 1.47599201508337, 0, 0.357804039082154, 0.309719996426917, 0.0480840426552375, 78.9805454545454, 78.9819139784943, 78.8127423687423, 78.9230230720607
6/14/2017, 79.91, 80.07, 79.4, 79.52, 123850, 0.715319341674325, 1.07043251413397, 0.444585376006371, 1.35955761439616, 0, 0.400538920846188, 0.327883781310771, 0.0726551395354169, 79.156, 79.1551397849459, 78.9040976800976, 78.9842850489054
6/15/2017, 79.06, 79.36, 78.79, 79.32, 200650, 0.727282959498804, 0.926504402184401, 0.369552931816715, 1.11373026863699, 0, 0.413501703757078, 0.345007365800032, 0.0684943379570453, 79.2552727272727, 79.2749892473115, 78.9857582417581, 79.0365812356979
6/16/2017, 79.38, 79.57, 79.04, 79.49, 240495, 0.722778715940028, 1.54099279843466, 0.701074632501022, 0.978154346751386, 0, 0.432506713687189, 0.362507235377464, 0.0699994783097257, 79.4430909090908, 79.4128172043007, 79.0647545787544, 79.0929610194902
6/19/2017, 79.65, 79.89, 79.36, 79.82, 162894, 0.71700070312665, 1.77906322681623, 0.945949661166691, 0.96320258655306, 0, 0.468792613618902, 0.383764311025751, 0.0850283025931506, 79.6516363636363, 79.5899999999996, 79.1688034188033, 79.1587135278514
6/20/2017, 78.03, 78.04, 77.01, 77.71, 115202, 0.880445841170901, 0.350517841942576, -0.10907406447392, 0.439798411743204, 0, 0.323560283210767, 0.371723505462755, -0.0481632222519872, 79.1356363636363, 79.4791182795695, 79.1681050061048, 79.1511227002752
6/21/2017, 77.99, 78.21, 77.63, 77.94, 76344, 0.871163382108303, 0.353139260841717, 0.0209070282355782, 0.496398727256683, 0, 0.224434551031052, 0.342265714576414, -0.117831163545362, 78.7141818181817, 79.3893763440856, 79.1808205128204, 79.1512790200826
6/22/2017, 78.28, 78.4, 77.94, 78.03, 188043, 0.856126493674806, 0.468513368213099, -0.110251739955805, 0.47879304127132, 0, 0.151393768827219, 0.304091325426575, -0.152697556599356, 78.4161818181817, 79.312150537634, 79.1981416361415, 79.1542478991596
6/23/2017, 78.26, 78.62, 78.08, 78.36, 122522, 0.847541766033345, 0.548881209059079, -0.112838985418438, 0.599349658756109, 0, 0.118767585974325, 0.267026577536125, -0.1482589915618, 78.1598181818181, 79.2250322580641, 79.2072185592184, 79.1678278236914
6/26/2017, 78.47, 78.66, 78.33, 78.48, 86827, 0.824958003912516, 0.303562363805355, -0.0321411162610433, 0.65270648347361, 0, 0.101424934611259, 0.233906248951152, -0.132481314339893, 77.9892727272726, 79.1372043010749, 79.224586080586, 79.1847730659802
6/27/2017, 78.53, 78.59, 78.13, 78.16, 185219, 0.816345559617471, 0.0960238617463793, -0.240552486896036, 0.601934823298133, 0, 0.061154482009286, 0.199355895562779, -0.138201413553493, 77.8945454545453, 79.002150537634, 79.2228693528694, 79.1907117153138
