Date,IYH_Open,IYH_High,IYH_Low,IYH_Close,IYH_Volume,IYH_ATRPercentOfClose20,IYH_SQN25,IYH_SQN50,IYH_SQN100,IYH_SQN200,IYH_MACD,IYH_MACD_Avg,IYH_MACD_Diff,IYH_LinReg10,IYH_LinReg30,IYH_LinReg90,IYH_LinReg270
3/20/2017, 157.92, 158.11, 157.36, 157.65, 46671, 0.797967827142317, 1.62135774205525, 1.58405783718311, 0, 0, 1.78051994099198, 2.14043383742191, -0.359913896429933, 158.725090909091, 160.673462365592, 159.679203354298, 159.679203354298
3/21/2017, 157.84, 158.33, 155.88, 156.12, 108362, 0.843963915907873, 0.993075838568568, 1.22799501771361, 0, 0, 1.49385183276789, 2.01111743649111, -0.51726560372322, 157.655818181818, 160.327311827957, 159.695393939394, 159.695393939394
3/22/2017, 156.16, 156.55, 155.39, 156.38, 110488, 0.8375218328684, 0.824587176886971, 1.13945135742095, 0, 0, 1.27297110031006, 1.8634881692549, -0.590517068944839, 156.854363636363, 159.973139784947, 159.72651948052, 159.72651948052
3/23/2017, 156.01, 156.82, 155.56, 155.72, 54125, 0.839475218422568, 0.327818636837183, 0.950861922840595, 0, 0, 1.03276002957747, 1.69734254131941, -0.664582511741939, 156.064181818182, 159.481268817205, 159.707481203008, 159.707481203008
3/24/2017, 155.39, 156.18, 154.9, 155.42, 67861, 0.840219578961036, 0.335485237292534, 1.21464109737923, 0, 0, 0.808859503737636, 1.51964593380306, -0.710786430065421, 155.444, 158.960602150538, 159.666823956443, 159.666823956443
3/27/2017, 153.98, 156.2, 153.98, 155.92, 178352, 0.86683928049011, 0.417167447583935, 1.25194824668241, 0, 0, 0.664107131598314, 1.34853817336211, -0.684431041763795, 155.159818181818, 158.488688172043, 159.660023378142, 159.660023378142
3/28/2017, 155.53, 156.23, 155.22, 156.02, 54484, 0.855337146412748, 0.252486597506455, 1.23141478221378, 0, 0, 0.551106188963814, 1.18905177648245, -0.637945587518636, 154.953818181818, 158.062021505377, 159.658169491525, 159.658169491525
3/29/2017, 156.05, 156.48, 155.83, 156.08, 44245, 0.833080577294663, 0.350592625000182, 1.39968055587299, 0, 0, 0.461078599276249, 1.04345714104121, -0.582378541764961, 155.266, 157.688064516129, 159.658349726776, 159.658349726776
3/30/2017, 156.04, 156.38, 155.74, 156.06, 55825, 0.812032908361806, 0.110365152746368, 1.40513781473845, 0, 0, 0.383694264344086, 0.911504565701785, -0.527810301357699, 155.508909090909, 157.402107526882, 159.655346377578, 159.655346377578
3/31/2017, 155.64, 156.21, 155.61, 155.7, 71582, 0.792482741779038, -0.183470490801941, 1.51371367518693, 0, 0, 0.289974978977369, 0.787198648356902, -0.497223669379533, 155.614181818181, 157.037376344086, 159.62801843318, 159.62801843318
4/3/2017, 155.78, 156.48, 155.22, 155.83, 109731, 0.792659210359022, -0.37175385276319, 1.62899809560918, 0, 0, 0.223614000653242, 0.67448171881617, -0.450867718162928, 155.827090909091, 156.686903225807, 159.60849702381, 159.60849702381
4/4/2017, 155.84, 155.84, 155.23, 155.65, 51473, 0.773492325812619, -0.312376966922363, 1.74237213202484, 0, 0, 0.154714499109872, 0.570528274874911, -0.415813775765039, 155.77109090909, 156.358688172043, 159.577360576923, 159.577360576923
4/5/2017, 155.95, 156.65, 154.96, 155.09, 50001, 0.791955487053307, -0.988167124283493, 1.80640893942512, 0, 0, 0.054297915289709, 0.46728220295787, -0.412984287668161, 155.599272727272, 155.931096774194, 159.512587412587, 159.512587412587
4/6/2017, 155.01, 155.57, 154.72, 155.28, 36527, 0.778807043165523, -0.820947093629463, 1.66296785031493, 0, 0, -0.00983813089749219, 0.371858136186798, -0.38169626708429, 155.431454545454, 155.593247311828, 159.460909090909, 159.460909090909
4/7/2017, 155.15, 156.04, 155.09, 155.62, 56036, 0.768773292504853, -0.874228950715183, 1.89497548270031, 0, 0, -0.0328525473587149, 0.290915999477695, -0.32376854683641, 155.34509090909, 155.358924731183, 159.430263388938, 159.430263388938
4/10/2017, 155.65, 156.16, 155.33, 155.38, 57297, 0.758171417110471, -0.756973556095131, 1.66115013566384, 0, 0, -0.0696546964681204, 0.218801860288532, -0.288456556756652, 155.264909090909, 155.158623655914, 159.38594629156, 159.38594629156
4/11/2017, 155.13, 155.47, 154.43, 155.24, 55189, 0.7544089219988, -0.504730031444749, 1.82306131038517, 0, 0, -0.108862594528574, 0.153268969325111, -0.262131563853685, 155.185818181818, 154.924924731183, 159.334542443064, 159.334542443064
4/12/2017, 155.18, 155.42, 154.71, 155.36, 27871, 0.73898506049523, -0.672993140134642, 1.54465957622482, 0, 0, -0.128767784239386, 0.0968616186122115, -0.225629402851598, 155.202727272727, 154.835612903226, 159.291078470825, 159.291078470825
4/13/2017, 155.01, 155.67, 155, 155.1, 49862, 0.724811625071644, -1.04564497848987, 1.29492146339001, 0, 0, -0.163636319947443, 0.0447620309002806, -0.208398350847724, 155.16509090909, 154.70711827957, 159.234131455399, 159.234131455399
4/17/2017, 154.82, 155.54, 154.64, 155.48, 22392, 0.715830774994735, -1.12900078350428, 1.32278890933876, 0, 0, -0.15877678159967, 0.00405426840029047, -0.16283104999996, 155.23909090909, 154.682279569893, 159.199387366819, 159.199387366819
4/18/2017, 154.89, 154.89, 153.57, 154.18, 37920, 0.747713714174162, -1.39499866146165, 0.87106827806619, 0, 0, -0.256863732676464, -0.0481293318150605, -0.208734400861404, 154.901999999999, 154.466838709678, 159.095342465753, 159.095342465753
4/19/2017, 154.68, 155.1, 154.53, 154.6, 39315, 0.738152493071175, -1.08480367258097, 0.967249655269928, 0, 0, -0.297280987991002, -0.0979596630502488, -0.199321324940753, 154.763999999999, 154.254838709678, 159.017286486486, 159.017286486486
4/20/2017, 155.03, 155.78, 154.25, 155.47, 297930, 0.746526382307605, -1.58239559487912, 1.11861407272696, 0, 0, -0.25615740183585, -0.129599210807369, -0.126558191028481, 154.871818181818, 154.212043010753, 158.987245614035, 158.987245614035
4/21/2017, 155.23, 155.37, 154.36, 154.72, 38581, 0.748509137955631, -1.46586747811763, 0.998371104716318, 0, 0, -0.280847955112165, -0.159848959668328, -0.120998995443837, 154.737818181817, 154.144817204301, 158.918848257006, 158.918848257006
