Date,FXS_Open,FXS_High,FXS_Low,FXS_Close,FXS_Volume,FXS_ATRPercentOfClose20,FXS_SQN25,FXS_SQN50,FXS_SQN100,FXS_SQN200,FXS_MACD,FXS_MACD_Avg,FXS_MACD_Diff,FXS_LinReg10,FXS_LinReg30,FXS_LinReg90,FXS_LinReg270
7/10/2017, 113.53, 113.53, 113.53, 113.53, 250, 0.521902909756468, 0.88983784025357, 1.34352812415595, 0.676930076033316, 0, 0.961498043331474, 0.668763353122774, 0.2927346902087, 114.29818181818, 112.399290322581, 111.627286935287, 110.970215848182
7/11/2017, 113.86, 113.86, 113.86, 113.86, 904, 0.508862247298605, 0.781630738415212, 1.10343543671842, 0.558155372515036, 0, 1.00555528935195, 0.736121740368608, 0.269433548983338, 114.324363636362, 112.72823655914, 111.807455433456, 111.098706736932
7/12/2017, 113.86, 114.08, 113.86, 114.08, 6500, 0.492129231272337, 1.04748235657106, 0.974430181248698, 0.641748556967354, 0, 1.04616361270871, 0.798130114836629, 0.248033497872082, 114.214545454544, 113.074043010753, 112.00981929182, 111.23062184874
7/13/2017, 114.75, 114.75, 114.75, 114.75, 188, 0.493986906913907, 1.30017880688757, 1.24447650943311, 0.658490074017086, 0, 1.11950445166106, 0.862404982201515, 0.257099469459543, 114.408363636362, 113.438623655914, 112.220214896215, 111.380643250689
7/17/2017, 115.11, 115.68, 115.11, 115.68, 1093, 0.505711857624069, 1.63203052162055, 1.52003318988713, 1.03295512926886, 0, 1.23839537161902, 0.937603060085016, 0.300792311534005, 114.90509090909, 113.908258064516, 112.450048840049, 111.556588538139
7/18/2017, 115.99, 115.99, 115.55, 115.55, 2235, 0.500006147169664, 1.69758744531444, 1.63635426618488, 1.11983307285998, 0, 1.30706039014312, 1.01149452609664, 0.295565864046484, 115.305818181817, 114.350064516129, 112.672874236875, 111.723174730108
7/19/2017, 115.57, 115.86, 115.49, 115.73, 1667, 0.49025252562155, 1.77237845322799, 1.58414763247739, 1.11312665077794, 0, 1.36032146858632, 1.08125991459457, 0.279061553991747, 115.79618181818, 114.830408602151, 112.890046398047, 111.890693679518
7/20/2017, 115.82, 116.66, 115.82, 116.65, 976, 0.501929520365819, 2.18107483462159, 1.78144204431535, 1.35551068074786, 0, 1.45993830818043, 1.15699559331174, 0.302942714868682, 116.297272727271, 115.363870967742, 113.131301587302, 112.082690322581
7/21/2017, 116.22, 116.38, 116.16, 116.38, 729, 0.498991017555759, 1.82694370832945, 1.63169257279444, 1.39096035086248, 0, 1.49980975449284, 1.22555842554796, 0.27425132894488, 116.64218181818, 115.816043010753, 113.353841269842, 112.260659047619
7/24/2017, 116.55, 116.88, 116.55, 116.88, 3266, 0.493403027823257, 1.88507134328268, 1.81721928471543, 1.47478195554069, 0, 1.55384225796277, 1.29121519203093, 0.262627065931845, 117.039454545453, 116.281397849462, 113.591528693529, 112.449245094363
7/25/2017, 117.33, 117.33, 116.83, 116.86, 919, 0.490206217673996, 2.57336370075878, 2.06796236429233, 1.48569038568358, 0, 1.57687237027723, 1.34834662768019, 0.228525742597043, 117.219454545453, 116.684043010753, 113.815941391942, 112.631883612205
7/26/2017, 116.66, 117.12, 116.58, 117.07, 1311, 0.487923666759324, 2.44113081183304, 2.21948777322827, 1.47478652650126, 0, 1.59369798681675, 1.3974168995075, 0.196281087309251, 117.356363636362, 117.068086021505, 114.03097924298, 112.815879360465
7/27/2017, 116.6, 116.67, 116.6, 116.67, 900, 0.485258956750993, 2.56467822620232, 2.00598726132812, 1.28763311870387, 0, 1.55680981758913, 1.42929548312382, 0.127514334465302, 117.223999999999, 117.331849462366, 114.247457875458, 112.982483005367
7/28/2017, 117.96, 118.22, 117.93, 118.22, 868, 0.520507565216811, 3.15487887145171, 2.10122435309939, 1.64390432186448, 0, 1.63381413152658, 1.47019921280438, 0.163614918722202, 117.619818181817, 117.806215053764, 114.515128205129, 113.191598355843
7/31/2017, 117.98, 118.76, 117.96, 118.74, 1103, 0.526003740457595, 3.15207310913253, 2.07793179992301, 1.86510376697994, 0, 1.71700766373937, 1.51956090299137, 0.197446760747993, 118.191999999999, 118.316774193548, 114.808842490843, 113.410680083276
8/1/2017, 118.1, 118.15, 118.04, 118.15, 5172, 0.531822259287669, 2.88380834759342, 1.79328491864263, 1.72711876778646, 0, 1.71555521560136, 1.55875976551337, 0.156795450087986, 118.367454545453, 118.621806451613, 115.073636141637, 113.606127819549
8/2/2017, 118.39, 118.39, 118.39, 118.39, 372, 0.514342933846576, 2.78147287451205, 2.22678757384384, 1.82925196128751, 0, 1.7140120700163, 1.58981022641396, 0.12420184360234, 118.519999999998, 118.943290322581, 115.341946275947, 113.803410391651
8/3/2017, 118.17, 118.37, 118.17, 118.31, 3583, 0.498253798843643, 2.77929934584207, 1.95157895855599, 1.90183638975631, 0, 1.68688838535546, 1.60922585820226, 0.0776625271532032, 118.683818181817, 119.164946236559, 115.616742368743, 113.993014925373
8/4/2017, 118.28, 118.28, 118.28, 118.28, 194, 0.474729342189143, 2.4574350769923, 1.87494001871438, 1.89516776238623, 0, 1.64402067360858, 1.61618482128352, 0.027835852325059, 118.692727272726, 119.295290322581, 115.9012991453, 114.176654684096
8/8/2017, 117.16, 117.16, 117.16, 117.16, 152, 0.503102059273005, 1.62306844627548, 1.6439771781621, 1.68736134857589, 0, 1.50235485188543, 1.5934188274039, -0.0910639755184741, 118.311090909089, 119.258387096774, 116.128593406594, 114.322812365822
8/9/2017, 116.58, 117.05, 116.58, 117.05, 1618, 0.503171853064536, 1.37644237314489, 1.48338788874164, 1.7110678843555, 0, 1.36546732943128, 1.54782852780938, -0.182361198378096, 117.87218181818, 119.152774193548, 116.347091575092, 114.461872421454
8/10/2017, 117.4, 117.8, 117.4, 117.8, 436, 0.506803498566585, 1.35056232151672, 1.69464317447656, 1.91366955547588, 0, 1.30248744911043, 1.49876031206959, -0.196272862959159, 117.723999999998, 119.13023655914, 116.602525030526, 114.618719632989
8/11/2017, 117.77, 117.77, 117.77, 117.77, 290, 0.482859637637655, 1.84935869432154, 1.65235925389649, 1.73264861571303, 0, 1.23590791382647, 1.44618983242096, -0.210281918594498, 117.445636363635, 119.050387096774, 116.85234920635, 114.770574511819
