Date,XRT_Open,XRT_High,XRT_Low,XRT_Close,XRT_Volume,XRT_ATRPercentOfClose20,XRT_SQN25,XRT_SQN50,XRT_SQN100,XRT_SQN200,XRT_MACD,XRT_MACD_Avg,XRT_MACD_Diff,XRT_LinReg10,XRT_LinReg30,XRT_LinReg90,XRT_LinReg270
3/13/2017, 42.07, 42.21, 41.68, 41.88, 5402665, 1.7413312400392, -0.398201550933235, 0, 0, 0, -0.422528169473779, -0.271920408017272, -0.150607761456507, 41.7916363636365, 42.687935483871, 42.6035289115646, 42.6035289115646
3/14/2017, 41.89, 42, 41.54, 41.91, 4169819, 1.70796002663325, -0.219795870809907, 0, 0, 0, -0.440611756898456, -0.305658677793509, -0.134953079104947, 41.7076363636365, 42.5191397849462, 42.518, 42.518
3/15/2017, 42.01, 42.4, 41.79, 42.3, 6042041, 1.67970625249148, 0.0164498497577027, 0, 0, 0, -0.418647482010115, -0.32825643863683, -0.0903910433732851, 41.8060000000002, 42.4304301075269, 42.4689176470588, 42.4689176470588
3/16/2017, 42.26, 42.66, 42.13, 42.43, 5675907, 1.65328766807377, -0.18883060745183, -0.491889444892447, 0, 0, -0.386297722687225, -0.339864695446909, -0.0464330272403155, 42.0714545454547, 42.3360215053763, 42.4333484162896, 42.4333484162896
3/17/2017, 42.43, 42.64, 42.15, 42.44, 6384946, 1.62798176174721, -0.489856342669577, -0.756446892670263, 0, 0, -0.355752495608748, -0.343042255479277, -0.0127102401294708, 42.2660000000001, 42.2411397849462, 42.40118287373, 42.40118287373
3/20/2017, 42.49, 42.63, 41.68, 41.79, 6142081, 1.68430171500655, -0.856800313407394, -0.64792675698949, 0, 0, -0.379618742249733, -0.350357552833368, -0.0292611894163645, 42.1752727272729, 42.0862580645161, 42.3237106918239, 42.3237106918239
3/21/2017, 41.9, 41.99, 40.64, 40.96, 9795077, 1.79730518155805, -0.956914819934835, -0.795513188772694, 0, 0, -0.460202055233417, -0.372326453313378, -0.0878756019200389, 41.7478181818183, 41.8033978494624, 42.1916565656566, 42.1916565656566
3/22/2017, 40.84, 40.96, 40.49, 40.9, 5996113, 1.76740193703635, -1.17759633321591, -0.847687058394387, 0, 0, -0.522878986428793, -0.402436959936461, -0.120442026492332, 41.4390909090911, 41.5079784946236, 42.0639025974026, 42.0639025974026
3/23/2017, 40.99, 41.6, 40.92, 41.21, 3957702, 1.75133225584925, -1.20900718950075, -0.906621167713506, 0, 0, -0.541296764585532, -0.430208920866275, -0.111087843719257, 41.2096363636365, 41.3051827956989, 41.9658646616541, 41.9658646616541
3/24/2017, 41.13, 41.25, 40.83, 41.1, 3820269, 1.71931343431558, -0.94987816539457, -0.860999088514585, 0, 0, -0.558332952433851, -0.45583372717979, -0.102499225254061, 41.0380000000002, 41.1493118279569, 41.8665517241379, 41.8665517241379
3/27/2017, 40.8, 41.47, 40.66, 41.28, 6125619, 1.72433607177451, -1.04517881047748, -0.77846301079102, 0, 0, -0.550958650008077, -0.474858711745448, -0.0760999382626295, 40.9332727272729, 41.0533118279569, 41.7855639976622, 41.7855639976622
3/28/2017, 41.23, 41.72, 41.1, 41.72, 4591698, 1.6951477322797, -1.05696844246773, -0.644951320409298, 0, 0, -0.503802616483526, -0.480647492693063, -0.0231551237904625, 41.0192727272729, 40.9949462365591, 41.7387288135593, 41.7387288135593
3/29/2017, 41.64, 42.66, 41.59, 42.54, 6857923, 1.70511248756873, -0.587013629343539, -0.481647000010603, 0, 0, -0.395702560400373, -0.463658506234525, 0.0679559458341522, 41.4769090909093, 41.0821075268817, 41.7482513661202, 41.7482513661202
3/30/2017, 42.24, 42.66, 42.24, 42.59, 4761290, 1.66726252547816, -0.188398276062586, -0.455629829780149, 0, 0, -0.302510749390486, -0.431428954865717, 0.128918205475232, 41.9647272727274, 41.2113763440859, 41.76078265468, 41.76078265468
3/31/2017, 42.5, 42.6, 42.24, 42.24, 3601889, 1.63963720199122, -0.617162550463588, -0.339665534600742, 0, 0, -0.253970034218746, -0.395937170736323, 0.141967136517577, 42.3249090909093, 41.2462580645161, 41.7509062980031, 41.7509062980031
4/3/2017, 42.28, 42.37, 41.51, 41.6, 4259068, 1.68498465484384, -1.01559940279803, -0.497601811402648, 0, 0, -0.264099445019028, -0.369569625592864, 0.105470180573836, 42.3449090909092, 41.2336129032257, 41.7022023809524, 41.7022023809524
4/4/2017, 41.55, 41.61, 41.1, 41.22, 6463265, 1.67735549634712, -0.791320213642394, -0.507636695292683, 0, 0, -0.299339303110195, -0.35552356109633, 0.0561842579861357, 42.0780000000002, 41.2197419354838, 41.6332211538462, 41.6332211538462
4/5/2017, 41.43, 41.69, 40.7, 40.82, 7846411, 1.73036658210331, -0.955614419615025, -0.802071507184933, 0, 0, -0.355446436337054, -0.355508136144475, 6.16998074208786E-05, 41.6467272727274, 41.1630537634408, 41.5441398601399, 41.5441398601399
