Date,XLI_Open,XLI_High,XLI_Low,XLI_Close,XLI_Volume,XLI_ATRPercentOfClose20,XLI_SQN25,XLI_SQN50,XLI_SQN100,XLI_SQN200,XLI_MACD,XLI_MACD_Avg,XLI_MACD_Diff,XLI_LinReg10,XLI_LinReg30,XLI_LinReg90,XLI_LinReg270
1/16/2018, 80.47, 80.6, 79.09, 79.45, 13343749, 0.825014193603873, 2.85564239247218, 2.43489600902447, 2.89225236499713, 1.75114499746928, 1.49739948344494, 1.23788542933045, 0.259514054114485, 80.033272727273, 78.7507096774205, 76.7362588522593, 74.6313211078939
1/17/2018, 79.59, 79.97, 79.34, 79.89, 7814286, 0.818876064560474, 2.89399260437002, 2.43127358874816, 3.22726393405854, 1.83711664517599, 1.5357973561898, 1.29746781470232, 0.238329541487481, 80.2436363636366, 79.1018064516141, 76.9395482295487, 74.7566801149392
1/18/2018, 79.89, 80.11, 79.39, 79.46, 7790367, 0.827447877647237, 2.64811534301757, 2.30286077802371, 3.16959764656663, 1.80434157478735, 1.51407720114729, 1.34078969199132, 0.173287509155972, 80.1818181818184, 79.3990322580657, 77.1204713064718, 74.8737884548912
1/19/2018, 79.78, 79.79, 79.33, 79.69, 8657709, 0.8126685649386, 2.72839758946429, 2.3565706839123, 3.13904436382683, 1.80663204641283, 1.49815312296701, 1.37226237818645, 0.125890744780556, 80.1516363636366, 79.6495698924743, 77.3163614163619, 74.9927287021155
1/22/2018, 79.47, 79.71, 79.1, 79.69, 12175309, 0.810308445764326, 2.55748283734916, 2.31964890410397, 3.15143919349272, 1.83739006371129, 1.46860402327628, 1.39153070720442, 0.077073316071864, 80.0856363636366, 79.8680215053776, 77.5116507936513, 75.1100170236914
1/23/2018, 79.68, 79.81, 79.35, 79.73, 8953776, 0.798254183379045, 3.08705148606803, 2.37556037736133, 3.04090950248075, 1.81779011662813, 1.43190767425047, 1.39960610061363, 0.0323015736368373, 79.9845454545457, 80.098172043012, 77.6987741147746, 75.2262786178931
1/24/2018, 79.71, 80.08, 79.17, 79.66, 9660029, 0.816125605558256, 2.94251969275949, 2.79157453267621, 2.94690481024021, 1.80009892871888, 1.38125489168893, 1.39593585882869, -0.0146809671397639, 79.8616363636366, 80.3061935483884, 77.8823760683766, 75.3398912739674
1/25/2018, 79.86, 79.98, 79.07, 79.74, 12499163, 0.83160192440221, 2.72289354346488, 2.78115971331593, 2.90386481712972, 1.78761358909934, 1.33221063308159, 1.38319081367927, -0.0509801805976819, 79.6978181818184, 80.4823010752702, 78.0613064713071, 75.4531248959664
1/26/2018, 79.98, 80.66, 79.71, 80.66, 8008280, 0.839900081567575, 3.01428060243899, 3.09582802803754, 3.05195467838497, 1.8611821624544, 1.35199406997803, 1.37695146493902, -0.0249573949609885, 79.9803636363638, 80.7469247311842, 78.2815360195366, 75.5784064436184
1/29/2018, 80.52, 80.96, 80.09, 80.12, 12870292, 0.857576429733881, 2.41779456121233, 2.95351985199096, 3.15140604461404, 1.94667858684298, 1.30900965079459, 1.36336310211014, -0.0543534513155435, 80.1572727272729, 80.9233978494638, 78.4717460317466, 75.6940254202543
1/30/2018, 79.59, 79.86, 79.12, 79.49, 16742441, 0.884055508526413, 1.93803171811957, 2.87095650321155, 2.93856472891357, 1.93834682113509, 1.21015850014325, 1.33272218171676, -0.122563681573508, 79.9752727272729, 80.9523225806466, 78.6382271062277, 75.8011969386361
1/31/2018, 80.22, 80.52, 79.47, 79.73, 15991881, 0.903171877011493, 2.04182978708826, 2.75969232326631, 2.95532830474029, 1.88225791422467, 1.13806533652588, 1.29379081267858, -0.155725476152701, 79.9620000000002, 80.9868602150552, 78.8131770451776, 75.9132592592594
2/1/2018, 79.22, 80.27, 79.11, 79.59, 14169294, 0.932396017922101, 1.92160388115269, 2.88239140712411, 2.85672818820615, 1.89707529463906, 1.05744459196498, 1.24652156853586, -0.189076976570883, 79.8230909090911, 81.0053548387111, 78.9792967032973, 76.0205504988384
2/2/2018, 79.11, 79.24, 77.97, 77.99, 17929518, 1.00780778449928, 0.876658870443006, 2.03991035930095, 2.18000910352302, 1.65276100391039, 0.854594212699723, 1.16813609736864, -0.313541884668912, 79.1703636363639, 80.7928817204315, 79.0690012210018, 76.1055574689081
2/5/2018, 77.17, 78.18, 73.95, 74.45, 30309055, 1.28702461594955, -0.284045753456016, 0.675779470327895, 1.02645863516001, 1.01766949460625, 0.403533725096466, 1.0152156229142, -0.611681897817736, 77.3874545454548, 80.1290752688187, 78.9986617826624, 76.1335629356294
2/6/2018, 73.05, 76.03, 72.64, 75.81, 31980611, 1.42432441003261, 0.0613276910912335, 0.903250487368205, 1.25876414716585, 1.12897612399593, 0.154030109736667, 0.842978520278695, -0.688948410542028, 76.3681818181821, 79.6474408602166, 78.9868376068382, 76.1825633456335
2/7/2018, 75.75, 77.15, 75.49, 75.95, 22666820, 1.45989640353316, -0.00635335497137085, 0.930176601504137, 1.22173070576711, 1.04767113464156, -0.0320371685051839, 0.667975382521919, -0.700012551027103, 75.5970909090912, 79.1821290322596, 78.9765958485965, 76.2350129834632
2/8/2018, 76.04, 76.16, 72.99, 73.02, 27282131, 1.65961620454569, -0.625786776646484, 0.300075578648745, 0.639447490852839, 0.667830907701086, -0.411183472899737, 0.452143611437588, -0.863327084337325, 74.0321818181821, 78.346838709679, 78.8391648351654, 76.2413273199399
2/9/2018, 73.87, 74.43, 71.49, 73.81, 40362454, 1.7589204239687, -0.57209571616802, 0.246593469034746, 0.696431480811774, 0.737981480455124, -0.640529626224236, 0.233608963905223, -0.874138590129459, 73.2907272727276, 77.6396559139801, 78.7456752136758, 76.2602350690174
2/12/2018, 74.41, 75.54, 73.91, 75, 20776899, 1.75979494224631, -0.432532653573171, 0.334780450700208, 0.858454264244787, 0.841584585435903, -0.717988525538615, 0.0432894660164555, -0.761277991555071, 73.2260000000003, 77.1053978494641, 78.7093919413925, 76.2921768484351
2/13/2018, 74.58, 75.38, 74.49, 75.17, 12974634, 1.72722348855993, -0.45865554768024, 0.1526715731433, 0.803002863375022, 0.889768602215208, -0.756932238385616, -0.116754874863959, -0.640177363521657, 73.373272727273, 76.5886021505393, 78.6777509157515, 76.3273948339483
2/14/2018, 74.8, 76.21, 74.72, 76.12, 13482821, 1.71825565098919, -0.36873859205695, 0.47345993110554, 0.905654034589455, 0.990624861485327, -0.703034210121757, -0.234010741915518, -0.469023468206239, 74.1323636363639, 76.2255698924748, 78.688930402931, 76.3790159901599
2/15/2018, 76.72, 77.27, 76.07, 77.27, 10800393, 1.6856987077214, -0.158813484079458, 0.552577782050568, 1.03512339319477, 1.05115609973151, -0.561056732591695, -0.299419940050754, -0.261636792540941, 75.4576363636367, 76.0357849462383, 78.7471013431019, 76.4466133661336
2/16/2018, 77.09, 78.07, 77.03, 77.29, 11161691, 1.66827846019344, -0.329435873025179, 0.668278103616158, 1.0380559071164, 1.04782531402953, -0.441831566634036, -0.32790226536741, -0.113929301266626, 76.596363636364, 75.8810967741953, 78.7977973137979, 76.510778734454
2/20/2018, 76.93, 77.28, 76.24, 76.51, 11838869, 1.66964030948808, -0.592577072724694, 0.515249171290917, 0.917877342730504, 0.967773986963636, -0.405608640979096, -0.343443540489748, -0.0621651004893489, 76.7958181818185, 75.6614838709695, 78.8127765567772, 76.566954762881
2/21/2018, 76.59, 77.93, 76.51, 76.53, 8650501, 1.67851785018929, -0.470023407171613, 0.404199447640133, 0.908178556894046, 0.93617088980413, -0.371011093631438, -0.348957051118086, -0.0220540425133523, 77.1618181818186, 75.4729032258082, 78.8243272283278, 76.6273396200629
2/22/2018, 76.87, 77.74, 76.8, 77.04, 10545190, 1.66256649170869, -0.45404983326689, 0.433434328768606, 0.986779930612457, 0.997723914104077, -0.298992945782061, -0.338964230050881, 0.0399712842688199, 77.6927272727277, 75.3914623655932, 78.8631575091581, 76.6953538335383
2/23/2018, 77.4, 77.72, 76.97, 77.68, 6603270, 1.61470026255375, -0.266966812149301, 0.562194249363414, 1.04292485138518, 1.04162271809387, -0.188107012899707, -0.308792786620646, 0.120685773720939, 77.7992727272732, 75.3995913978513, 78.923521367522, 76.77140166735
2/26/2018, 78.05, 78.88, 77.77, 78.75, 8623340, 1.58931327714815, -0.118490982885072, 0.713587249100805, 1.11037239755405, 1.13941837523195, -0.0137307747394573, -0.249780384244408, 0.236049609504951, 78.1792727272732, 75.6149892473136, 79.0283174603181, 76.8580579472461
2/27/2018, 78.78, 79.28, 77.75, 77.76, 11019325, 1.62744983984884, -0.28128350677369, 0.501320301179985, 0.91500838990258, 1.04996654710415, 0.0440709021637389, -0.191010126962779, 0.235081029126518, 78.1858181818187, 75.7584946236578, 79.0807741147747, 76.9247661609949
2/28/2018, 78.16, 78.27, 76.65, 76.65, 16203886, 1.6741418730504, -0.467629094266687, 0.404217044178831, 0.75264132982343, 0.984728852686995, 0.000307875211390751, -0.152746526527945, 0.153054401739336, 77.6923636363642, 75.7287096774212, 79.0811208791215, 76.973126964603
3/1/2018, 76.68, 77.24, 74.75, 75.15, 35549373, 1.78784864725014, -0.690622074969051, 0.142422416802341, 0.505287331116813, 0.813136288395487, -0.153641024824907, -0.152925426187337, -0.00071559863756962, 76.7900000000006, 75.5560000000019, 79.0169230769237, 76.9974024873582
