Date,PGJ_Open,PGJ_High,PGJ_Low,PGJ_Close,PGJ_Volume,PGJ_ATRPercentOfClose20,PGJ_SQN25,PGJ_SQN50,PGJ_SQN100,PGJ_SQN200,PGJ_MACD,PGJ_MACD_Avg,PGJ_MACD_Diff,PGJ_LinReg10,PGJ_LinReg30,PGJ_LinReg90,PGJ_LinReg270
6/15/2017, 37.24, 37.39, 36.88, 37.37, 50923, 1.96440780021947, -0.0434004469264112, 1.15425127134874, 1.88158917509597, 0, 0.2780765438728, 0.613700304026867, -0.335623760154067, 37.751090909092, 39.2357634408604, 39.1324884004884, 38.992363081617
6/16/2017, 37.3, 37.57, 37.16, 37.35, 18883, 1.92207291886188, -0.0534149466550732, 1.1650844511509, 1.78344817309512, 0, 0.171645158865367, 0.525289274994567, -0.3536441161292, 37.3063636363647, 38.9338709677421, 39.1405006105006, 39.0168110944527
6/19/2017, 38.75, 38.75, 37.99, 38.37, 41137, 1.95986323543176, 0.210270481722124, 1.32808067477614, 1.95663757673513, 0, 0.167670197291287, 0.453765459453911, -0.286095262162624, 37.3343636363648, 38.7711612903228, 39.1962954822954, 39.0749027409372
6/20/2017, 38.39, 38.4, 38.01, 38.03, 17050, 1.92979107878888, 0.0515610044358027, 1.20619923812523, 1.90998566445211, 0, 0.135522632556132, 0.390116894074355, -0.254594261518223, 37.3100000000012, 38.5904946236561, 39.2374822954823, 39.1194553092858
6/21/2017, 38.11, 38.68, 38.11, 38.59, 37847, 1.89091622156061, -0.19182304069805, 1.28986001179113, 2.03537319970924, 0, 0.153463741295759, 0.342786263518636, -0.189322522222877, 37.7783636363649, 38.5115268817207, 39.3071526251526, 39.1811052556615
6/22/2017, 38.26, 38.74, 38.25, 38.65, 55145, 1.8569711291209, 0.22972407239108, 1.42254151953116, 2.14697127970025, 0, 0.170557615763613, 0.308340533967631, -0.137782918204018, 38.2285454545467, 38.4604086021508, 39.3782075702075, 39.2426176470588
6/23/2017, 38.71, 39.02, 38.67, 39, 23459, 1.79572660085889, 0.348364470976215, 1.52562839627036, 2.16252640142498, 0, 0.209926803842251, 0.288657787942555, -0.0787309841003044, 38.6103636363649, 38.4477204301078, 39.454945054945, 39.3135454545454
6/26/2017, 39.25, 39.34, 38.61, 38.72, 38499, 1.81254314467515, -0.0717200237677444, 1.47874462618553, 2.08299585459538, 0, 0.216043098731866, 0.274134850100417, -0.0580917513685513, 38.8340000000013, 38.4040000000002, 39.5209572649572, 39.3729724969516
6/27/2017, 38.71, 38.71, 37.95, 38.07, 28466, 1.85244515455032, -0.552940550328762, 1.22390738032481, 1.88642819649632, 0, 0.166521186195446, 0.252612117319423, -0.0860909311239771, 38.8141818181831, 38.2833978494626, 39.5618217338217, 39.4093362654937
6/28/2017, 38.21, 38.45, 37.71, 38.34, 46762, 1.84393473349098, -0.254158954219984, 1.36843174241381, 1.95180049808137, 0, 0.147362751174661, 0.231562244090471, -0.0841994929158095, 38.753272727274, 38.2832688172045, 39.6064859584859, 39.4530304222397
6/29/2017, 38.38, 38.38, 37.37, 37.78, 10572, 1.91137201688571, -0.370881243802933, 1.08004086559463, 1.76579927622457, 0, 0.0860008690224845, 0.202449969076874, -0.116449100054389, 38.4154545454559, 38.1389462365594, 39.6318876678876, 39.4773406451612
6/30/2017, 37.88, 37.88, 37.45, 37.72, 13853, 1.87569069613056, -0.484393402739611, 0.950484868828307, 1.69235783603295, 0, 0.0321589286579851, 0.168391760993096, -0.136232832335111, 38.0305454545468, 37.9898064516131, 39.6550451770451, 39.4987695238095
7/3/2017, 37.78, 37.93, 37.52, 37.57, 50458, 1.84358531820981, -0.571212517699942, 0.834907715974813, 1.56332671891233, 0, -0.0223572232362272, 0.130241964147231, -0.152599187383459, 37.7776363636377, 37.883548387097, 39.6579706959706, 39.5145981752281
7/5/2017, 37.65, 37.85, 37.34, 37.7, 67401, 1.81300597837893, -0.307214085280761, 0.814823682674328, 1.53118634319102, 0, -0.0544441545124812, 0.0933047404152888, -0.14774889492777, 37.5452727272741, 37.8464086021508, 39.6602246642246, 39.5337413877952
7/6/2017, 37.44, 37.59, 37.28, 37.34, 16030, 1.79520110111519, -0.317604498819385, 0.503376904769069, 1.33852577989846, 0, -0.107680990646152, 0.0531075942030007, -0.160788584849153, 37.3185454545468, 37.7395698924734, 39.6435311355311, 39.5409520348837
7/7/2017, 37.5, 37.63, 37.38, 37.59, 25224, 1.73267274966372, -0.459965650230695, 0.599184777822178, 1.35599118690912, 0, -0.128220608806195, 0.0168419536011614, -0.145062562407357, 37.258363636365, 37.6598709677422, 39.6323882783882, 39.5553416815742
7/10/2017, 37.71, 38.34, 37.71, 38.29, 5392, 1.71388378759118, -0.177619274041723, 0.726976572014781, 1.57221286640129, 0, -0.0870112428768195, -0.00392868569443474, -0.0830825571823847, 37.5678181818196, 37.6932473118282, 39.6588840048839, 39.5903546682325
7/11/2017, 38.38, 38.65, 38.38, 38.63, 11458, 1.66045507935602, -0.119540324570571, 0.878802937688782, 1.57135926339289, 0, -0.02661061438085, -0.00846507143171779, -0.0181455429491322, 37.9774545454559, 37.7803870967745, 39.6888986568986, 39.6344240111034
7/12/2017, 38.93, 39.58, 38.91, 39.58, 17604, 1.65958086735085, 0.17068309965857, 1.02536378743352, 1.66556340725233, 0, 0.0967985460006702, 0.0125876520547598, 0.0842108939459104, 38.5901818181832, 37.9516774193551, 39.7559316239316, 39.7055217589428
7/13/2017, 39.73, 39.78, 39.35, 39.56, 11669, 1.6317467187376, -0.265791692916721, 1.04328223661263, 1.71490947696066, 0, 0.190788075689902, 0.0482277367817882, 0.142560338908114, 39.1676363636378, 38.0913763440863, 39.8148791208791, 39.773896307934
7/14/2017, 39.52, 40.32, 39.52, 40.13, 67695, 1.62781722361317, 0.197901176336334, 1.22970152303586, 1.72622166670324, 0, 0.307722458486992, 0.100126681122829, 0.207595777364163, 39.763454545456, 38.3349462365594, 39.8965836385836, 39.8570547263681
7/17/2017, 40.39, 40.39, 39.77, 39.9, 20180, 1.63303483519841, 0.64931985654405, 1.1717273911646, 1.62861301051136, 0, 0.377483328672895, 0.155598010632842, 0.221885318040053, 40.1396363636378, 38.5417419354841, 39.9693089133089, 39.9310664488017
7/18/2017, 39.92, 40.78, 39.92, 40.78, 33616, 1.62580150633143, 1.03909698265355, 1.28318619008907, 1.93298221770332, 0, 0.49803690698181, 0.224085789902636, 0.273951117079174, 40.6709090909106, 38.8661505376347, 40.0686227106227, 40.0285208243881
7/19/2017, 40.97, 41.25, 40.81, 40.86, 31875, 1.59900088489442, 1.06274005942797, 1.14775781723425, 1.98707089442581, 0, 0.593193848312367, 0.297907401584582, 0.295286446727785, 41.0807272727288, 39.1988817204304, 40.1720170940171, 40.1255506188511
7/20/2017, 41.04, 41.04, 40.66, 40.81, 50064, 1.56746918277252, 1.44557495422354, 0.98244605522381, 1.97047002439617, 0, 0.656998359630471, 0.36972559319376, 0.287272766436711, 41.2289090909106, 39.5931612903229, 40.2764078144078, 40.2184412470024
7/21/2017, 40.89, 40.92, 40.64, 40.85, 25259, 1.5219093385924, 1.57601646700077, 0.87824005519016, 2.00455459094805, 0, 0.702691371522086, 0.436318748859425, 0.266372622662661, 41.2516363636379, 39.9443440860218, 40.3760586080586, 40.3098869475848
7/24/2017, 40.99, 41.29, 40.95, 41.26, 31337, 1.48476724811983, 1.75436885628177, 0.973277760335585, 1.97106687908753, 0, 0.763189413642046, 0.501692881815949, 0.261496531826096, 41.3781818181833, 40.2580645161294, 40.4910769230769, 40.4103920972644
7/25/2017, 41.3, 41.3, 40.9, 41.25, 26242, 1.45935568059523, 1.39862343590094, 0.917934506374047, 2.07017543824024, 0, 0.801093128537829, 0.561572931160325, 0.239520197377504, 41.4072727272743, 40.5417849462369, 40.608231990232, 40.5078803316352
7/26/2017, 41.35, 42, 41.33, 41.92, 36114, 1.4536856090965, 1.86999893180673, 1.02554243256571, 2.1996235678354, 0, 0.875107798287651, 0.62427990458579, 0.250827893701861, 41.7149090909106, 40.8928172043014, 40.7526373626373, 40.6213995863291
7/27/2017, 42.26, 42.35, 40.61, 41.4, 31643, 1.60849216658597, 1.32868411260145, 0.588632618222941, 2.10324884895312, 0, 0.881642279735097, 0.675752379615652, 0.205889900119445, 41.7112727272743, 41.1053118279573, 40.871006105006, 40.7175087412587
7/28/2017, 41.56, 42.28, 41.4, 42.14, 33086, 1.60564776724789, 1.57426313180553, 1.1353374276241, 2.20401061542621, 0, 0.935746021271008, 0.727751107946723, 0.207994913324285, 41.9769090909107, 41.3730537634411, 40.9990989010988, 40.8313840996169
7/31/2017, 42.42, 42.58, 42, 42.45, 116542, 1.58254174478763, 1.54787948802067, 1.2104820129457, 2.19262740876354, 0, 0.992200564966993, 0.780640999350777, 0.211559565616216, 42.1940000000016, 41.6480215053766, 41.1378949938949, 40.9507378365611
8/1/2017, 42.65, 42.66, 42.14, 42.35, 23560, 1.56835778542912, 1.65567735750915, 0.95742433156794, 2.26248814287696, 0, 1.01714699589728, 0.827942198660077, 0.189204797237201, 42.4134545454562, 41.9453978494626, 41.2682515262515, 41.0642829186469
