Date,EWZ_Open,EWZ_High,EWZ_Low,EWZ_Close,EWZ_Volume,EWZ_ATRPercentOfClose20,EWZ_SQN25,EWZ_SQN50,EWZ_SQN100,EWZ_SQN200,EWZ_MACD,EWZ_MACD_Avg,EWZ_MACD_Diff,EWZ_LinReg10,EWZ_LinReg30,EWZ_LinReg90,EWZ_LinReg270
5/9/2017, 37.33, 37.94, 37.33, 37.8, 14141464, 2.17966607591431, 0.00979125681334595, -0.0753914541773088, 0, 0, 0.0808888139809554, 0.00137373930186493, 0.0795150746790904, 37.6869090909087, 37.1762150537635, 37.6695582226762, 37.6695582226762
5/10/2017, 38.47, 38.76, 38.45, 38.58, 15761164, 2.15323506443969, 0.146137589954871, 0.23297306200589, 0, 0, 0.172709295649618, 0.0356408505714155, 0.137068445078202, 37.9979999999996, 37.3458064516129, 37.718, 37.718
5/11/2017, 38.85, 39.08, 38.57, 38.96, 12192172, 2.09107336619042, 0.532125733969857, 0.0612274439684398, 0, 0, 0.272993612676075, 0.0831114029923474, 0.189882209683727, 38.3145454545451, 37.6077849462366, 37.7811452991453, 37.7811452991453
5/12/2017, 39.47, 39.85, 39.42, 39.74, 22975341, 2.05950698111323, 0.982373715014104, 0.542214107173316, 0, 0, 0.41067513042983, 0.148624148479844, 0.262050981949986, 38.8712727272723, 37.9262795698925, 37.8227863247863, 37.8755685618729
5/15/2017, 40, 40.26, 39.91, 40.15, 16380799, 2.00130926669908, 1.03184372564447, 0.387434726639418, 0, 0, 0.546571759662207, 0.228213670716317, 0.318358088945891, 39.4894545454542, 38.2844946236559, 37.8862588522588, 37.9839270687237
5/16/2017, 40.37, 40.46, 39.99, 40.44, 18132475, 1.94572054166839, 1.08551525163514, 0.555603675257259, 0, 0, 0.669948642853818, 0.316560665143817, 0.353387977710001, 40.229636363636, 38.6914838709678, 37.9676068376068, 38.1004690002288
5/17/2017, 39.93, 40.09, 39.04, 39.14, 20321466, 2.08867378052673, 0.672543011681809, 0.310232625736333, 0, 0, 0.655272997002754, 0.384303131515604, 0.27096986548715, 40.3185454545451, 38.9398064516129, 37.9803052503052, 38.1582082866741
5/18/2017, 32.19, 34.59, 31.78, 32.75, 166606767, 3.49505823454428, -0.543245476937932, -0.46360276398177, 0, 0, 0.126563895586656, 0.332755284329815, -0.206191388743158, 37.9352727272723, 38.3162150537635, 37.7103272283272, 37.9489210526316
5/19/2017, 34.64, 35.19, 34.33, 34.96, 54404656, 3.45938213164356, -0.0549520770492734, -0.0634894481705048, 0, 0, -0.112812909176242, 0.243641645628603, -0.356454554804845, 36.6798181818178, 37.9610967741936, 37.5473797313797, 37.8377620274914
5/22/2017, 34.16, 34.39, 33.35, 33.99, 38466746, 3.61703440294634, -0.406700795426904, -0.294826666307122, 0, 0, -0.376452139014113, 0.11962288870006, -0.496075027714173, 35.1367272727269, 37.509311827957, 37.3595775335775, 37.6911235009468
5/23/2017, 34.42, 35, 34.42, 34.8, 30406374, 3.50131751115916, -0.244898036803074, -0.211517662891669, 0, 0, -0.514101653684641, -0.00712201977687994, -0.506979633907761, 34.1816363636359, 37.1863870967742, 37.2173431013431, 37.5821768707483
5/24/2017, 35.18, 35.83, 34.96, 35.18, 29025270, 3.4367128174793, -0.0772974512650086, -0.0745657256493578, 0, 0, -0.585774616418703, -0.122852539105245, -0.462922077313459, 33.6774545454541, 36.9198494623656, 37.0822393162393, 37.4921272727273
5/25/2017, 35.31, 35.48, 34.59, 34.95, 19679563, 3.41368752712377, -0.0924816306463091, -0.299980565248783, 0, 0, -0.653600731194182, -0.229002177523032, -0.42459855367115, 33.3552727272723, 36.6305376344086, 36.9431941391941, 37.3961049504951
5/26/2017, 35.35, 35.79, 35.23, 35.5, 23143069, 3.31106929913597, 0.0119609491515724, -0.188109019578908, 0.250177091245615, 0, -0.655417764352244, -0.314285294888874, -0.341132469463369, 33.5978181818177, 36.3683870967742, 36.8173211233211, 37.3248165404776
5/30/2017, 35.48, 35.64, 35.37, 35.54, 11321307, 3.17996094860328, -0.133384512278232, -0.105988473030057, 0.213601010073287, 0, -0.646181334326769, -0.380664502776453, -0.265516831550316, 34.1674545454541, 36.2124516129032, 36.7037582417582, 37.2574814391776
5/31/2017, 35.64, 35.74, 35.11, 35.17, 14579349, 3.14230939743226, -0.185526234601913, -0.256399669542171, 0.123269287950531, 0, -0.661096594741835, -0.43675092116953, -0.224345673572305, 34.9187272727268, 36.0045376344086, 36.5866764346764, 37.1782412247946
6/1/2017, 35.47, 35.57, 34.73, 34.89, 16180657, 3.12952910382081, -0.178127395602829, -0.132417981313837, 0.132519192361325, 0, -0.687584658089918, -0.486917668553607, -0.20066698953631, 35.6007272727268, 35.7200430107527, 36.4804615384615, 37.091021978022
6/2/2017, 35.25, 35.3, 34.71, 34.93, 16114302, 3.05410268853972, -0.149836438303529, -0.162327073669633, 0.138357367049038, 0, -0.697310808484104, -0.528996296539707, -0.168314511944398, 35.2503636363631, 35.4420860215053, 36.3718095238095, 37.0081850853549
6/5/2017, 34.59, 34.96, 34.36, 34.55, 19925686, 3.02013940854292, -0.272436902477431, -0.161335285532466, 0.0472911902564604, 0, -0.727297840177741, -0.568656605267314, -0.158641234910427, 35.0918181818176, 35.1136129032258, 36.2610158730158, 36.9139252336448
6/6/2017, 34.74, 35.11, 34.53, 34.96, 17451845, 2.91843609087242, -0.252521518783691, -0.176756924888234, 0.00550973595358781, 0, -0.70979710614651, -0.596884705443153, -0.112912400703357, 34.9032727272722, 34.9182150537634, 36.1621978021978, 36.8378452751817
6/7/2017, 35.17, 35.34, 34.78, 35.04, 13661720, 2.8460930208349, -0.359224562964683, -0.151501364209666, -0.0293898528448391, 0, -0.681615082547722, -0.613830780864067, -0.0677843016836555, 34.851454545454, 34.7468817204301, 36.0730183150183, 36.7671474685695
6/8/2017, 34.66, 35, 34.49, 34.89, 15859290, 2.79423171331477, -0.323425613975452, -0.191589170043057, 0.00700739139771367, 0, -0.663733268246133, -0.62381127834048, -0.0399219899056532, 34.8107272727267, 34.5471827956989, 35.9635042735042, 36.6932910758966
6/9/2017, 34.9, 35.02, 34.21, 34.24, 13364844, 2.82319530530592, -0.286852912938611, -0.385627553252525, -0.0975137500164901, 0, -0.69401123973924, -0.637851270620232, -0.0561599691190076, 34.5152727272722, 34.2670537634409, 35.822945054945, 36.5984717444717
6/12/2017, 34.11, 34.27, 33.49, 33.85, 21677946, 2.82815057285054, -0.446479154728914, -0.372236835530462, -0.0842785922159033, 0, -0.740935448290934, -0.658468106154372, -0.0824673421365612, 34.2338181818176, 33.9846451612903, 35.6737094017094, 36.4927783140283
6/13/2017, 33.84, 33.99, 33.56, 33.96, 16070186, 2.74135017804598, -0.362583210178588, -0.361650524821257, -0.125042555283181, 0, -0.760480791762596, -0.678870643276017, -0.081610148486579, 34.088363636363, 33.7576129032258, 35.5350402930403, 36.3942683312263
