Date,XLB_Open,XLB_High,XLB_Low,XLB_Close,XLB_Volume,XLB_ATRPercentOfClose20,XLB_SQN25,XLB_SQN50,XLB_SQN100,XLB_SQN200,XLB_MACD,XLB_MACD_Avg,XLB_MACD_Diff,XLB_LinReg10,XLB_LinReg30,XLB_LinReg90,XLB_LinReg270
8/16/2017, 54.17, 54.52, 54.16, 54.52, 5326670, 0.882832317263731, -0.296711074542063, 0.338828076699584, 0.829527130269063, 0, -0.152276206437278, -0.0623125419566627, -0.0899636644806157, 53.9263636363642, 54.2921075268814, 55.1292161172163, 54.8380496654036
8/17/2017, 54.34, 54.43, 53.68, 53.69, 4452046, 0.929882977097368, -0.691843079816377, -0.00858048757516366, 0.558713186020094, 0, -0.187329932177313, -0.0873160200007928, -0.10001391217652, 53.8014545454551, 54.1071182795696, 55.104070818071, 54.8327083830906
8/18/2017, 53.5, 53.95, 53.47, 53.71, 3768660, 0.927744296934273, -0.847558915816171, -0.0608166186476879, 0.402667429297497, 0, -0.211063421777887, -0.112065500356212, -0.098997921421675, 53.7698181818188, 53.9444301075266, 55.0758901098903, 54.8279088050315
8/21/2017, 53.8, 53.91, 53.63, 53.76, 2701598, 0.906579034206153, -0.882240784396539, -0.309392764558407, 0.405095550111903, 0, -0.22326415098884, -0.134305230482737, -0.0889589205061024, 53.8089090909097, 53.8135268817201, 55.034534798535, 54.8243796583852
8/22/2017, 53.91, 54.46, 53.91, 54.46, 3120377, 0.914447382206696, -0.328954170622283, 0.0396481271402658, 0.582261627257151, 0, -0.174438350216924, -0.142331854429575, -0.0321064957873496, 54.0501818181824, 53.7707526881717, 55.0112380952382, 54.838086036347
8/23/2017, 54.22, 54.54, 54.16, 54.36, 4109603, 0.905275279860704, -0.683017981189967, -0.256575262189219, 0.558408665933779, 0, -0.142173824253547, -0.142300248394369, 0.000126424140822229, 54.2516363636369, 53.7569032258061, 54.9894847374849, 54.8489820495343
8/24/2017, 54.35, 54.45, 54.19, 54.26, 2665166, 0.885555215675755, -0.529094807393284, -0.0780132718589158, 0.587496723399228, 0, -0.123252342951716, -0.138490667305838, 0.0152383243541226, 54.2874545454551, 53.7306881720427, 54.9600634920637, 54.8571449947629
8/25/2017, 54.46, 54.55, 54.32, 54.43, 2914439, 0.865289632600371, -0.43727681178317, 0.178384906492695, 0.580416329491596, 0, -0.0934619818981304, -0.129484930224297, 0.0360229483261665, 54.320545454546, 53.7492903225803, 54.9376947496949, 54.8691751662972
8/28/2017, 54.63, 54.63, 54.28, 54.51, 2310809, 0.852922930972597, -0.365390054364145, 0.218026239997594, 0.612481380837826, 0, -0.0626750952390722, -0.116122963227252, 0.0534478679881797, 54.4294545454551, 53.7906666666663, 54.9294822954825, 54.8828061336255
8/29/2017, 54.18, 54.32, 54.04, 54.25, 3009808, 0.857478110948395, -0.875163828068824, -0.0571499057102171, 0.467199227659877, 0, -0.058580809734238, -0.104614532528649, 0.0460337227944112, 54.4216363636369, 53.7892043010749, 54.9069230769232, 54.889875910829
8/30/2017, 54.21, 54.71, 54.06, 54.65, 5141917, 0.868111219451105, -0.440328200403812, 0.222193774247789, 0.583786365796095, 0, -0.0227966167064082, -0.0882509493642009, 0.0654543326577927, 54.6438181818188, 53.8795053763438, 54.9136800976803, 54.9062275449102
8/31/2017, 54.9, 55.19, 54.85, 55.07, 4640252, 0.867444420480348, -0.0876749065982982, 0.626413370921485, 0.687154351028991, 0, 0.0390034959701708, -0.0628000602973266, 0.101803556267497, 54.8380000000005, 54.0022795698921, 54.9563296703298, 54.9320865032404
9/1/2017, 55.26, 55.49, 55.13, 55.43, 5283697, 0.856605737399606, 0.216904073119106, 0.739420260968778, 0.815681505279569, 0, 0.11569585210173, -0.0271008778175152, 0.142796729919245, 55.0852727272733, 54.1725591397846, 55.0134529914532, 54.965793943613
9/5/2017, 55.48, 55.62, 54.74, 54.8, 6827968, 0.903422869030239, 0.101966971664965, 0.393992968579263, 0.832333573368316, 0, 0.124207574403073, 0.00316081262660238, 0.12104676177647, 55.0310909090915, 54.2584731182792, 55.03905982906, 54.9840536635708
9/6/2017, 54.85, 55.02, 54.54, 54.94, 6258511, 0.899748717905247, 0.154400767687739, 0.38534648333582, 1.01623974912464, 0, 0.140628922936564, 0.0306544346885947, 0.109974488247969, 55.1085454545461, 54.4041290322577, 55.0598485958488, 55.00512375901
9/7/2017, 55.01, 55.06, 54.68, 55.03, 4442630, 0.887889966084473, 0.175200404843802, 0.554675978471401, 0.940306844703731, 0, 0.159071530215662, 0.0563378537940083, 0.102733676421654, 55.1709090909097, 54.544086021505, 55.0838681318684, 55.0277785992742
