Date,FXF_Open,FXF_High,FXF_Low,FXF_Close,FXF_Volume,FXF_ATRPercentOfClose20,FXF_SQN25,FXF_SQN50,FXF_SQN100,FXF_SQN200,FXF_MACD,FXF_MACD_Avg,FXF_MACD_Diff,FXF_LinReg10,FXF_LinReg30,FXF_LinReg90,FXF_LinReg270
1/25/2018, 100.35, 101.46, 99.88, 100.22, 59724, 0.586447380990962, 2.01754391985488, 1.70499676336144, 0.342937264312365, 0.664459856279657, 0.884042175299996, 0.605143141954488, 0.278899033345508, 99.6032727272723, 98.6948172043001, 96.3901807081799, 97.4929315319314
1/26/2018, 100.56, 101.06, 100.52, 100.95, 29024, 0.594701027209198, 2.26784594974836, 1.90146784151035, 0.625553309523218, 0.73766946786381, 1.03514573818242, 0.691143661200075, 0.344002076982347, 100.189272727272, 99.1227526881711, 96.6392234432226, 97.5512912019826
1/29/2018, 100.82, 100.84, 100.42, 100.5, 17366, 0.593863833452041, 2.05098422512472, 1.56773565684143, 0.294213073070079, 0.652594387805165, 1.10583775197141, 0.774082479354341, 0.331755272617066, 100.548, 99.4932903225797, 96.8651794871786, 97.602254202542
1/30/2018, 101.16, 101.19, 100.73, 100.73, 6272, 0.597132428262023, 2.2356913008364, 1.60430906504801, 0.415242136458053, 0.691669754565141, 1.16696867158419, 0.852659717800311, 0.314308953783876, 100.998181818182, 99.8518279569883, 97.0824957264949, 97.6368763154298
1/31/2018, 100.89, 101.36, 100.89, 101.23, 35632, 0.595591149104928, 2.48904491417176, 1.96011321724951, 0.400475117402655, 0.735065679372366, 1.24145051832826, 0.930417877905901, 0.311032640422363, 101.415636363636, 100.220107526881, 97.3157973137965, 97.6819997266639
2/1/2018, 101.22, 101.8, 101.22, 101.78, 14439, 0.591246879767118, 2.73996649079008, 1.95206868429357, 0.387829021032515, 0.706106715402413, 1.329532301181, 1.01024076256092, 0.319291538620082, 101.906181818182, 100.647913978494, 97.5727863247855, 97.7425100451005
2/2/2018, 101.19, 101.42, 100.98, 101.24, 19668, 0.604190557601367, 2.2974445782782, 1.96241903905728, 0.532697415726372, 0.666234102120291, 1.34031395667895, 1.07625540138453, 0.264058555294426, 101.958181818182, 100.970107526881, 97.810827838827, 97.7895022550226
2/5/2018, 100.85, 100.94, 100.52, 100.77, 27060, 0.612383045043012, 1.77868091242667, 1.7114435164989, 0.527882957825258, 0.580843198144685, 1.29599401204996, 1.12020312351761, 0.175790888532345, 101.670909090909, 101.191913978494, 98.0211892551884, 97.8303673636737
2/6/2018, 100.43, 100.8, 100.31, 100.57, 55870, 0.607281967550314, 1.51004628397135, 1.41061539975792, 0.602371352786281, 0.5994169776296, 1.23054683022325, 1.14227186485874, 0.0882749653645056, 101.249818181818, 101.345440860214, 98.2138632478624, 97.8671373513736
2/7/2018, 100.19, 100.2, 99.79, 99.79, 39039, 0.620509370705564, 1.03839947984152, 1.05102353202462, 0.386540410549645, 0.488601640038651, 1.1030250002425, 1.13442249193549, -0.031397491692996, 100.693454545455, 101.361419354838, 98.3720903540895, 97.8923881372147
