Date,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,XAUUSD_Close,XAUUSD_Volume,XAUUSD_ATRPercentOfClose20,XAUUSD_SQN25,XAUUSD_SQN50,XAUUSD_SQN100,XAUUSD_SQN200,XAUUSD_MACD,XAUUSD_MACD_Avg,XAUUSD_MACD_Diff,XAUUSD_LinReg10,XAUUSD_LinReg30,XAUUSD_LinReg90,XAUUSD_LinReg270
7/12/2017, 1217.32, 1225.09, 1214.41, 1219.9, 561200000, 0.94820066818202, -2.0010457561497, -0.321072941293979, -0.189726925170194, 0, -10.9828920340128, -8.71600347301346, -2.26688856099936, 1212.0370909091, 1214.61915053766, 1250.44513064713, 1266.21631477427
7/13/2017, 1220.01, 1224.225, 1216.575, 1217.225, 436300000, 0.934194167355652, -1.85743110034335, -0.171354635941097, -0.377517658314872, 0, -10.9623740905527, -9.1652775965213, -1.79709649403136, 1213.6250909091, 1211.65945161293, 1247.92628693529, 1265.22877286742
7/14/2017, 1217.31, 1231.93, 1215.005, 1228.595, 426000000, 0.948150749914747, -1.10525804949099, 0.0413992347565566, -0.327373052003179, 0, -9.91436289165335, -9.31509465554771, -0.599268236105644, 1219.87054545455, 1211.31753763443, 1245.97595482296, 1264.58568389058
7/17/2017, 1228.5, 1235.815, 1228.41, 1233.95, 523700000, 0.926839504892364, -0.907163535657565, 0.165519536341148, -0.206422541646596, 0, -8.55310781682738, -9.16269728780365, 0.609589470976267, 1224.47145454546, 1212.03064516131, 1244.2282991453, 1264.10736090301
7/18/2017, 1233.815, 1244.33, 1232.7, 1242.35, 629400000, 0.921350607082413, -0.653689134169943, 0.400851310696402, -0.0370002941638987, 0, -6.71904064633031, -8.67396595950898, 1.95492531317867, 1231.80927272728, 1215.08134408604, 1242.70782295482, 1263.87353787058
7/19/2017, 1242.32, 1243.76, 1236.85, 1241.22, 604800000, 0.903915446394188, -0.550175124244385, 0.419847892024854, -0.0724657564696511, 0, -5.29566561934439, -7.99830589147606, 2.70264027213167, 1238.46527272728, 1217.83060215056, 1241.5647973138, 1263.61281759907
7/20/2017, 1241.155, 1247.36, 1235.18, 1244.46, 587400000, 0.905420852301178, -0.254133655762679, 0.374088579729056, 0.164976385380954, 0, -3.86167475068783, -7.17097966331842, 3.30930491263059, 1245.02281818183, 1220.7015698925, 1240.69842124542, 1263.44618869732
7/21/2017, 1244.3, 1255.7, 1243.3, 1254.805, 590700000, 0.902468536674613, 0.0583584766501051, 0.490295887555965, 0.291488005671978, 0, -1.86892777666117, -6.11056928598697, 4.2416415093258, 1251.66836363637, 1224.34641935486, 1240.34131990232, 1263.56476287199
7/24/2017, 1254.65, 1258.47, 1251.8, 1254.94, 533400000, 0.883827856753222, 0.338557383959923, 0.456023372647728, 0.413091122820953, 0, -0.275591226906272, -4.94357367417083, 4.66798244726456, 1256.34572727273, 1228.03821505379, 1240.0764981685, 1263.68296617277
7/25/2017, 1254.92, 1257.505, 1249.06, 1249.83, 607600000, 0.876853959359429, 0.2056720948082, 0.252730483157609, 0.478352753163118, 0, 0.568254687880653, -3.84120800176053, 4.40946268964118, 1257.67727272728, 1231.18874193551, 1239.8064981685, 1263.65954357419
7/26/2017, 1249.715, 1262.685, 1243.855, 1261.03, 613700000, 0.900273954485528, 0.404034667089491, 0.0235128485902991, 0.72108734379371, 0, 2.11635898364943, -2.64969460467854, 4.76605358832797, 1261.61627272728, 1235.53055913981, 1240.11781440782, 1263.93514873934
7/27/2017, 1260.945, 1264.8, 1255.03, 1258.765, 631200000, 0.895607076446867, 0.24050833815246, 0.253099055306303, 0.790673876370602, 0, 3.1244593978995, -1.49486380416293, 4.61932320206243, 1261.99436363637, 1239.08696774196, 1240.23870451771, 1264.14297181208
7/28/2017, 1258.92, 1270.67, 1257.375, 1269.255, 611900000, 0.896168145490433, 0.344554703908093, 0.288174682294586, 0.868363886073082, 0, 4.7154844016809, -0.252794162994166, 4.96827856467506, 1266.00445454546, 1243.89417204303, 1240.80843223443, 1264.62178763797
7/31/2017, 1269.415, 1270.97, 1265.9, 1269.45, 613000000, 0.871198239024172, 0.706781522580275, 0.196120021145127, 0.879161559126383, 0, 5.92383180462434, 0.982531030529536, 4.94130077409481, 1268.9350909091, 1247.9728387097, 1241.56697680098, 1265.09356308818
8/1/2017, 1269.385, 1273.88, 1264.34, 1268.9, 602200000, 0.865588678621463, 0.620218266518143, 0.368036372267503, 0.945658503018316, 0, 6.75916003422799, 2.13785683126923, 4.62130320295876, 1271.41936363637, 1251.78331182798, 1242.23115750916, 1265.53908797729
8/2/2017, 1268.825, 1272.68, 1262.97, 1266.51, 605600000, 0.862194692965422, 0.496120457638482, 0.181673973535615, 0.662881502146737, 0, 7.14593673794343, 3.13947281260407, 4.00646392533936, 1271.40381818182, 1255.35537634411, 1242.82178021978, 1265.91148883796
