Date,XLK_Open,XLK_High,XLK_Low,XLK_Close,XLK_Volume,XLK_ATRPercentOfClose20,XLK_SQN25,XLK_SQN50,XLK_SQN100,XLK_SQN200,XLK_MACD,XLK_MACD_Avg,XLK_MACD_Diff,XLK_LinReg10,XLK_LinReg30,XLK_LinReg90,XLK_LinReg270
9/18/2017, 58.83, 59.01, 58.57, 58.79, 10411964, 0.911341487729634, 0.818242303994173, 1.43568330163496, 1.15188284390581, 0, 0.361152440327025, 0.356289595483069, 0.00486284484395622, 58.9252727272699, 58.8260430107534, 58.4763760683761, 59.1014227188082
9/19/2017, 58.88, 59.17, 58.73, 59.05, 5616132, 0.899218929050702, 0.548224192564395, 1.38325012678649, 1.15625075333171, 0, 0.37179959628839, 0.359391595644133, 0.0124080006442571, 59.00727272727, 58.9420215053771, 58.5399804639805, 59.1502381829344
9/20/2017, 59.04, 59.06, 58.4, 58.81, 8950822, 0.91385706295565, 0.376781896675562, 1.24250287180506, 1.06689731575407, 0, 0.356759053565384, 0.358865087228383, -0.00210603366299988, 58.9732727272699, 59.0151827956997, 58.5935457875458, 59.192717503491
9/21/2017, 58.79, 58.79, 58.3, 58.49, 8104649, 0.916511150261595, 0.127447058783755, 0.872080962435338, 0.897076741714498, 0, 0.315382456804443, 0.350168561143595, -0.0347861043391525, 58.8414545454518, 59.0397419354847, 58.6376312576313, 59.2272725635021
9/22/2017, 58.3, 58.6, 58.27, 58.52, 4824802, 0.8984347286374, 0.885655619381567, 0.840982717741081, 0.87521241369525, 0, 0.281763955560926, 0.336487640027061, -0.0547236844661353, 58.6250909090881, 58.9879784946245, 58.6868864468865, 59.2616850795914
9/25/2017, 58.33, 58.33, 57.57, 57.83, 13573050, 0.945834001450245, 0.452509424789291, 0.384246397241642, 0.734875168388139, 0, 0.197170953668575, 0.308624302755364, -0.111453349086789, 58.3076363636335, 58.8629892473127, 58.6702295482296, 59.2804336075206
9/26/2017, 58.14, 58.28, 57.86, 58.04, 9053314, 0.934057568722851, 0.581572797398482, 0.456843389983889, 0.790963310076359, 0, 0.145399559551571, 0.275979354114606, -0.130579794563035, 58.1463636363608, 58.8206021505385, 58.667496947497, 59.3031996512642
9/27/2017, 58.3, 58.81, 58.21, 58.63, 7635478, 0.944091185813416, 0.454458832508324, 0.566052441062637, 0.869483732160519, 0, 0.150246478012022, 0.250832778894089, -0.100586300882067, 58.2247272727244, 58.858881720431, 58.6953797313798, 59.3379937898914
9/28/2017, 58.48, 58.73, 58.36, 58.7, 5589237, 0.927333269387198, 0.584476932972745, 0.487053723598839, 0.829555138867943, 0, 0.157915756258674, 0.232249374367006, -0.0743336181083316, 58.3025454545426, 58.9139569892481, 58.7336166056167, 59.3734947092958
9/29/2017, 58.8, 59.15, 58.73, 59.1, 12428714, 0.913075122967464, 0.83855099563467, 0.581532185133157, 0.898282884763334, 0, 0.19403367219256, 0.224606233932117, -0.0305725617395565, 58.5250909090881, 58.941010752689, 58.789347985348, 59.4166514690983
10/2/2017, 59.25, 59.38, 58.9, 59.19, 7571862, 0.90664981887157, 0.897851804947255, 0.638934328551919, 0.869672852198057, 0, 0.227299461916346, 0.225144879528963, 0.00215458238738292, 58.7690909090881, 58.9627741935492, 58.8516923076924, 59.4607741576163
10/3/2017, 59.24, 59.36, 59.17, 59.33, 6466221, 0.875297027474428, 0.913195513375615, 0.637493787900103, 0.916403967164029, 0, 0.261940186492915, 0.232503940921753, 0.0294362455711615, 59.0916363636335, 58.9872903225815, 58.9267155067156, 59.506884541196
10/4/2017, 59.23, 59.38, 59.03, 59.29, 6649636, 0.861609107911198, 0.744067214725071, 0.66392608455767, 0.875339015092634, 0, 0.282904398779479, 0.242584032493298, 0.0403203662861808, 59.3370909090881, 59.0486881720439, 58.9971843711844, 59.5511960078534
10/5/2017, 59.47, 59.87, 59.44, 59.86, 6422654, 0.859180818704514, 0.809516617565706, 0.773049473514468, 0.923002896881061, 0, 0.341575455143264, 0.262382317023291, 0.0791931381199727, 59.6892727272699, 59.1641075268826, 59.0957704517705, 59.606360103627
10/6/2017, 59.66, 59.98, 59.64, 59.95, 5926382, 0.843353388111252, 0.666939487996662, 0.886223563141831, 0.883742385438834, 0, 0.390829696395308, 0.288071792897695, 0.102757903497613, 60.0038181818153, 59.2740645161299, 59.193916971917, 59.6622541530901
10/9/2017, 60.04, 60.23, 60, 60.1, 6949243, 0.822480596279635, 0.782908916015821, 0.959674390342784, 1.35609877984415, 0, 0.436931113941554, 0.317843657106467, 0.119087456835088, 60.1541818181789, 59.3879354838719, 59.299225885226, 59.7200888183981
10/10/2017, 60.29, 60.34, 59.85, 60.16, 5472917, 0.821302022017715, 1.19647668189284, 1.08898849487824, 1.29220664972055, 0, 0.472857511005515, 0.348846427886276, 0.124011083119238, 60.2434545454517, 59.5012688172052, 59.4162002442003, 59.7779874411303
10/11/2017, 60.08, 60.38, 60.08, 60.36, 4980942, 0.802502537481055, 1.28413685200104, 1.05513206648926, 1.25992677057267, 0, 0.511570699462965, 0.381391282201614, 0.130179417261351, 60.4041818181789, 59.6414838709687, 59.5408522588523, 59.8387837977831
10/12/2017, 60.22, 60.5, 60.14, 60.21, 6106396, 0.794172072815789, 1.05997517068563, 0.943463145758608, 1.11993022759822, 0, 0.524105867633757, 0.409934199288043, 0.114171668345715, 60.4327272727243, 59.7758279569901, 59.6542173382174, 59.8953591755115
10/13/2017, 60.43, 60.61, 60.43, 60.5, 5949956, 0.783904883950855, 1.6257748657902, 1.08970321311205, 1.16009577542522, 0, 0.551088055031002, 0.438164970436635, 0.112923084594367, 60.559090909088, 59.9591397849472, 59.7820024420025, 59.9566306278869
10/16/2017, 60.65, 60.73, 60.51, 60.72, 8306357, 0.760950810360266, 1.39264543283077, 1.11704314223476, 1.15368805342773, 0, 0.583497597236466, 0.467231495796601, 0.116266101439865, 60.7030909090879, 60.1562580645171, 59.9199560439561, 60.0210959798995
10/17/2017, 60.7, 60.72, 60.52, 60.72, 5131673, 0.739372308050421, 1.28751237626869, 0.996120262557623, 1.05891354473465, 0, 0.602240143440334, 0.494233225325347, 0.108006918114986, 60.7916363636333, 60.306193548388, 60.0239511599512, 60.0843164179105
10/18/2017, 60.9, 60.95, 60.68, 60.87, 6091317, 0.722851194637432, 1.46386443588308, 1.07735875501176, 1.10048092966687, 1.79744393928655, 0.622027150939765, 0.519792010448231, 0.102235140491534, 60.8481818181788, 60.4626236559149, 60.1237264957265, 60.1492823013645
10/19/2017, 60.61, 60.76, 60.29, 60.69, 6872564, 0.736529158126569, 1.48907549724869, 1.02339234106622, 1.0001676881637, 1.74483829880819, 0.616082189283318, 0.539050046215248, 0.0770321430680699, 60.8703636363606, 60.5930322580654, 60.2207277167278, 60.2094683704824
10/20/2017, 61.06, 61.17, 60.96, 61.1, 7407398, 0.734287346585375, 1.7214655578459, 1.73657726989256, 1.11276829860588, 1.78209447380353, 0.637110128848391, 0.558662062741877, 0.0784480661065143, 61.006909090906, 60.7293978494633, 60.3262808302809, 60.2765198493191
10/23/2017, 61.2, 61.25, 60.74, 60.81, 7055234, 0.742833564093868, 1.42808637977273, 1.46648862241215, 1.01013027967695, 1.68645002323905, 0.623190592851252, 0.571567768763752, 0.0516228240874999, 61.0105454545424, 60.8638279569902, 60.4097338217338, 60.3366609277858
10/24/2017, 60.93, 61.08, 60.73, 60.98, 8035815, 0.732422492307653, 1.36886427346003, 1.23751730793598, 0.928028194488448, 1.71016423224714, 0.618744339943511, 0.581003082999704, 0.0377412569438074, 61.0461818181787, 61.0165161290332, 60.4896678876679, 60.3989524035046
10/25/2017, 60.84, 61.02, 60.25, 60.65, 9225908, 0.763066239107579, 1.2935658961886, 1.05541924759142, 0.837732947638898, 1.66115705719178, 0.581884804589087, 0.58117942731758, 0.000705377271506991, 60.9630909090878, 61.1091612903235, 60.5692014652015, 60.4537090192768
10/26/2017, 61, 61.16, 60.86, 60.9, 9436449, 0.76380901530018, 1.75293231609007, 1.08223966620488, 0.920924175591642, 1.65729202172943, 0.566318105327476, 0.57820716291956, -0.011889057592084, 60.9205454545423, 61.2089677419364, 60.6463076923077, 60.5122203641769
10/27/2017, 61.88, 62.71, 61.88, 62.54, 14539163, 0.851297898627949, 1.97890404874824, 2.07431663922532, 1.17598651186476, 1.81690664326934, 0.678494416671484, 0.598264613669944, 0.0802298030015394, 61.464909090906, 61.5047311827967, 60.7981221001221, 60.6009445160103
