Date,ITB_Open,ITB_High,ITB_Low,ITB_Close,ITB_Volume,ITB_ATRPercentOfClose20,ITB_SQN25,ITB_SQN50,ITB_SQN100,ITB_SQN200,ITB_MACD,ITB_MACD_Avg,ITB_MACD_Diff,ITB_LinReg10,ITB_LinReg30,ITB_LinReg90,ITB_LinReg270
11/2/2017, 40.19, 40.19, 38.76, 39.01, 8304998, 1.24650214860962, 1.90566861363171, 3.05212770509803, 1.72011267983591, 1.96026916361647, 0.91559841158125, 0.894624303787788, 0.020974107793462, 39.6867272727287, 39.7453118279567, 37.9233211233209, 37.4330574010098
11/3/2017, 39.01, 39.38, 38.95, 39.09, 2483764, 1.23675483183418, 1.73067823485891, 3.16171601129751, 1.65330523657172, 1.94048506521288, 0.861357973953474, 0.887971037820925, -0.0266130638674512, 39.5469090909106, 39.7553763440857, 38.056493284493, 37.5049699442762
11/6/2017, 39.1, 39.57, 38.95, 39.53, 2208418, 1.24026079073054, 1.86460650751953, 3.17229154731338, 1.9119428528992, 1.97392247433987, 0.844145574399491, 0.879205945136639, -0.0350603707371477, 39.532545454547, 39.8056129032255, 38.1907619047616, 37.5837835253206
11/7/2017, 39.67, 39.77, 39.3, 39.43, 2191507, 1.24083524232055, 1.55490535552818, 3.18412185819853, 1.91002917673576, 1.82120904093217, 0.813062975610471, 0.865977351231405, -0.052914375620934, 39.5141818181834, 39.8330322580642, 38.3281684981682, 37.6593772609819
11/8/2017, 39.27, 39.94, 39.13, 39.88, 1579648, 1.26704681355227, 1.61935594140975, 3.42152118234821, 1.92748859662532, 1.78129544659425, 0.815342273133489, 0.855850335611822, -0.0405080624783333, 39.5781818181834, 39.9084731182793, 38.4785567765565, 37.7419320703191
11/9/2017, 39.64, 40.22, 39.36, 40.01, 2912880, 1.3072565753122, 1.78995015995585, 3.36839675889237, 1.92435643471521, 1.78642212076145, 0.818206768080202, 0.848321622105498, -0.0301148540252958, 39.7283636363652, 40.0053763440857, 38.6321880341878, 37.8254458208261
11/10/2017, 39.81, 40.21, 39.81, 40.02, 1227149, 1.29155844076284, 1.71256017878081, 3.15508277434844, 1.98283812844148, 1.87601812621935, 0.811924457647216, 0.841042189213841, -0.0291177315666259, 39.862545454547, 40.1034408602147, 38.7746764346761, 37.9077114490386
11/13/2017, 40.01, 40.35, 39.81, 40.23, 1443733, 1.28768979267618, 1.85204776108803, 3.19783733068611, 2.15651236832598, 1.93701713816293, 0.814501855938794, 0.835734122558832, -0.0212322666200383, 40.0152727272743, 40.2163655913975, 38.9383003663001, 37.9923819012038
11/14/2017, 40, 40.68, 39.89, 40.65, 2263454, 1.30783695796788, 2.11637810608787, 3.5794140161692, 2.25672347185054, 2.05899347442651, 0.840743386156532, 0.836735975278372, 0.00400741087816037, 40.3587272727289, 40.3858064516126, 39.1235238095235, 38.0831999177293
11/15/2017, 40.58, 40.8, 40.08, 40.33, 1612816, 1.3415669160507, 1.74752195312014, 3.22707098415265, 2.10123867418442, 2.01259716819705, 0.826194802866652, 0.834627740796028, -0.00843293792937572, 40.5870909090926, 40.5110107526878, 39.2837191697189, 38.1667371896784
11/16/2017, 40.54, 40.73, 40.38, 40.5, 978976, 1.31852158118786, 1.88903328169157, 3.38957625478887, 2.24730279981616, 2.03511910952064, 0.818942268347612, 0.831490646306345, -0.0125483779587325, 40.6610909090926, 40.6314193548384, 39.4480976800974, 38.2519092635236
11/17/2017, 40.51, 41.08, 40.31, 40.86, 1878971, 1.33578359853654, 2.12040342550274, 3.34346997818692, 2.18171319933756, 2.04500360303928, 0.832645356478302, 0.831721588340737, 0.000923768137565784, 40.7941818181835, 40.7846666666663, 39.6250989010986, 38.3420679852658
11/20/2017, 41.04, 41.2, 40.76, 41.16, 2036289, 1.31319513956251, 2.26568797446567, 3.3449639386865, 2.56591601620157, 2.13702422834578, 0.857824182147894, 0.836942107102168, 0.0208820750457259, 41.0223636363654, 40.9529247311824, 39.81188034188, 38.4360488095238
11/21/2017, 41.36, 41.89, 41.09, 41.81, 2308388, 1.3238114409752, 2.57232600382455, 3.3754080758051, 2.56332646015574, 2.21988864016142, 0.919627260012696, 0.853479137684274, 0.0661481223284223, 41.3661818181835, 41.1766021505372, 40.0222319902317, 38.5399559488692
