Date,VNQ_Open,VNQ_High,VNQ_Low,VNQ_Close,VNQ_Volume,VNQ_ATRPercentOfClose20,VNQ_SQN25,VNQ_SQN50,VNQ_SQN100,VNQ_SQN200,VNQ_MACD,VNQ_MACD_Avg,VNQ_MACD_Diff,VNQ_LinReg10,VNQ_LinReg30,VNQ_LinReg90,VNQ_LinReg270
1/5/2018, 81.17, 81.23, 80.84, 81.05, 5742862, 0.998082772096545, -0.960314358130203, -0.430609758106488, -0.433532096401291, 0.00126158413072099, -0.656131240265992, -0.444511951367014, -0.211619288898978, 81.923272727271, 82.0406666666684, 83.3659267399271, 83.8211155024507
1/8/2018, 81.16, 81.61, 81.04, 81.47, 4763286, 0.978272716883561, -0.858859424998025, -0.260133579417506, -0.303375193231318, -0.0158964114330058, -0.681629315763686, -0.491935424246349, -0.189693891517338, 81.5429090909074, 81.8635913978512, 83.250080586081, 83.787829523346
1/9/2018, 81.5, 81.73, 80.39, 80.42, 4631048, 1.02480582357969, -1.19980302199902, -0.349888759399075, -0.55948957093197, -0.107135934086286, -0.777599268751771, -0.549068193147433, -0.228531075604338, 80.9009090909075, 81.5823655913996, 83.0999682539687, 83.7387412903806
1/10/2018, 80.1, 80.23, 79.11, 79.52, 6244384, 1.06695347227948, -1.32189928400163, -0.658323820913952, -0.63027367033689, -0.123510174500499, -0.91572274452588, -0.622399103423123, -0.293323641102757, 80.1069090909075, 81.1895053763458, 82.9234822954827, 83.6764377001583
1/11/2018, 79.71, 79.93, 79.17, 79.25, 5067138, 1.06500861968305, -1.21800322486177, -0.708269292820769, -0.532491769875697, -0.183208654217408, -1.03504201763066, -0.70492768626463, -0.330114331366029, 79.4219999999984, 80.7735053763458, 82.7449499389503, 83.6108215028212
1/12/2018, 79.03, 79.24, 78.47, 78.61, 5154585, 1.06960738397643, -1.37515313219079, -0.85840959938876, -0.830412980674138, -0.288845240275897, -1.16778455903605, -0.797499060818914, -0.370285498217136, 78.7818181818166, 80.3104301075287, 82.5370525030529, 83.5362908930147
1/16/2018, 78.9, 80.03, 78.74, 78.76, 5760848, 1.10433906337821, -1.39177167929115, -0.921568519159519, -0.755395977998156, -0.288239175288872, -1.24651122755553, -0.887301494166237, -0.359209733389293, 78.4361818181803, 79.9115053763459, 82.3446227106231, 83.4650375829894
1/17/2018, 79.09, 79.4, 78.7, 79.31, 5560326, 1.08597727146746, -1.33659582648068, -0.956153048108027, -0.812618367633161, -0.280176043828079, -1.25011176582515, -0.959863548498021, -0.290248217327132, 78.4487272727258, 79.6320215053782, 82.1923076923081, 83.403078396656
1/18/2018, 79.01, 79.1, 78.22, 78.29, 4548204, 1.11473259075336, -1.59240447702118, -1.13232288864236, -0.949346404047254, -0.398292248175116, -1.32005393380476, -1.03190162555937, -0.28815230824539, 78.2441818181804, 79.2291827957007, 82.0010280830285, 83.3265131351535
1/19/2018, 78.42, 78.72, 78.2, 78.71, 4546822, 1.08637776398903, -1.57814484897287, -1.16349533300375, -0.939802190214059, -0.356608165544303, -1.32630430548332, -1.09078216154416, -0.235522143939161, 78.126545454544, 78.8709032258083, 81.8503052503057, 83.2572850200111
