Date,IYT_Open,IYT_High,IYT_Low,IYT_Close,IYT_Volume,IYT_ATRPercentOfClose20,IYT_SQN25,IYT_SQN50,IYT_SQN100,IYT_SQN200,IYT_MACD,IYT_MACD_Avg,IYT_MACD_Diff,IYT_LinReg10,IYT_LinReg30,IYT_LinReg90,IYT_LinReg270
6/29/2017, 171.42, 171.71, 169.95, 170.67, 312712, 1.12251824819592, 1.32032859308418, 0.952284068141762, 0.34689197858874, 0, 1.28098034807545, 1.2951065485388, -0.0141262004633571, 170.277090909088, 171.919268817205, 166.439335775336, 166.073867096774
6/30/2017, 170.85, 172.92, 170.85, 172.07, 135172, 1.12309629771964, 1.18869356323569, 0.830549013847991, 0.461008464239728, 0, 1.38643998196292, 1.31337323522363, 0.0730667467392963, 171.173090909088, 171.959161290323, 166.820051282051, 166.265154285714
7/3/2017, 173.03, 174.3, 172.85, 173.53, 332846, 1.12221875728224, 1.35450780514515, 0.949720782415996, 0.51970541704949, 0, 1.56973240188088, 1.36464506855508, 0.205087333325806, 172.677636363633, 172.176924731184, 167.218837606838, 166.496967879015
7/5/2017, 173.62, 174.29, 172.9, 173.64, 110311, 1.10545778566936, 1.42807712345882, 0.710000477820502, 0.411583790612997, 0, 1.70422381461569, 1.4325608177672, 0.271662996848488, 173.490909090906, 172.428666666668, 167.654148962149, 166.725855068898
7/6/2017, 172.73, 173.5, 172.12, 172.38, 153910, 1.10194979352852, 1.16771332271925, 0.628832552222008, 0.254701451095438, 0, 1.68966040505333, 1.48398073522443, 0.205679669828905, 173.51727272727, 172.503505376345, 168.053413919414, 166.909593023256
7/7/2017, 172.66, 174.72, 172.66, 174.57, 393125, 1.10074125071905, 1.16791131261069, 0.981940590007383, 0.303112857002381, 0, 1.83369579180584, 1.55392374654071, 0.279772045265129, 174.15527272727, 172.807784946238, 168.524412698413, 167.155475253429
7/10/2017, 173.98, 174.91, 173.75, 174.16, 325686, 1.08146865027057, 0.950565221990345, 0.904060808369087, 0.314554896801502, 0, 1.89294065844319, 1.62172712892121, 0.271213529521989, 174.576181818179, 173.151569892474, 169.044024420024, 167.382278332355
7/11/2017, 174.42, 174.42, 172.03, 172.8, 253938, 1.10463629123013, 0.764122020635761, 0.954993481468961, 0.0862434452799409, 0, 1.80929557494321, 1.65924081812561, 0.150054756817601, 174.452727272724, 173.287161290324, 169.442886446886, 167.561963913949
7/12/2017, 173.82, 175.11, 173.82, 174.87, 176097, 1.10303135797071, 1.16565699277302, 1.19738076648793, 0.311517838517689, 0, 1.88827112975156, 1.7050468804508, 0.183224249300762, 174.608909090906, 173.620602150539, 169.950822954823, 167.798882433356
7/13/2017, 174.99, 175.34, 174.46, 174.62, 83107, 1.07457759071081, 0.963625041213595, 1.02971332730247, 0.27179675585031, 0, 1.90868478517405, 1.74577446139545, 0.162910323778599, 174.837818181815, 173.865698924732, 170.416246642247, 168.022114240826
7/14/2017, 174.99, 175.75, 174.48, 175.4, 70855, 1.05251198372534, 1.09146739425991, 1.13397224502114, 0.280007111867624, 0, 1.96514921850877, 1.78964941281811, 0.175499805690659, 175.02036363636, 174.29053763441, 170.868967032967, 168.262510779436
7/17/2017, 174.11, 175.08, 173.63, 174.57, 450046, 1.05533637995162, 0.966648675636674, 1.02658960129382, 0.328231033036578, 0, 1.92078204555438, 1.81587593936536, 0.104906106189011, 174.938181818178, 174.620021505378, 171.263496947497, 168.472319172113
7/18/2017, 174.13, 174.91, 173.38, 173.4, 171898, 1.05345195072518, 0.605932215498866, 0.815130741791643, 0.388480184813143, 0, 1.77079885254966, 1.80686052200222, -0.0360616694525633, 174.607454545451, 174.740236559141, 171.577706959707, 168.642643838558
7/19/2017, 172.85, 172.85, 170.84, 172.42, 434660, 1.08070490571256, 0.274696977804235, 0.91995183774785, 0.214367541591428, 0, 1.55493397082171, 1.75647521176612, -0.201541240944413, 173.967272727269, 174.65677419355, 171.876642246642, 168.780250714059
7/20/2017, 172.59, 172.59, 170.23, 170.74, 284002, 1.10588252811767, 0.219837207038661, 0.665342688639692, 0.0347066383399662, 0, 1.23407192421638, 1.65199455425617, -0.417922630039793, 172.561272727269, 174.39941935484, 172.08284004884, 168.866121363779
7/21/2017, 170.48, 170.77, 169.41, 170.51, 368800, 1.09188589354449, 0.130947958203415, 0.757860494437132, 0.0888478243967531, 0, 0.950273204805171, 1.51165028436597, -0.561377079560801, 171.603272727269, 174.09389247312, 172.223948717949, 168.943192189106
7/24/2017, 170.04, 170.64, 169.6, 169.69, 116963, 1.07294826167044, 0.00319816078204645, 0.725910637908668, -0.184916593938329, 0, 0.651681351080697, 1.33965649770892, -0.687975146628221, 170.501454545451, 173.665698924732, 172.368625152625, 168.995063829788
7/25/2017, 170.9, 171.83, 170.64, 170.81, 316334, 1.07526000232255, 0.000313227271713199, 0.906848615329356, 0.0797663652055459, 0, 0.49966002578563, 1.17165720332426, -0.67199717753863, 169.75836363636, 173.447763440862, 172.54326984127, 169.076986315054
7/26/2017, 171.01, 171.46, 169.36, 170.68, 257221, 1.08379366619919, 0.467087875241, 0.778054878801039, 0.00595828086225738, 0, 0.364490497126695, 1.01022386208475, -0.645733364958052, 169.492909090905, 173.285677419356, 172.691873015873, 169.153172461342
7/27/2017, 170.28, 170.28, 164.64, 165.41, 1166736, 1.24498402635593, -0.27990728904005, 0.226975944973141, -0.257420894592526, 0, -0.165964153499289, 0.77498625896794, -0.940950412467229, 167.585454545451, 172.367247311829, 172.589523809524, 169.081520979021
