Date,EFV_Open,EFV_High,EFV_Low,EFV_Close,EFV_Volume,EFV_ATRPercentOfClose20,EFV_SQN25,EFV_SQN50,EFV_SQN100,EFV_SQN200,EFV_MACD,EFV_MACD_Avg,EFV_MACD_Diff,EFV_LinReg10,EFV_LinReg30,EFV_LinReg90,EFV_LinReg270
6/16/2017, 52.5, 52.76, 52.41, 52.75, 255303, 0.737835090235448, 0.465644608036795, 1.21715035858788, 1.28136323357265, 0, 0.211748930219109, 0.311388205088014, -0.0996392748689046, 52.6885454545465, 52.9455913978495, 53.2502808302809, 52.9530149925037
6/19/2017, 52.93, 53.05, 52.87, 52.91, 135144, 0.727173709306821, 0.438439092576047, 1.24564801424369, 1.16792612466463, 0, 0.206924827145599, 0.290495529499531, -0.0835707023539316, 52.7387272727283, 52.9841075268818, 53.2898192918193, 52.995848806366
6/20/2017, 51.52, 51.52, 51.11, 51.22, 202318, 0.889321025213836, -0.627402101675709, 0.547525884575442, 0.646310152062084, 0, 0.0659723267074313, 0.245590888941111, -0.17961856223368, 52.1947272727283, 52.7771397849463, 53.2555653235653, 52.9801810806895
6/21/2017, 51.1, 51.17, 50.97, 51.11, 321401, 0.871130341731169, -0.80011364646459, 0.520684113127609, 0.653709470852369, 0, -0.0539872941681452, 0.18567525231926, -0.239662546487405, 51.7152727272738, 52.5464301075269, 53.2179316239316, 52.9611052556615
6/22/2017, 51.1, 51.22, 51.04, 51.09, 228866, 0.845513763507262, -0.53668718607468, 0.419306608855481, 0.774936556336469, 0, -0.148952953894963, 0.118749611076415, -0.267702564971378, 51.3347272727283, 52.3250967741936, 53.1821538461539, 52.9417394957983
6/23/2017, 51.11, 51.33, 51.05, 51.26, 421407, 0.827885939693849, -0.475278524696441, 0.521063184724687, 0.807651850189102, 0, -0.208097525431413, 0.0533801837748496, -0.261477709206262, 51.0734545454556, 52.1238924731183, 53.1538095238095, 52.9283526170798
6/26/2017, 51.57, 51.63, 51.31, 51.36, 334835, 0.8209805608503, -0.766185904712528, 0.727108650364387, 0.785767174018461, 0, -0.244087175205763, -0.00611328802127294, -0.23797388718449, 50.9165454545465, 51.954, 53.1324322344322, 52.9184419455358
6/27/2017, 51.42, 51.6, 51.37, 51.48, 395235, 0.801423533896811, -0.702228211851204, 0.634906916784983, 0.813458058546055, 0, -0.259929924456827, -0.0568766153083838, -0.203053309148443, 50.9441818181828, 51.8286021505377, 53.1167399267399, 52.9125309876049
6/28/2017, 51.72, 52.08, 51.72, 52.05, 473118, 0.810651668564024, -0.412907474420819, 0.938548587090707, 0.899788906127684, 0, -0.223910084987352, -0.0902833092441775, -0.133626775743175, 51.2303636363647, 51.7996129032259, 53.1157142857143, 52.9249344348282
6/29/2017, 52.07, 52.12, 51.5, 51.74, 916183, 0.834648209921136, -0.562011377180195, 0.87600810703483, 0.941369385266277, 0, -0.217867075887476, -0.115800062572837, -0.102067013314639, 51.3454545454556, 51.6939784946237, 53.1044078144078, 52.9269496774193
6/30/2017, 51.86, 51.87, 51.41, 51.7, 234957, 0.838016701397555, -0.534527502934992, 0.70512729673939, 0.969737843347512, 0, -0.213840592109662, -0.135408168480202, -0.0784324236294598, 51.5570909090919, 51.5898279569893, 53.0888107448107, 52.9274857142857
7/3/2017, 51.75, 51.96, 51.75, 51.8, 435342, 0.819675488207354, -0.383846650682063, 0.703812864025423, 0.994555276577927, 0, -0.200271801775365, -0.148380895139235, -0.0518909066361303, 51.8925454545465, 51.5441720430108, 53.0768278388278, 52.9309886264217
7/5/2017, 51.73, 51.87, 51.6, 51.87, 164714, 0.803667452760437, -0.288943681780958, 0.252123775030946, 0.969922432451799, 0, -0.181774637818002, -0.155059643674988, -0.0267149941430137, 51.9747272727283, 51.514623655914, 53.0568888888889, 52.9364222440945
7/6/2017, 51.55, 51.79, 51.53, 51.61, 588565, 0.80026970036717, -0.396859400451612, 0.00518215263211839, 0.850620950453375, 0, -0.185951792691093, -0.161238073478209, -0.0247137192128835, 51.9096363636374, 51.4615268817205, 53.022884004884, 52.9335283430232
7/7/2017, 51.53, 51.69, 51.42, 51.67, 1263597, 0.785500740742252, -0.53610065614067, 0.0681089572091859, 0.809292415997352, 0, -0.182319058843042, -0.165454270551176, -0.0168647882918664, 51.834000000001, 51.4254193548388, 52.9894212454212, 52.932404293381
7/10/2017, 51.55, 51.75, 51.53, 51.74, 347033, 0.766476268079716, -0.753046441309693, 0.127164122535391, 0.808225067733589, 0, -0.17181114418895, -0.166725645278731, -0.00508549891021984, 51.7849090909101, 51.3999139784947, 52.9706715506716, 52.9332953611274
7/11/2017, 51.66, 51.88, 51.58, 51.84, 332328, 0.75568302478631, -0.52833792439842, 0.201961014837458, 0.780951361399874, 0, -0.153643277788291, -0.164109171780643, 0.0104658939923519, 51.7641818181828, 51.3797204301076, 52.9467936507937, 52.9370402498265
7/12/2017, 52.19, 52.29, 52.13, 52.25, 430825, 0.755327801046434, -0.285371733520564, 0.265617897822603, 0.864080170952702, 0, -0.104951721174807, -0.152277681659476, 0.0473259604846687, 51.8829090909101, 51.4081075268818, 52.9483418803419, 52.9528320802005
7/13/2017, 52.32, 52.44, 52.2, 52.35, 608781, 0.739113347171774, -0.26525770772123, 0.218908296606595, 1.01268021561556, 0, -0.0576298267206568, -0.133348110671712, 0.075718283951055, 52.1081818181828, 51.4489247311828, 52.9477802197803, 52.9710492649534
7/14/2017, 52.5, 52.66, 52.4, 52.59, 770064, 0.728426593234839, -0.161778842053605, 0.337740905375448, 1.00554365083713, 0, -0.000752219080268901, -0.106828932353423, 0.106076713273154, 52.338000000001, 51.5437634408603, 52.9516752136752, 52.9957446102819
7/17/2017, 52.57, 52.59, 52.45, 52.53, 292628, 0.706121393704725, -0.090840292426749, 0.134014829913251, 0.997682700653944, 0, 0.0390322566388974, -0.0776566945549591, 0.116688951193857, 52.4927272727283, 51.6645376344087, 52.9463907203908, 53.0179139433551
7/18/2017, 52.48, 52.55, 52.38, 52.55, 507690, 0.686735089833372, -0.052346517663813, -0.0958409281000913, 0.988469201245911, 0, 0.0713530594771115, -0.047854743748545, 0.119207803225656, 52.6290909090919, 51.7682150537636, 52.9442246642247, 53.0399677973379
7/19/2017, 52.63, 52.75, 52.6, 52.74, 245163, 0.669008959465425, -0.130470286250208, 0.165821626531889, 1.17057641337702, 0, 0.111019180681105, -0.0160799588626151, 0.12709913954372, 52.8041818181829, 51.8945161290324, 52.9585323565325, 53.0668200571247
7/20/2017, 52.87, 52.95, 52.79, 52.92, 267342, 0.653238017688893, 0.01499395851118, 0.345998626236116, 1.22567565656139, 0, 0.155190424579601, 0.0181741178258281, 0.137016306753773, 52.9420000000011, 52.0485591397851, 52.9810891330892, 53.0980294025649
7/21/2017, 52.65, 52.73, 52.46, 52.7, 972864, 0.66681002089737, 0.185208368739667, 0.223077759013973, 1.16208012274763, 0, 0.170479115103156, 0.0486351172812937, 0.121843997821862, 52.9443636363647, 52.1768172043012, 52.9805885225886, 53.1220688591983
7/24/2017, 52.53, 52.64, 52.41, 52.63, 242271, 0.661862886114894, -0.0423567733191341, 0.248155626762503, 0.972295125176858, 0, 0.174930606366878, 0.0738942150984106, 0.101036391268468, 52.8803636363647, 52.2839354838711, 52.9922710622711, 53.1434072948328
7/25/2017, 53, 53.01, 52.73, 52.74, 476760, 0.663484101467871, -0.0678378932569379, 0.211217532243713, 1.1149469468305, 0, 0.185199659563615, 0.0961553039914515, 0.0890443555721637, 52.8258181818193, 52.4018494623657, 53.0128644688646, 53.1671830985915
7/26/2017, 52.98, 53.18, 52.85, 53.02, 793449, 0.668474989359576, 1.88878874076399, 0.182214655794323, 1.06870228621329, 0, 0.213470858967746, 0.11961841498671, 0.0938524439810355, 52.9009090909102, 52.578365591398, 53.045916971917, 53.1980587018615
7/27/2017, 53.12, 53.13, 52.75, 52.92, 200218, 0.672154511319964, 1.90805154144145, 0.0397133982936691, 1.10286653519306, 0, 0.225210734751968, 0.140736878939762, 0.0844738558122063, 52.9194545454557, 52.7343870967743, 53.0695677655679, 53.2252942890443
7/28/2017, 52.79, 53.06, 52.79, 53.06, 208150, 0.662304860574819, 2.07990777758242, 0.370807433702117, 1.19596280504574, 0, 0.24301023019828, 0.161191549191466, 0.0818186810068144, 53.0032727272739, 52.8709032258066, 53.0929450549451, 53.2556005747126
7/31/2017, 53.16, 53.29, 53.04, 53.29, 770812, 0.649930589360009, 2.12041791948025, 0.444601416764178, 1.3170259816198, 0, 0.27253393483344, 0.183460026319861, 0.0890739085135796, 53.1289090909102, 53.0574838709679, 53.122844932845, 53.2913405762872
8/1/2017, 53.72, 53.79, 53.57, 53.6, 307845, 0.660504870366514, 2.27294337746145, 0.314310635941263, 1.33512988332094, 0, 0.317288587355769, 0.210225738527042, 0.107062848828727, 53.324181818183, 53.2905806451614, 53.1647741147742, 53.3345177523064
8/2/2017, 53.6, 53.71, 53.5, 53.71, 346735, 0.645743958277097, 2.25875856643348, 0.360991149853935, 1.23038679643613, 0, 0.357511878222475, 0.239682966466129, 0.117828911756346, 53.538181818183, 53.4205161290324, 53.2115702075703, 53.3795192130906
8/3/2017, 53.54, 53.72, 53.53, 53.6, 266955, 0.632439600729659, 1.77734919851616, 0.296470866275294, 1.16218052770142, 0, 0.376176714334889, 0.266981716039881, 0.109194998295008, 53.6972727272739, 53.5130967741937, 53.2538461538462, 53.420403591511
8/4/2017, 53.73, 53.77, 53.51, 53.66, 786244, 0.62437242767712, 2.45166686660736, 0.317661389581697, 1.34919250084534, 0, 0.391299572094361, 0.291845287250777, 0.0994542848435844, 53.7960000000011, 53.5958924731184, 53.3012087912089, 53.4618120805369
8/7/2017, 53.64, 53.69, 53.58, 53.69, 812455, 0.603066367027315, 2.56560392380019, 0.373988528283209, 1.14138616484325, 0, 0.401081872936174, 0.313692604387856, 0.087389268548318, 53.8387272727284, 53.6772473118281, 53.3480195360196, 53.5029368653422
8/8/2017, 53.65, 53.71, 53.39, 53.45, 399566, 0.605420048333241, 1.9831975979396, 0.366651559322065, 0.985438877858643, 0, 0.385030036012395, 0.327960090712764, 0.057069945299631, 53.7627272727284, 53.7191397849464, 53.3789133089134, 53.5367044266295
8/9/2017, 53.21, 53.4, 53.07, 53.31, 622235, 0.61230006573328, 1.68575991166897, 0.363140746656269, 0.915005807184481, 0, 0.356897912656017, 0.333747655101415, 0.0231502575546018, 53.6556363636375, 53.7377849462367, 53.3994456654457, 53.5659365325077
8/10/2017, 52.99, 53.01, 52.54, 52.57, 291990, 0.663108820221212, 0.879125008469752, 0.056357973536398, 0.72298026546473, 0, 0.271758523557359, 0.321349828792604, -0.0495913052352443, 53.257090909092, 53.6887311827958, 53.3803150183151, 53.5752321534674
8/11/2017, 52.5, 52.58, 52.33, 52.46, 378674, 0.655101966166177, 0.719861506739546, -0.131187340692778, 0.753142226246335, 0, 0.193181981972288, 0.295716259428541, -0.102534277456253, 52.8676363636375, 53.6016989247313, 53.3549890109891, 53.581374947633
8/14/2017, 52.84, 52.95, 52.78, 52.82, 494160, 0.664489145926236, 0.939715996299191, -0.181562598599995, 0.8733255274338, 0, 0.158135609140999, 0.268200129371032, -0.110064520230033, 52.6812727272738, 53.5530322580647, 53.3367741147742, 53.5964689826302
8/15/2017, 52.75, 52.77, 52.56, 52.74, 142102, 0.656871461005548, 0.78179890797332, -0.0621288729533571, 0.837456730194276, 0, 0.122493743143366, 0.239058852125499, -0.116565108982133, 52.5549090909101, 53.4936559139786, 53.314612942613, 53.6090845990527
8/16/2017, 52.89, 53.11, 52.87, 53.07, 313866, 0.655007175631448, 0.723396916578028, 0.102340511099009, 0.893501603508423, 0, 0.119498050488318, 0.215146691798063, -0.0956486413097451, 52.6114545454556, 53.4747526881722, 53.3009890109891, 53.6296396033217
8/17/2017, 52.76, 52.83, 52.34, 52.35, 240789, 0.700538094942175, 0.0129817146647049, -0.214340886566164, 0.632851028572322, 0, 0.0583532992572842, 0.183788013289907, -0.125434714032623, 52.4321818181828, 53.3394193548388, 53.2527496947498, 53.6315786959637
