Date,FXY_Open,FXY_High,FXY_Low,FXY_Close,FXY_Volume,FXY_ATRPercentOfClose20,FXY_SQN25,FXY_SQN50,FXY_SQN100,FXY_SQN200,FXY_MACD,FXY_MACD_Avg,FXY_MACD_Diff,FXY_LinReg10,FXY_LinReg30,FXY_LinReg90,FXY_LinReg270
9/5/2017, 88, 88.47, 87.99, 88.38, 35210, 0.636562154937209, 0.503866305072145, 0.654654967278221, 0.0543318097608588, 0, 0.246977214554946, 0.312514943903794, -0.0655377293488486, 87.5759999999985, 88.0732043010739, 87.4420610500607, 87.5000454076369
9/6/2017, 88.28, 88.39, 87.89, 87.91, 218187, 0.63640535878379, 0.334581154031073, 0.666099607304864, -0.0566075144036864, 0, 0.246525750773685, 0.299317105277772, -0.0527913545040873, 87.6381818181803, 88.0360645161276, 87.5016971916969, 87.5265571875426
9/7/2017, 88.29, 88.91, 88.25, 88.59, 263739, 0.656384189368426, 0.716874363792704, 0.95297319808313, 0.067337351819151, 0, 0.297607643813748, 0.298975212984968, -0.00136756917121927, 88.0190909090894, 88.1078279569878, 87.584388278388, 87.5681603710177
9/8/2017, 89.18, 89.29, 88.95, 89.17, 199215, 0.658759914425719, 0.705887691302064, 1.14450621924891, 0.106011655455829, 0, 0.380505336152083, 0.315281237618391, 0.0652240985336927, 88.4841818181803, 88.240838709676, 87.6859706959704, 87.6221726131155
9/11/2017, 88.32, 88.38, 87.77, 87.78, 92701, 0.715476651752955, 0.346310233265976, 0.593943803227396, -0.115709277431416, 0, 0.330234236574995, 0.318271837409712, 0.0119623991652834, 88.4350909090894, 88.2121935483856, 87.7141978021976, 87.6433753694583
9/12/2017, 87.43, 87.49, 87.16, 87.19, 87734, 0.719856789383309, 0.149152717884898, 0.513512548913313, -0.157798067445632, 0, 0.240019167258737, 0.302621303379517, -0.0626021361207799, 88.1999999999985, 88.1214623655899, 87.7202759462758, 87.6507357142858
9/13/2017, 87.26, 87.29, 86.83, 86.86, 124139, 0.7129414896732, -0.0847080063323809, 0.6421107796983, -0.275313514010588, 0, 0.140277797654733, 0.27015260223456, -0.129874804579827, 87.8130909090893, 87.9831827956974, 87.7086227106225, 87.650464175655
9/14/2017, 86.76, 86.99, 86.76, 86.95, 52976, 0.689819354840292, -0.15357732861426, 0.623206848747459, -0.146656293140655, 0, 0.0677137297581112, 0.22966482773927, -0.161951097981159, 87.4070909090893, 87.8401935483856, 87.6875433455432, 87.6521653018474
9/15/2017, 86.71, 86.79, 86.5, 86.69, 88517, 0.683248393796231, -0.507579580600405, 0.536469075168225, 0.0328636879064681, 0, -0.0106508673661239, 0.181601688718191, -0.192252556084315, 86.9796363636348, 87.7037634408587, 87.6414847374845, 87.6479907099367
9/18/2017, 86.19, 86.28, 86.05, 86.21, 51575, 0.689818618435048, -0.701558687340285, 0.553023241013106, -0.0872014636883965, 0, -0.110216852379523, 0.123237980498649, -0.233454832878171, 86.3787272727257, 87.4715268817189, 87.5672844932843, 87.6332122905029
9/19/2017, 86.3, 86.33, 85.94, 86.17, 88906, 0.678261575264259, -0.554690939054097, 0.584982527431247, -0.0720200939829835, 0, -0.190159241180567, 0.0605585361628055, -0.250717777343372, 86.0554545454529, 87.234537634407, 87.497233211233, 87.6177906691223
9/20/2017, 86.26, 86.54, 85.4, 85.55, 275378, 0.715645937387436, -0.525766131782007, 0.340323797346112, -0.156593880395392, 0, -0.300083799458534, -0.0115699309614624, -0.288513868497072, 85.5445454545438, 86.944408602149, 87.40736019536, 87.5890304170968
9/21/2017, 85.53, 85.67, 85.34, 85.35, 77125, 0.700788921456595, -0.708136990275163, 0.129015325104364, -0.146238944253062, 0, -0.398741686434619, -0.0890042820560937, -0.309737404378525, 85.2292727272711, 86.6578279569877, 87.3009792429791, 87.5564150603496
9/22/2017, 85.76, 85.87, 85.68, 85.75, 48052, 0.69296463818081, -0.783571998450745, 0.258094221160966, -0.012530176900234, 0, -0.439584855017756, -0.159120396648426, -0.28046445836933, 85.3449090909075, 86.4806881720414, 87.2235555555554, 87.5330476360182
