Date,IGN_Open,IGN_High,IGN_Low,IGN_Close,IGN_Volume,IGN_ATRPercentOfClose20,IGN_SQN25,IGN_SQN50,IGN_SQN100,IGN_SQN200,IGN_MACD,IGN_MACD_Avg,IGN_MACD_Diff,IGN_LinReg10,IGN_LinReg30,IGN_LinReg90,IGN_LinReg270
7/18/2017, 46.2, 46.39, 46.2, 46.35, 3805, 1.03170196034704, -0.00688316919292936, 0.347696516770287, 0.018508602653467, 0, 0.0707728671477739, 0.0809145061518591, -0.0101416390040852, 46.7589090909095, 46.2417419354839, 46.670590964591, 46.4460830828682
7/19/2017, 46.64, 47.19, 46.64, 47.14, 6540, 1.05278779314767, 0.178122301240699, 0.591544467453728, 0.164613692936099, 0, 0.119052732773021, 0.0885421514760915, 0.0305105812969294, 46.9361818181822, 46.3696774193549, 46.7215409035409, 46.4814312916535
7/20/2017, 47.09, 47.14, 46.88, 47.05, 6443, 1.02969172668506, 0.276931049581487, 0.452557202377385, 0.146040207607385, 0, 0.148342624840964, 0.100502246149066, 0.0478403786918983, 46.9081818181822, 46.471182795699, 46.7659902319902, 46.5132540923783
7/21/2017, 47.04, 47.21, 46.98, 47.11, 2752, 1.00137223420729, 0.35616264453887, 0.460351667899717, 0.279249508681481, 0, 0.174386356519946, 0.115279068223242, 0.0591072882967041, 46.9810909090913, 46.6081935483871, 46.8116434676435, 46.5459342240493
7/24/2017, 47.14, 47.49, 47.1, 47.49, 2639, 0.984752867042116, 0.455618789132878, 0.599606659058819, 0.494540797313125, 0, 0.223117071008943, 0.136846668780382, 0.0862704022285607, 47.1920000000005, 46.7188387096775, 46.8844517704518, 46.5884893617021
7/25/2017, 47.55, 47.88, 47.45, 47.88, 4649, 0.972799038701725, 0.380193240691163, 0.772297117114904, 0.675832342215926, 0, 0.289864872149799, 0.167450309454266, 0.122414562695534, 47.5138181818187, 46.8683870967743, 46.9778656898657, 46.6408870242733
7/26/2017, 47.56, 47.62, 47.28, 47.28, 12799, 0.999338770608855, 0.325029682150328, 0.440382822143775, 0.500170846133253, 0, 0.290993606694336, 0.19215896890228, 0.0988346377920563, 47.5729090909096, 46.9583225806452, 47.0462710622711, 46.6752221018418
7/27/2017, 47.27, 47.34, 46.36, 46.59, 3502, 1.06860485556273, 0.0157306829853313, 0.230411289477822, 0.362056923541211, 0, 0.233519041375175, 0.200430983396859, 0.033088057978316, 47.3796363636368, 46.9376129032259, 47.0822686202686, 46.6895658508159
7/28/2017, 46.55, 46.55, 46.38, 46.5, 5272, 1.03972011203514, -0.107365127011185, 0.618102207087185, 0.382074047005553, 0, 0.178648438445627, 0.196074474406612, -0.0174260359609852, 47.1292727272732, 46.8975698924732, 47.0985543345544, 46.7010316091954
7/31/2017, 46.64, 46.64, 46.3, 46.37, 2093, 1.02716488999681, -0.413458171503416, 0.716010753550897, 0.402610515265028, 0, 0.123252399814838, 0.181510059488258, -0.0582576596734195, 46.8205454545459, 46.8503225806452, 47.1140586080587, 46.7086159659896
8/1/2017, 46.36, 46.75, 46.36, 46.74, 17886, 1.00980218553048, -0.166695012999264, 0.742402491157282, 0.461099852339753, 0, 0.107962028809922, 0.16680045335259, -0.0588384245426684, 46.6138181818187, 46.8884516129033, 47.1487081807082, 46.7259966452335
8/2/2017, 46.75, 46.75, 46.07, 46.15, 18690, 1.04524911038158, -0.091720867480909, 0.308726463645444, 0.352662037486139, 0, 0.0476865298310258, 0.142977668648278, -0.0952911388172517, 46.3400000000005, 46.8220430107528, 47.1583931623932, 46.7270187534473
8/3/2017, 46.18, 46.37, 46.14, 46.19, 3281, 1.01702390391653, -0.337588618831862, 0.406899374902719, 0.371521655789227, 0, 0.00310958299763087, 0.115004051518148, -0.111894468520517, 46.1160000000005, 46.7630752688173, 47.1689206349207, 46.7290313803737
8/4/2017, 46.42, 46.42, 45.92, 45.94, 4975, 1.02584931249041, 0.00425054772807296, 0.334550406369278, 0.310579920932017, 0, -0.0517938321339102, 0.0816444747877365, -0.133438306921647, 45.864545454546, 46.6877634408603, 47.1706813186814, 46.7242979865772
8/7/2017, 45.9, 46.18, 45.9, 46.05, 239999, 1.0026306524434, 0.132807690829713, 0.309777047515883, 0.206657662648613, 0, -0.0854441564434296, 0.0482267485415033, -0.133670904984933, 45.7909090909097, 46.6679569892474, 47.1723492063493, 46.7225245033113
