Date,IJT_Open,IJT_High,IJT_Low,IJT_Close,IJT_Volume,IJT_ATRPercentOfClose20,IJT_SQN25,IJT_SQN50,IJT_SQN100,IJT_SQN200,IJT_MACD,IJT_MACD_Avg,IJT_MACD_Diff,IJT_LinReg10,IJT_LinReg30,IJT_LinReg90,IJT_LinReg270
7/11/2017, 155.03, 155.63, 154.02, 155.49, 83309, 1.14990933263336, 0.154320064701493, 0.0857329791886965, 0.107716223358054, 0, 0.19287196644342, 0.387183847868403, -0.194311881424983, 155.443090909089, 156.316150537636, 156.28294017094, 155.670697432339
7/12/2017, 156.35, 157.54, 156.06, 156.57, 82321, 1.15034445950439, 0.320493555093987, 0.0900847844394108, 0.183931824121463, 0, 0.248459662604347, 0.359439010815592, -0.110979348211245, 155.502909090907, 156.169268817206, 156.424659340659, 155.74011619959
7/13/2017, 156.65, 156.81, 155.67, 156.73, 67999, 1.12807988530194, 0.278280460565368, 0.188535781510789, 0.211804109007065, 0, 0.301943360022676, 0.347939880657009, -0.0459965206343326, 155.993818181816, 156.01483870968, 156.552078144078, 155.8123218494
7/14/2017, 156.32, 157.64, 156.32, 157.26, 133813, 1.11003282717922, 0.0108009027538063, 0.363013781845542, 0.163445981668176, 0, 0.382684794068126, 0.354888863339232, 0.0277959307288939, 156.439818181816, 156.065698924733, 156.680178266178, 155.898142620232
7/17/2017, 157.06, 157.85, 156.66, 157.57, 53132, 1.0902175178149, -0.0408391105924973, 0.429343478610779, 0.219107675667039, 0, 0.466312016820922, 0.37717349403557, 0.0891385227853516, 156.938909090907, 156.228236559142, 156.797421245421, 155.990680827887
7/18/2017, 157.08, 157.2, 156.38, 157.01, 62522, 1.07729632232335, -0.0357379148347344, 0.330072462468735, 0.265682414062188, 0, 0.481845458956883, 0.398107887019833, 0.0837375719370502, 157.38018181818, 156.236172043013, 156.869987789988, 156.064406397596
7/19/2017, 157.51, 158.9, 157.51, 158.85, 66065, 1.07106692344721, 0.135845587724092, 0.590078468176871, 0.413162250674893, 0, 0.635305045143696, 0.445547318644605, 0.18975772649909, 158.302363636362, 156.468000000002, 157.032246642246, 156.189241510632
7/20/2017, 158.99, 159.13, 158.38, 158.78, 249798, 1.04157974398608, 0.286354638649225, 0.578308615942575, 0.319437887290553, 0, 0.742712925544822, 0.504980440024649, 0.237732485520173, 158.64218181818, 156.692021505379, 157.198495726495, 156.30876759462
7/21/2017, 158.71, 159.1, 158.05, 158.3, 47391, 1.02566601492486, 0.35627866087233, 0.444155182021217, 0.47076504416358, 0, 0.780109835539463, 0.560006319127612, 0.220103516411851, 158.921818181816, 156.972645161293, 157.321067155067, 156.41147995889
7/24/2017, 158.22, 158.6, 157.67, 158.45, 110435, 1.00280709153976, 0.469368834918846, 0.573631243673647, 0.272300913248551, 0, 0.81248508028699, 0.610502071359487, 0.201983008927503, 158.95218181818, 157.305849462368, 157.495279609279, 156.515720364742
7/25/2017, 159.42, 160.1, 158.97, 159.96, 88646, 0.995249090220998, 0.57365208522986, 0.849498170808283, 0.53735310326642, 0, 0.949047051752586, 0.678211067438107, 0.270835984314479, 159.399454545453, 157.787763440863, 157.73903052503, 156.659612426331
7/26/2017, 160.2, 160.2, 159.04, 159.2, 82429, 0.98643242618193, 0.765350161994454, 0.629783077587028, 0.490539729393326, 0, 0.984597917695652, 0.739488437489616, 0.245109480206036, 159.556363636362, 158.212817204303, 157.968459096459, 156.778634886241
7/27/2017, 159.81, 159.97, 157.62, 158.24, 82411, 1.01705030419461, 0.643233097913935, 0.520817862740508, 0.484925015907654, 0, 0.924649474571908, 0.776520644906075, 0.148128829665833, 159.27018181818, 158.447354838712, 158.137496947496, 156.868024475524
7/28/2017, 157.91, 158.3, 157.33, 157.96, 52381, 0.998614447511821, 0.505841786428917, 1.11472799334109, 0.536449786475897, 0, 0.844807822841659, 0.790178080493191, 0.0546297423484676, 158.910909090907, 158.582516129035, 158.198302808302, 156.947390804598
7/31/2017, 158.39, 158.39, 157.21, 157.95, 76311, 0.986097380326172, 0.29181367486266, 1.0657829906418, 0.613960103240692, 0, 0.771828661824088, 0.786508196759371, -0.0146795349352827, 158.571999999998, 158.674150537637, 158.247162393162, 157.02441284837
8/1/2017, 158.59, 158.59, 157.5, 158.3, 86239, 0.969149571455419, 0.337900767257391, 1.03013915671426, 0.700963609733775, 0, 0.733775716162683, 0.775961700640033, -0.0421859844773507, 158.221272727271, 158.852236559142, 158.324532356532, 157.108923679061
8/2/2017, 158.53, 158.53, 155.5, 156.06, 78635, 1.03098525120674, 0.267259265720434, 0.560328975550081, 0.460764784235161, 0, 0.516910579634128, 0.724151476438852, -0.207240896804724, 157.394363636362, 158.623913978497, 158.299365079365, 157.130933075933
8/3/2017, 156.71, 156.71, 155.37, 155.85, 89164, 1.02374578369045, -0.219917698985385, 0.474607712518351, 0.396417954956047, 0, 0.324359141275437, 0.644193009406169, -0.319833868130732, 156.633090909089, 158.341032258067, 158.255413919413, 157.146637946672
8/4/2017, 156.09, 156.31, 155.35, 156.05, 76679, 1.00207139614706, 0.060252853220598, 0.471391446945229, 0.477689602532732, 0, 0.185757767732042, 0.552505961071344, -0.366748193339302, 156.004727272725, 158.108903225809, 158.244578754578, 157.167124832215
8/7/2017, 156.39, 156.74, 155.6, 156.32, 52444, 0.98678722684437, 0.0903185756597703, 0.491709822483762, 0.315684089289686, 0, 0.0965885119047982, 0.461322471238035, -0.364733959333236, 155.622363636362, 157.986946236562, 158.247606837606, 157.194100662252
8/8/2017, 156.57, 157.75, 155.45, 155.74, 75227, 1.01478008434119, -0.256612690511629, 0.413718919349108, 0.240054273007033, 0, -0.0206419707165821, 0.364929582847111, -0.385571553563693, 155.457818181816, 157.798107526884, 158.255328449328, 157.205080167306
8/9/2017, 155.07, 155.15, 153.8, 154.46, 87260, 1.03482945628986, -0.351629132242254, 0.368262164476134, 0.0469781657794685, 0, -0.214362240910333, 0.249071218095622, -0.463433459005955, 154.929272727271, 157.327892473121, 158.206009768009, 157.182293601651
8/10/2017, 153.68, 153.77, 151.73, 151.73, 118611, 1.0907386141673, -0.458380350326213, 0.00779639742208074, -0.119264443504324, 0, -0.581472284613056, 0.0829625175538867, -0.664434802166943, 153.52418181818, 156.672580645164, 157.977902319902, 157.089188523894
8/11/2017, 151.73, 152.12, 151.18, 151.79, 119847, 1.06675592220321, -0.846165963685401, -0.317202281807199, 0.235446199327222, 0, -0.85768132415663, -0.105166250788217, -0.752515073368413, 152.438909090907, 155.977268817207, 157.751035409035, 156.999572685379
8/14/2017, 153.34, 154.36, 152.97, 154.34, 101547, 1.07993221044229, -0.119931306519418, -0.151753705657549, 0.466785488176279, 0, -0.860891468253072, -0.256311294281188, -0.604580173971885, 152.569090909089, 155.639569892476, 157.595748473748, 156.976990074442
8/15/2017, 154.64, 154.64, 152.82, 152.82, 80229, 1.09568708605994, -0.452626924856424, -0.20579737477966, 0.262818505284708, 0, -0.974849370684751, -0.400018909561901, -0.574830461122851, 152.441090909089, 155.194064516132, 157.401873015873, 156.916163645272
8/16/2017, 153.03, 154, 152.85, 153.15, 74974, 1.0771841689004, -0.59412351804596, -0.174456358426922, 0.285227569310775, 0, -1.02669844671311, -0.525354816992143, -0.501343629720969, 152.277999999998, 154.765182795702, 157.221111111111, 156.864869789567
8/17/2017, 152.64, 153.28, 150.12, 150.12, 100962, 1.1492287349703, -1.04352030297247, -0.564014171413745, 0.0511928521358835, 0, -1.29733007668739, -0.679749868931192, -0.617580207756196, 151.184909090907, 153.832709677422, 156.911037851038, 156.738581323143
8/18/2017, 149.93, 150.55, 149, 150.05, 64539, 1.14392607003702, -1.14732377711527, -0.842899286952914, -0.0614692933990977, 0, -1.50016306226053, -0.843832507597059, -0.656330554663467, 150.42018181818, 153.036279569895, 156.628102564102, 156.613175314465
8/21/2017, 150, 150.19, 149.2, 150, 173885, 1.12009200979068, -1.20939140833405, -0.922929355849366, -0.0862272392178744, 0, -1.6459705231824, -1.00426011071413, -0.641710412468272, 150.019454545453, 152.213698924734, 156.298886446886, 156.489127329193
8/22/2017, 150.78, 151.65, 150.29, 151.47, 85458, 1.1082267867906, -0.842563023737785, -0.66043298236364, -0.0883060709093563, 0, -1.62418468176011, -1.12824502492332, -0.495939656836789, 150.355272727271, 151.636537634411, 155.996595848596, 156.403818725558
8/23/2017, 150.79, 151.45, 150.45, 150.99, 64258, 1.08993943854171, -1.26765770901241, -0.820884672164002, -0.130965845941195, 0, -1.62689737373111, -1.22797549468488, -0.39892187904623, 150.50218181818, 151.096408602153, 155.710581196581, 156.308480648337
8/24/2017, 151.67, 151.97, 150.93, 151.19, 59747, 1.06846655224646, -1.2194969908008, -0.691518740558604, 0.101853837544327, 0, -1.59452814523286, -1.30128602479448, -0.29324212043838, 150.361454545453, 150.628322580648, 155.435562881563, 156.219925931468
8/25/2017, 151.73, 151.78, 150.99, 151.46, 71103, 1.03931325189777, -1.09362997123316, -0.559922501716348, 0.12628497201358, 0, -1.52945791612186, -1.34692040305995, -0.182537513061904, 150.355454545453, 150.265569892476, 155.190334554334, 156.13966518847
8/28/2017, 151.95, 151.95, 151.16, 151.83, 92320, 1.0109574252507, -1.05250029172693, -0.45823656231177, 0.309070719892858, 0, -1.43153157803067, -1.3638426380541, -0.0676889399765752, 151.005272727271, 150.007849462369, 155.007247863248, 156.069879518072
8/29/2017, 150.61, 152.03, 150.5, 151.72, 55496, 1.0115276995915, -1.3672945500858, -0.572902691746859, 0.176242804120304, 0, -1.34726984216974, -1.36052807887722, 0.0132582367074874, 151.449999999998, 149.735870967745, 154.815914529914, 155.998827645913
8/30/2017, 151.64, 152.89, 151.64, 152.67, 53872, 0.995909697078154, -1.05749426815189, -0.261307078300507, 0.254145839632391, 0, -1.19011583439067, -1.32644562997991, 0.136329795589246, 152.348909090907, 149.741225806455, 154.711054945055, 155.951708725406
8/31/2017, 153.41, 154.34, 153.06, 154.18, 75804, 0.991005686731585, -0.626601431435946, -0.0370792520412764, 0.358732788022644, 0, -0.932971060952468, -1.24775071617442, 0.314779655221956, 153.189636363634, 149.973376344089, 154.703242979243, 155.941103832065
9/1/2017, 154.27, 155.18, 154.12, 155.15, 69431, 0.969729899718092, -0.419461351825456, 0.0202869097824431, 0.325305071133305, 0, -0.643493291894629, -1.12689923131847, 0.483405939423836, 154.129999999998, 150.326279569896, 154.757853479853, 155.953381134702
9/5/2017, 155.06, 155.36, 152.99, 153.54, 100910, 1.00808202581867, -0.654982801699667, -0.311412657986234, 0.367112277075088, 0, -0.537794261528575, -1.00907823736049, 0.471283975831912, 154.225999999998, 150.505225806455, 154.744014652014, 155.927766769866
9/6/2017, 154.39, 154.39, 153.46, 153.77, 95061, 0.986485455758528, -0.672948908441112, -0.294515495742173, 0.537142601041216, 0, -0.430505343019206, -0.893363658492231, 0.462858315473025, 154.502363636361, 150.845698924734, 154.700468864469, 155.907917176662
9/7/2017, 153.99, 153.99, 152.72, 153.15, 45273, 0.982417728406069, -0.452912847365633, -0.154961797142159, 0.329110110927366, 0, -0.390999719195406, -0.792890870632866, 0.40189115143746, 154.343090909089, 151.096774193552, 154.653833943834, 155.874087915042
9/8/2017, 152.92, 154.02, 152.68, 153.6, 48073, 0.974182365560677, -0.343920580191987, -0.405343905445427, 0.355449446528941, 0, -0.319694746465132, -0.698251645799319, 0.378556899334188, 154.261454545452, 151.379978494627, 154.61431990232, 155.851168028702
9/11/2017, 154.62, 155.43, 154.61, 155.23, 68568, 0.974700063020126, -0.106516856393417, -0.0477001294800157, 0.418077628298644, 0, -0.130157292087091, -0.584632775056874, 0.454475482969782, 154.665454545452, 151.881268817208, 154.627137973138, 155.8657727422
9/12/2017, 155.53, 156.29, 155.53, 156.29, 60317, 0.953596239321028, 0.0164450288677706, 0.0677443284414842, 0.329677582083108, 0, 0.104382392022018, -0.446829741641095, 0.551212133663113, 155.303999999998, 152.534000000003, 154.6804004884, 155.904027272727
9/13/2017, 156.28, 157, 156.13, 156.74, 54346, 0.93106851110954, 0.173998161742437, -0.0140680875672581, 0.384410505200857, 0, 0.322846447753989, -0.292894503762078, 0.615740951516067, 155.832727272725, 153.277870967745, 154.757601953602, 155.951585130971
9/14/2017, 156.73, 156.89, 156.22, 156.63, 181641, 0.906524257867227, 0.361375270016562, 0.069077760506177, 0.204595336226961, 0, 0.481553654407207, -0.138004872128221, 0.619558526535429, 156.239636363634, 153.868516129036, 154.818791208791, 155.995662413508
9/15/2017, 156.31, 157.29, 156.31, 157.22, 70017, 0.88913274255347, 0.991994869510416, 0.412027299847101, 0.140097703664468, 0, 0.647474643615197, 0.0190910310204624, 0.628383612594735, 156.936363636361, 154.516344086025, 154.904554334554, 156.051944636244
9/18/2017, 157.35, 159.14, 157.35, 158.69, 59075, 0.897346885720862, 1.21104125913616, 0.371673705929807, 0.192942057577977, 0, 0.887356049477688, 0.192744034711908, 0.694612014765781, 158.169090909089, 155.355182795702, 155.066947496947, 156.139627560521
9/19/2017, 158.94, 158.94, 157.95, 158.23, 51706, 0.886241410796255, 0.74391604277137, 0.427528549447114, 0.151074192260853, 0, 1.02848984552975, 0.359893196875476, 0.668596648654272, 158.727818181816, 156.136623655917, 155.186124542124, 156.215397176182
9/20/2017, 158.3, 158.82, 158.08, 158.61, 40690, 0.863239893504677, 1.16357944761314, 0.42529258103285, 0.351654717649212, 0, 1.15765746527958, 0.519446050556297, 0.638211414723287, 159.207999999998, 156.915290322584, 155.299362637362, 156.29795701536
9/21/2017, 158.69, 159.04, 158.16, 158.61, 39708, 0.847818898766395, 1.09613832646605, 0.287871500928921, 0.260887834935104, 0, 1.24566448969577, 0.664689738384192, 0.580974751311578, 159.300181818179, 157.590107526885, 155.433135531135, 156.378856061971
9/22/2017, 158.56, 159.75, 158.56, 159.49, 67465, 0.838290348966525, 2.49644510498177, 0.377810966784481, 0.394881757930188, 0, 1.37061968558086, 0.805875727823526, 0.564743957757337, 159.488545454543, 158.167806451616, 155.600945054945, 156.477211926823
9/25/2017, 159.47, 159.92, 158.65, 159.54, 42687, 0.835928177064293, 2.53681681736276, 0.316373295564496, 0.48129467681944, 0, 1.45688806200846, 0.936078194660513, 0.520809867347947, 159.698909090906, 158.70578494624, 155.67694017094, 156.574702115158
9/26/2017, 159.63, 160.24, 159.48, 159.72, 53206, 0.817028439145978, 2.61048647778866, 0.29942490778686, 0.518387599819575, 0, 1.52223350722088, 1.05330925717259, 0.46892425004829, 159.948363636361, 159.386602150541, 155.761355311355, 156.674134263295
9/27/2017, 161.23, 163.66, 160.42, 163.17, 174864, 0.880498824449199, 2.51163893127256, 0.746476866164698, 0.761282332044819, 0, 1.83129636592321, 1.20890667892271, 0.622389687000498, 161.292545454543, 160.369118279573, 156.003023199023, 156.845218791329
9/28/2017, 163.25, 163.91, 162.58, 163.71, 75368, 0.874335370631647, 2.79149848302651, 0.601400339636177, 0.842202631937175, 0, 2.0956470801097, 1.38625475916011, 0.709392320949592, 162.450545454543, 161.37537634409, 156.283098901099, 157.024491409716
