Date,IYR_Open,IYR_High,IYR_Low,IYR_Close,IYR_Volume,IYR_ATRPercentOfClose20,IYR_SQN25,IYR_SQN50,IYR_SQN100,IYR_SQN200,IYR_MACD,IYR_MACD_Avg,IYR_MACD_Diff,IYR_LinReg10,IYR_LinReg30,IYR_LinReg90,IYR_LinReg270
1/25/2018, 78.8, 78.95, 78.36, 78.74, 5540152, 1.00540168090417, -1.0938624755113, -0.883252330901023, -0.460951542177553, -0.0665554236534936, -0.651003722035426, -0.812525424572012, 0.161521702536585, 78.8423636363614, 77.2892473118262, 79.8205836385834, 81.2633584863784
1/26/2018, 78.88, 78.99, 78.26, 78.77, 6799171, 1.00110526769931, -0.562099537441636, -0.950011528185317, -0.456808056119098, -0.108533983183969, -0.578166465834855, -0.76565363282458, 0.187487166989726, 79.0945454545432, 77.3410967741918, 79.7647936507934, 81.2380223048326
1/29/2018, 78.48, 78.69, 77.73, 77.76, 6094457, 1.0302753194424, -0.615365647479827, -1.14016472027986, -0.616583285650786, -0.192621797594846, -0.595081248403233, -0.731539155940311, 0.136457907537078, 78.8074545454523, 77.2969677419337, 79.652957264957, 81.1981117944512
1/30/2018, 77.45, 77.69, 77.14, 77.34, 5870095, 1.02415953449507, -0.659396392994218, -1.08687255536814, -0.730687564153229, -0.219667105002981, -0.63505629174422, -0.712242583101093, 0.0771862913568725, 78.373636363634, 77.2246666666649, 79.5206984126982, 81.1454188875222
1/31/2018, 77.65, 78.62, 77.35, 78.56, 12267433, 1.03930847095159, -0.378719414171511, -0.87804133465915, -0.571024457829509, -0.192443228964227, -0.561816724085517, -0.682157411297978, 0.120340687212461, 78.4619999999977, 77.3606666666648, 79.4385323565321, 81.1185444854448
2/1/2018, 78.4, 78.94, 77.18, 77.25, 11449972, 1.11800219811079, -0.858048272673214, -1.05963462313094, -0.792360364859695, -0.338863196050511, -0.602534251143993, -0.666232779267181, 0.0636985281231878, 77.8999999999976, 77.3862795698907, 79.2898949938948, 81.0743495968293
2/2/2018, 76.69, 77.01, 75.97, 76.46, 9794635, 1.15677983669704, -1.16644900242236, -1.18953423779977, -1.06799308642131, -0.404213867139262, -0.690588903384736, -0.671104004090692, -0.019484899294044, 77.1492727272704, 77.1849032258046, 79.1183467643466, 81.0173655869892
2/5/2018, 76.21, 76.82, 74, 74, 12593508, 1.32601374321842, -1.71399602228684, -1.67455641162721, -1.27540779127238, -0.623103319639241, -0.947946948264118, -0.726472592925377, -0.221474355338741, 75.7292727272703, 76.6412688172024, 78.8275604395603, 80.920446904469
2/6/2018, 73.36, 74.73, 72.73, 74.26, 17411460, 1.38996453202605, -1.6402220712271, -1.57033300049214, -1.17677992910052, -0.567947615390229, -1.11803718914382, -0.804785512169066, -0.313251676974754, 74.8381818181794, 76.1476129032239, 78.5381953601952, 80.8222703293699
2/7/2018, 74.09, 75.34, 73.93, 73.97, 9642057, 1.42095211357093, -1.61879157266615, -1.66597211503884, -1.31775556909265, -0.534342557659722, -1.2616915124639, -0.896166712228032, -0.365524800235866, 74.0587272727248, 75.6832688172024, 78.2528840048839, 80.7176145961459
