Date,EZA_Open,EZA_High,EZA_Low,EZA_Close,EZA_Volume,EZA_ATRPercentOfClose20,EZA_SQN25,EZA_SQN50,EZA_SQN100,EZA_SQN200,EZA_MACD,EZA_MACD_Avg,EZA_MACD_Diff,EZA_LinReg10,EZA_LinReg30,EZA_LinReg90,EZA_LinReg270
2/24/2017, 56.77, 57.02, 56.51, 56.79, 382431, 1.45656544747115, 0.742253648444435, 0, 0, 0, 0.674103440343508, 0.573736620298407, 0.100366820045101, 57.1694545454545, 56.5023655913979, 56.7359601706971, 56.7359601706971
2/27/2017, 56.76, 56.92, 56.07, 56.15, 426393, 1.47519918386095, 0.553309968479498, 0, 0, 0, 0.603548223861246, 0.579698941010975, 0.023849282850271, 56.8298181818182, 56.5257634408603, 56.7513765182187, 56.7513765182187
2/28/2017, 55.77, 55.92, 54.91, 54.99, 598204, 1.54374999936539, -0.140438381982241, 0, 0, 0, 0.448856265376726, 0.553530405884125, -0.104674140507399, 56.0869090909091, 56.4308387096775, 56.6499871794873, 56.6499871794873
3/1/2017, 55.64, 56.39, 55.59, 56.16, 503603, 1.56065298863689, -0.0388432333317384, 0, 0, 0, 0.415877024223597, 0.52599972955202, -0.110122705328422, 55.9152727272727, 56.4835913978495, 56.6690609756098, 56.6690609756098
3/2/2017, 55.89, 56.05, 55.24, 55.32, 476433, 1.58828557935205, -0.37577831210392, 0, 0, 0, 0.318290701106761, 0.484457923862968, -0.166167222756207, 55.6649090909091, 56.3870537634409, 56.606724738676, 56.606724738676
3/3/2017, 55.89, 56.44, 55.72, 56.37, 324565, 1.58010928396784, 0.0762300083281479, 0, 0, 0, 0.321967619449907, 0.451959862980356, -0.129992243530449, 55.7494545454546, 56.3967741935484, 56.6452048726468, 56.6452048726468
3/6/2017, 56.5, 56.54, 56.03, 56.37, 423027, 1.54634064786951, 0.400458540249557, 0, 0, 0, 0.321179249269179, 0.425803740238121, -0.104624490968942, 55.7836363636364, 56.3904301075269, 56.6799365750529, 56.6799365750529
3/7/2017, 56.5, 56.83, 56.31, 56.52, 236411, 1.51112634827289, 0.691634132213548, 0, 0, 0, 0.32886722990515, 0.406416438171526, -0.0775492082663766, 55.9081818181819, 56.4646666666667, 56.7244848484849, 56.7244848484849
3/8/2017, 55.83, 55.97, 55.16, 55.22, 472611, 1.59251028873895, 0.134435762798821, 0, 0, 0, 0.227439098153781, 0.370620970167977, -0.143181872014197, 55.6463636363637, 56.4243655913979, 56.6532173913044, 56.6532173913044
3/9/2017, 54.87, 54.92, 53.84, 54.21, 417171, 1.66835449616226, -0.127141783215262, 0, 0, 0, 0.0648109140391355, 0.309458958942209, -0.244648044903073, 55.2536363636364, 56.2868602150538, 56.5016003700279, 56.5016003700279
3/10/2017, 55.49, 55.89, 55.3, 55.84, 426389, 1.6891014035657, 0.259791908742663, 0, 0, 0, 0.0666855741881847, 0.260904281991404, -0.194218707803219, 55.4600000000001, 56.336559139785, 56.494840425532, 56.494840425532
