Date,IAI_Open,IAI_High,IAI_Low,IAI_Close,IAI_Volume,IAI_ATRPercentOfClose20,IAI_SQN25,IAI_SQN50,IAI_SQN100,IAI_SQN200,IAI_MACD,IAI_MACD_Avg,IAI_MACD_Diff,IAI_LinReg10,IAI_LinReg30,IAI_LinReg90,IAI_LinReg270
12/1/2017, 61.84, 62.18, 60.88, 62.18, 39411, 1.10418449026148, 1.88404184491226, 2.19863420307298, 1.9670133684733, 0.915222629882428, 0.989437204642407, 0.629516623089845, 0.359920581552562, 61.7674545454565, 60.062946236559, 59.6733137973129, 57.4889629273345
12/4/2017, 63.21, 63.55, 63, 63.13, 75164, 1.14169621454516, 2.12672815150147, 2.35987818296001, 2.04751470009834, 0.998938640991341, 1.16798470733306, 0.737210239938489, 0.430774467394573, 62.5296363636383, 60.5994838709676, 59.9386446886438, 57.6190018708044
12/5/2017, 63.4, 63.45, 62.37, 62.41, 77689, 1.18364874095536, 1.86854185501957, 2.15418671065011, 1.98020719498178, 0.923453151067987, 1.23712608742024, 0.83719340943484, 0.399932677985404, 62.9216363636384, 60.9984731182794, 60.1673650793642, 57.7348034188033
12/6/2017, 62.21, 62.44, 62.07, 62.1, 18447, 1.15987024197863, 1.64474393953632, 2.03981098710821, 1.89224463829139, 0.895560118079112, 1.25246903663476, 0.920248534874825, 0.33222050175994, 63.1103636363657, 61.3534193548386, 60.3806275946267, 57.8435719437431
12/7/2017, 62, 62.7, 61.97, 62.53, 41835, 1.15267143651894, 2.01929565789007, 1.89900709768129, 1.94820980547378, 0.955205172593115, 1.28451870867879, 0.993102569635617, 0.291416139043171, 63.241090909093, 61.7093978494623, 60.613352869352, 57.9579028105556
12/8/2017, 62.9, 63.11, 62.31, 63.04, 32553, 1.14963067384602, 1.90774784890063, 1.9654083353592, 2.02929797383824, 1.04410594252714, 1.33567422143489, 1.06161689999547, 0.274057321439414, 63.3647272727294, 62.1198064516128, 60.857142857142, 58.0790316632981
12/11/2017, 63.18, 63.22, 62.72, 62.87, 25336, 1.1348668966962, 2.11902271083127, 1.83148316370555, 1.97985582951268, 0.999212745784054, 1.34697071466049, 1.11868766292848, 0.228283051732018, 63.228181818184, 62.4838064516128, 61.0810427350418, 58.1954727330261
12/12/2017, 63.14, 63.87, 63.09, 63.57, 49828, 1.14490526514906, 2.41746212313113, 1.8614906078076, 2.04740089609113, 1.16832080947734, 1.39631160576705, 1.17421245149619, 0.222099154270862, 63.3530909090932, 62.8876559139784, 61.3381050061041, 58.3217824267781
12/13/2017, 63.6, 63.6, 62.81, 62.82, 25792, 1.1635235007999, 2.36340465100987, 1.45489588567172, 1.85633409295873, 0.948007484028842, 1.35922755628338, 1.21121547245363, 0.14801208382975, 63.2089090909114, 63.1711182795698, 61.5564981684973, 58.4337593360995
12/14/2017, 63.01, 63.05, 62.26, 62.38, 17610, 1.17646551786209, 1.98723785713154, 1.36097565068183, 1.60917144740978, 1.01318888939083, 1.27958361373881, 1.22488910071066, 0.0546945130281431, 62.9280000000023, 63.3408602150537, 61.7436703296694, 58.5367820033606
12/15/2017, 63, 63.26, 62.48, 62.97, 33853, 1.17704499053557, 2.19396418166767, 1.35304969669947, 1.77389808533414, 1.04097614502224, 1.24966789107582, 1.2298448587837, 0.0198230322921269, 62.9156363636387, 63.6164946236558, 61.9512063492054, 58.6479349046015
12/18/2017, 63.68, 63.77, 63.14, 63.32, 53248, 1.17518314752565, 2.30690813120622, 1.60920105511115, 1.91224409028932, 1.09678720351219, 1.23990864521649, 1.23185761607026, 0.00805102914623301, 63.1710909090933, 63.8750967741934, 62.1459682539673, 58.7631410645617
12/19/2017, 63.79, 63.79, 62.84, 62.84, 25121, 1.20054053240385, 1.87946563504873, 1.47260633587652, 1.79330451249567, 1.07856446363943, 1.17984190107921, 1.22145447307205, -0.0416125719928324, 63.1063636363661, 64.0332688172042, 62.3089157509148, 58.8688019404482
12/20/2017, 63.29, 63.29, 62.55, 62.61, 29021, 1.20379921264087, 1.84678290004821, 1.42003219803912, 1.70531193785428, 1.0609355374704, 1.10098799155766, 1.19736117676917, -0.0963731852115104, 62.8767272727297, 64.0893118279569, 62.4694261294252, 58.9691478347436
12/21/2017, 62.78, 63.35, 62.78, 63.24, 57709, 1.19072383409666, 2.17931707031226, 1.5348553806531, 1.76101113220859, 1.09260210892633, 1.07691740157288, 1.17327242172991, -0.0963550201570331, 62.9229090909116, 64.2104946236558, 62.6510695970687, 59.0781735295085
12/22/2017, 63.35, 63.35, 62.82, 63.11, 21270, 1.17550794651971, 1.98405723628794, 1.59898998820671, 1.79780022984861, 1.07366263042515, 1.03541574387457, 1.14570108615884, -0.11028534228427, 62.987454545457, 64.280193548387, 62.8161562881554, 59.1834876583517
12/26/2017, 62.97, 63.06, 62.72, 62.93, 25962, 1.15091357348826, 1.89810900543014, 1.62231061529814, 1.83208544597924, 1.03371190409782, 0.976741616118069, 1.11190919215069, -0.135167576032619, 62.9520000000026, 64.2956989247312, 62.9449010989002, 59.2843548387096
12/27/2017, 62.96, 62.99, 62.76, 62.82, 13545, 1.113588691828, 1.58436324176198, 1.52884895626791, 1.72379592810713, 1.041381621792, 0.91086597054111, 1.07170054782877, -0.160834577287663, 63.0152727272753, 64.2921075268817, 63.0606666666657, 59.3819720481926
12/28/2017, 63.04, 63.04, 62.68, 63.02, 29576, 1.08311424213906, 1.47535075918914, 1.83075561696949, 1.75884815009467, 1.04229768985197, 0.864828174484622, 1.03032607315994, -0.165497898675321, 63.0385454545481, 64.273569892473, 63.1752771672762, 59.4813271713146
12/29/2017, 63.16, 63.16, 62.77, 62.77, 26471, 1.06412245599209, 1.49797195277592, 1.59423987144124, 1.77486624745638, 0.951223478196487, 0.798960064474727, 0.9840528714229, -0.185092806948173, 62.8765454545482, 64.176064516129, 63.2861611721602, 59.5752599127299
1/2/2018, 63.16, 63.16, 62.5, 62.75, 28594, 1.06382817903573, 1.47626146846992, 1.73021546274315, 1.76836570230108, 1.02472635215753, 0.736653595783501, 0.93457301629502, -0.197919420511519, 62.8043636363664, 64.0649677419354, 63.3880390720381, 59.6674951377124
1/3/2018, 62.76, 63.42, 62.76, 63.14, 70448, 1.05745101873246, 1.5925404890694, 1.68649445978654, 2.1355662880187, 1.10360156730489, 0.71055418474868, 0.889769249985752, -0.179215065237072, 62.9489090909119, 63.9738279569892, 63.4988034188024, 59.7645062400796
1/4/2018, 63.58, 64.16, 63.58, 63.79, 62298, 1.07429196514546, 1.47891089196445, 1.92433105927113, 2.30000630052095, 1.40862698617476, 0.733860296504901, 0.858587459289582, -0.124727162784681, 63.231818181821, 63.9838494623655, 63.6343785103775, 59.8702788327928
1/5/2018, 63.93, 64.11, 63.69, 64.09, 34086, 1.04856655069118, 1.29750387630741, 1.89077369673458, 2.22258874859969, 1.46213177313894, 0.76768861430245, 0.840407690292156, -0.0727190759897053, 63.5205454545483, 64.0327311827956, 63.7719951159941, 59.9792003676469
1/8/2018, 64.02, 64.42, 64.02, 64.31, 59218, 1.02382986661651, 1.17200482751879, 2.11902507934572, 2.26967786771534, 1.4661404877132, 0.802993551445226, 0.83292486252277, -0.0299313110775437, 63.9305454545484, 64.0602150537634, 63.9062637362627, 60.0899723370621
1/9/2018, 64.46, 65.28, 64.46, 65.04, 50083, 1.03629110987089, 1.23025025793046, 2.20112398462659, 2.4496898823478, 1.57971691370726, 0.879736809304148, 0.842287251879046, 0.0374495574251028, 64.5083636363666, 64.1484516129031, 64.07048107448, 60.2104533526376
1/10/2018, 65.07, 65.63, 65.07, 65.3, 28516, 1.02573284987293, 0.994174597980896, 2.23635339517074, 2.83244128875018, 1.67807812887129, 0.950578543418082, 0.863945510186853, 0.0866330332312292, 65.0347272727302, 64.2359569892472, 64.2411062271052, 60.3332294753224
1/11/2018, 65.71, 65.71, 65.1, 65.54, 31014, 1.01741436286035, 1.54131612042305, 2.4140024428297, 2.89321815176609, 1.62235884825664, 1.01439382178748, 0.894035172506978, 0.120358649280501, 65.4927272727303, 64.3883010752687, 64.420525030524, 60.4579530739529
1/12/2018, 65.8, 66.21, 65.74, 66.18, 37406, 1.00781611475935, 1.99651482731332, 2.51723094110204, 3.04414411607348, 1.68719484313109, 1.10388563450666, 0.936005264906915, 0.167880369599746, 66.0634545454577, 64.6445161290322, 64.5913846153836, 60.5907082228115
1/16/2018, 66.87, 66.96, 65.56, 65.77, 158578, 1.0698252539309, 1.55098502769995, 2.53629621319695, 2.80396852709578, 1.57156880231131, 1.12871385661421, 0.974546983248374, 0.154166873365838, 66.270181818185, 64.8520645161289, 64.7383956043946, 60.7153563803339
1/17/2018, 66.07, 66.2, 65.25, 66.07, 70866, 1.08361263210963, 1.46330349113097, 2.3958741789267, 2.88115414556034, 1.61313642069396, 1.15923495534103, 1.01148457766691, 0.147750377674128, 66.4129090909123, 65.1058279569892, 64.8725811965801, 60.8428131077118
1/18/2018, 66.21, 66.21, 65.68, 65.81, 33020, 1.07376648341147, 1.41654976288083, 2.51939260053795, 2.83687235961731, 1.64058889152451, 1.14919610157613, 1.03902688244875, 0.110169219127379, 66.3627272727305, 65.3648387096774, 64.9940341880331, 60.9645610093327
1/19/2018, 65.79, 66.61, 65.79, 66.58, 44856, 1.06986097416106, 1.42666879063608, 2.74340783445403, 2.92959065959499, 1.73919196357169, 1.18965915231216, 1.06915333642143, 0.120505815890727, 66.5629090909124, 65.6562580645161, 65.1564835164825, 61.0962138364779
1/22/2018, 66.5, 66.9, 66.34, 66.9, 36664, 1.05335988754352, 2.12827529603271, 3.15861542909438, 3.03838930883212, 1.85252024764073, 1.23333066895933, 1.10198880292901, 0.131341866030314, 66.7814545454578, 65.9407096774193, 65.3369255189245, 61.2308491984678
1/23/2018, 66.9, 66.97, 66.62, 66.83, 33543, 1.02792589634638, 2.43998457870819, 3.02703063097055, 3.0905361119378, 1.7934878454128, 1.2479071487375, 1.13117247209071, 0.116734676646788, 66.8665454545488, 66.2139784946236, 65.5067545787535, 61.3625842696628
1/24/2018, 66.97, 67.45, 66.4, 67.24, 11834, 1.04865367742693, 2.37326828178209, 3.14253500617362, 3.10045229604334, 1.83163977501622, 1.27781285627039, 1.16050054892664, 0.117312307343743, 67.1018181818216, 66.5455268817204, 65.6877362637352, 61.4986175862261
1/25/2018, 67.29, 67.29, 66.55, 66.78, 14903, 1.05848906269358, 1.84064125288148, 2.92814261711424, 2.94817761075569, 1.81932873543736, 1.24998612734294, 1.1783976646099, 0.0715884627330334, 67.1101818181853, 66.7802795698924, 65.8396288156278, 61.6259637685179
1/26/2018, 66.77, 67.05, 66.54, 66.99, 20734, 1.04047775229652, 2.3481248843765, 2.85431933873559, 2.91632861481396, 1.86851102560809, 1.23069183969501, 1.18885649962692, 0.0418353400680878, 67.1583636363672, 67.0631182795698, 66.0025225885215, 61.7546741016108
1/29/2018, 67.02, 67.34, 66.65, 66.71, 22464, 1.04431905853735, 2.31881671321363, 2.81144969888001, 3.35620001404368, 1.90912492414594, 1.17921407199712, 1.18692801410096, -0.00771394210384146, 67.1587272727308, 67.2383655913978, 66.1523223443213, 61.8775060817274
1/30/2018, 66.26, 66.7, 66.02, 66.04, 25631, 1.0544094211883, 1.50587660681053, 2.62592751589912, 3.12175982924973, 1.90797223275348, 1.07199685716833, 1.16394178271444, -0.091944925546108, 66.8167272727309, 67.2741720430107, 66.2744566544556, 62.0018264315975
1/31/2018, 66.25, 66.72, 66.13, 66.3, 52483, 1.04904280944964, 1.72339387967914, 2.59806581440535, 3.45754414722084, 1.85651164465976, 0.996519018118207, 1.13045722979519, -0.133938211676985, 66.6098181818218, 67.358688172043, 66.4039609279599, 62.136430777641
2/1/2018, 66.12, 67.57, 66.12, 67.57, 23047, 1.0851555624269, 2.17827554289259, 2.83197950308851, 3.53238610082507, 1.98927953300439, 1.02733815825707, 1.10983341548757, -0.0824952572305002, 66.7770909090946, 67.6061935483871, 66.5851404151394, 62.2862640426403
2/2/2018, 67.28, 67.68, 65.94, 66, 42333, 1.18723883765949, 1.21003513017562, 1.97525322743046, 2.87407405222633, 1.78025427509013, 0.914534485622198, 1.07077362951449, -0.156239143892295, 66.4600000000038, 67.5950752688172, 66.6846105006095, 62.4153562935628
2/5/2018, 65.16, 66.35, 63.06, 63.57, 86263, 1.42976050214331, 0.18283545034831, 1.01607157938585, 2.00320190970047, 1.38583363060889, 0.621887340559297, 0.980996371723454, -0.359109031164157, 65.3990909090947, 67.2399139784946, 66.6706715506705, 62.5040226868934
2/6/2018, 62.12, 64.71, 61.41, 64.52, 412729, 1.59400777069417, 0.504757485081255, 1.27828495336122, 2.134330702753, 1.51401470867189, 0.46130182986262, 0.877057463351287, -0.415755633488667, 64.8340000000038, 67.0410967741935, 66.7168644688634, 62.6060735274018
2/7/2018, 64.16, 65.29, 64.16, 64.46, 59079, 1.60336817091108, 0.494031472433748, 1.25737959495864, 2.09644390052362, 1.4147974206063, 0.325443645358234, 0.766734699752677, -0.441291054394442, 64.4561818181856, 66.8177419354838, 66.7598168498157, 62.7081853218531
