Date,IXJ_Open,IXJ_High,IXJ_Low,IXJ_Close,IXJ_Volume,IXJ_ATRPercentOfClose20,IXJ_SQN25,IXJ_SQN50,IXJ_SQN100,IXJ_SQN200,IXJ_MACD,IXJ_MACD_Avg,IXJ_MACD_Diff,IXJ_LinReg10,IXJ_LinReg30,IXJ_LinReg90,IXJ_LinReg270
11/9/2017, 110.82, 111.21, 110.58, 111.04, 16816, 0.642212932618014, -1.0097479083125, 0.501124379226519, 0.371734056345731, 1.51335031863583, -0.471651602225563, -0.289458293793438, -0.182193308432125, 111.076545454552, 111.202924731183, 113.343301587301, 114.739801716484
11/10/2017, 110.74, 110.74, 109.85, 110.47, 24807, 0.667111051290026, -1.20582347111286, -0.0708863008250222, 0.106081599920731, 1.4103743576621, -0.521907495325692, -0.335948134099889, -0.185959361225803, 110.955272727279, 110.902494623656, 113.26452991453, 114.737372125173
11/13/2017, 109.9, 110.69, 109.82, 110.41, 23633, 0.673498505064837, -0.996690879936603, -0.135535895747117, -0.145526620934393, 1.43113737319458, -0.560120431568521, -0.380782593593615, -0.179337837974905, 110.749272727279, 110.667956989248, 113.193213675213, 114.733721046077
11/14/2017, 110.11, 110.29, 109.72, 110.2, 47295, 0.672349559410147, -1.20477824943983, -0.0578314842385825, -0.19181494512305, 1.30812965384042, -0.600428339661136, -0.42471174280712, -0.175716596854016, 110.470545454552, 110.429204301076, 113.105672771672, 114.726165775401
11/15/2017, 109.73, 110.15, 109.61, 109.84, 69151, 0.667682769252079, -1.47060714845362, -0.339751875125408, -0.210018542845619, 1.22539631240958, -0.65388407005095, -0.470546208255886, -0.183337861795064, 110.177454545461, 110.196215053764, 112.996869352869, 114.71209000856
11/16/2017, 110.24, 111.14, 110.24, 110.95, 18932, 0.686537734167787, -0.886854543963272, -0.345300178743672, 0.122527156444116, 1.32854944553206, -0.599766661438409, -0.49639029889239, -0.103376362546019, 110.203636363643, 110.118129032259, 112.960073260073, 114.717934795782
11/17/2017, 110.81, 110.99, 110.6, 110.79, 26610, 0.67075361969149, -0.898479623600844, -0.516653295356296, 0.0273606981652049, 1.24246956496986, -0.563295567380848, -0.509771352590082, -0.0535242147907664, 110.339636363643, 110.036150537635, 112.913103785103, 114.720673846893
11/20/2017, 110.97, 110.97, 110.54, 110.69, 34035, 0.657215230367143, -0.834552501225618, -0.792244673212, 0.230220691096484, 1.25561780393722, -0.536279233661901, -0.515072928804446, -0.0212063048574552, 110.420181818188, 109.914795698925, 112.875301587301, 114.721434523809
11/21/2017, 110.98, 111.69, 110.98, 111.5, 22894, 0.664661848940557, -0.877005597607304, -0.574521851709501, 0.411070598673888, 1.30323778336658, -0.444385761561165, -0.50093549535579, 0.0565497337946247, 110.779272727279, 109.930451612904, 112.865667887667, 114.736327630285
11/22/2017, 111.67, 111.96, 111.55, 111.76, 31507, 0.650539605843133, -0.874723797461644, -0.350558314856003, 0.486117654379879, 1.33160392371049, -0.346584485567007, -0.470065293398033, 0.123480807831026, 111.255090909098, 110.009311827958, 112.867347985347, 114.755404077813
