Date,KXI_Open,KXI_High,KXI_Low,KXI_Close,KXI_Volume,KXI_ATRPercentOfClose20,KXI_SQN25,KXI_SQN50,KXI_SQN100,KXI_SQN200,KXI_MACD,KXI_MACD_Avg,KXI_MACD_Diff,KXI_LinReg10,KXI_LinReg30,KXI_LinReg90,KXI_LinReg270
2/2/2018, 107.07, 107.07, 105.67, 105.67, 17647, 0.681834871856494, -0.00538049758698146, 0.697634761626168, 0.334548388848115, 0.585605281890159, 0.446548316508583, 0.655644656846, -0.209096340337417, 106.945636363634, 108.190989247312, 107.797181929182, 107.064297662977
2/5/2018, 104.76, 104.92, 101.61, 101.84, 29379, 0.871435745911449, -0.784860494272303, -0.333645168920237, -0.333532240005521, 0.168058821091344, -0.0332819788717558, 0.517859329702449, -0.551141308574205, 104.886545454543, 107.540817204301, 107.634388278388, 106.991719830532
2/6/2018, 100.56, 102.82, 100.01, 102.43, 50642, 0.960262282001765, -0.707859171792624, -0.203193721489807, -0.194657667807838, 0.237606682782673, -0.361772586604246, 0.34193294644111, -0.703705533045356, 103.425636363634, 106.922774193549, 107.487084249084, 106.923445401121
2/7/2018, 102.29, 103.34, 102, 102, 13203, 0.981781198707537, -0.708786944264127, -0.389906862710594, -0.228741055561453, 0.0710484617492721, -0.649316252644184, 0.143683106624051, -0.792999359268235, 102.18418181818, 106.277462365592, 107.314788766789, 106.850506491732
2/8/2018, 102.29, 102.6, 99.75, 99.98, 13337, 1.0940647945065, -1.06253304492394, -0.679004493901396, -0.538677591798781, -0.12398064653525, -1.02833973740317, -0.0907214621813934, -0.937618275221779, 100.563090909089, 105.424215053764, 107.058791208791, 106.747318846522
2/9/2018, 100.63, 100.65, 98.51, 100.2, 15660, 1.14386595056908, -1.06207907937043, -0.796293315656988, -0.532771501267923, -0.047179500715601, -1.29602663016416, -0.331782495777948, -0.964244134386216, 99.5967272727252, 104.63959139785, 106.814424908425, 106.647423260899
2/12/2018, 100.72, 101.58, 100.71, 101.11, 63301, 1.14513499984839, -0.99791439143665, -0.594951253386149, -0.372097020883123, 0.0386289055428434, -1.41839070135681, -0.549104136893721, -0.869286564463092, 99.2405454545434, 104.002107526882, 106.61548962149, 106.565048790488
2/13/2018, 100.87, 101.37, 100.81, 101.36, 34471, 1.11281935519867, -0.937722449730508, -0.620674762747186, -0.157238316959015, 0.0600094753381911, -1.47815297136407, -0.73491390378779, -0.743239067576278, 99.2956363636343, 103.443763440861, 106.435504273504, 106.485634823015
2/14/2018, 101.02, 102.02, 100.99, 102.02, 14598, 1.10081946040767, -0.756528229771629, -0.493971562063811, 0.067638182860783, 0.133471479001746, -1.45548064192401, -0.879027251415035, -0.576453390508978, 99.8681818181797, 102.969376344087, 106.286227106227, 106.414533825338
2/15/2018, 101.99, 102.93, 101.75, 102.85, 10302, 1.09470414470833, -0.463090711681677, -0.440226762201263, 0.176458835915982, 0.203747383229492, -1.35491992065988, -0.974205785264004, -0.380714135395877, 101.075454545453, 102.623419354839, 106.160197802198, 106.359225092251
2/16/2018, 103.08, 103.74, 102.87, 103.43, 8214, 1.07716141563462, -0.35432705275466, -0.36056131098264, 0.231950737952988, 0.269552831003463, -1.21442454165626, -1.02224953654245, -0.192175005113802, 102.332909090907, 102.383548387097, 106.061663003663, 106.313264179309
2/20/2018, 102.19, 102.19, 101.23, 101.34, 28818, 1.1529530783317, -0.772720720465491, -0.803643123802839, -0.11291703765291, 0.00753487851571783, -1.257233865324, -1.06924640229876, -0.187987463025234, 102.224545454543, 101.938731182796, 105.89136019536, 106.239135984693
2/21/2018, 101.53, 101.6, 100.58, 100.66, 21384, 1.1533702732985, -0.980442382088587, -0.816107468616929, -0.142736752062509, -0.0926218151433251, -1.33069149651297, -1.1215354211416, -0.209156075371365, 102.026545454543, 101.437741935484, 105.702913308913, 106.156637693044
2/22/2018, 100.61, 101.25, 100.58, 100.7, 13465, 1.12853365565756, -1.13371533556326, -0.809234598202018, -0.0988347073378478, -0.0925737827791541, -1.3698883130113, -1.17120599951554, -0.198682313495758, 101.852909090907, 100.96406451613, 105.527970695971, 106.069864698647
2/23/2018, 101.24, 101.69, 101, 101.69, 15284, 1.11034685975494, -0.886187618172983, -0.642799422722384, 0.0153380277601466, -0.00209262840125584, -1.3060124477264, -1.19816728915772, -0.107845158568687, 101.68818181818, 100.605225806452, 105.408573870574, 105.995502255023
2/26/2018, 102.24, 102.56, 102.01, 102.53, 21048, 1.08861419643086, -0.879600712976375, -0.498873242187674, 0.131973519984867, 0.0612077669339984, -1.17407537438095, -1.19334890620236, 0.0192735318214146, 101.764363636361, 100.378688172044, 105.322437118437, 105.931093070931
