Date,IJJ_Open,IJJ_High,IJJ_Low,IJJ_Close,IJJ_Volume,IJJ_ATRPercentOfClose20,IJJ_SQN25,IJJ_SQN50,IJJ_SQN100,IJJ_SQN200,IJJ_MACD,IJJ_MACD_Avg,IJJ_MACD_Diff,IJJ_LinReg10,IJJ_LinReg30,IJJ_LinReg90,IJJ_LinReg270
12/14/2017, 158.76, 158.76, 156.91, 157.03, 72542, 0.788114363820329, 0.781871893580566, 0.576240125791091, 0.531220333651394, 0.349779703320305, 1.11281235047511, 1.30088807001667, -0.188075719541564, 158.104000000002, 159.805806451612, 159.407411477413, 153.617036109873
12/15/2017, 157.65, 159.59, 157.41, 158.74, 1090819, 0.821278308070877, 1.19559159564016, 0.790250593877908, 0.940103710734478, 0.430870224637626, 1.07193121036076, 1.25509669808549, -0.183165487724732, 158.223454545456, 159.95146236559, 159.595885225886, 153.733071115192
12/18/2017, 159.57, 160.86, 159.57, 160.52, 114320, 0.837598010790011, 1.51242610790472, 1.15420917946504, 1.16104453070057, 0.574975113549355, 1.16968038878559, 1.23801343622551, -0.0683330474399182, 159.084909090911, 160.316301075268, 159.801851037852, 153.876496997909
12/19/2017, 160.02, 160.23, 159.05, 159.12, 67263, 0.848910702975188, 1.11240958759005, 0.988243123307988, 1.0773539145971, 0.554120140026379, 1.1212539002149, 1.21466152902339, -0.0934076288084928, 159.168000000001, 160.502473118278, 159.937286935288, 153.99499799264
12/20/2017, 159.76, 159.98, 159.08, 159.49, 74134, 0.832809188692339, 1.25985278858417, 0.938368898459904, 1.1166290163872, 0.622790169651055, 1.10005076643196, 1.1917393765051, -0.0916886100731407, 159.199454545456, 160.630129032257, 160.113765567767, 154.11775012444
12/21/2017, 159.8, 160.59, 159.51, 160.22, 80094, 0.821891777738822, 1.58356956267034, 1.04470344661396, 1.16978694258281, 0.688484836554764, 1.12913605174239, 1.17921871155256, -0.0500826598101689, 159.60090909091, 160.823741935483, 160.296131868133, 154.250493071328
12/22/2017, 160.26, 160.42, 159.9, 160.2, 48317, 0.797124379512161, 1.30118507845771, 1.07217285079745, 1.27069361045128, 0.648200872113937, 1.13746057952986, 1.17086708514802, -0.0334065056181629, 160.025090909092, 160.950537634407, 160.472073260074, 154.380972312917
12/26/2017, 160.24, 160.98, 160.24, 160.58, 41210, 0.779763104483471, 1.32341424877988, 1.14827521980181, 1.39845574584256, 0.659703039510834, 1.16133352204676, 1.16896037252777, -0.0076268504810082, 160.512545454547, 161.079870967741, 160.597916971918, 154.515640303148
12/27/2017, 160.74, 160.99, 160.3, 160.39, 71637, 0.763162549735383, 1.15082407875734, 1.11851207656572, 1.31295149985774, 0.680017407440918, 1.15164612918053, 1.16549752385832, -0.0138513946777876, 160.780545454547, 161.15410752688, 160.69771916972, 154.645318875502
12/28/2017, 160.56, 160.99, 160.15, 160.94, 54181, 0.748623457713776, 1.11079856800406, 1.27411186525503, 1.38697546061146, 0.602019308858933, 1.17480676292718, 1.16735937167209, 0.0074473912550832, 161.114181818183, 161.232516129031, 160.806456654458, 154.781865498008
12/29/2017, 161.3, 161.6, 160.1, 160.11, 96987, 0.761721855725641, 0.915472534256192, 1.05323372466438, 1.33446678254952, 0.561852237001839, 1.11335362112837, 1.15655822156335, -0.0432046004349795, 160.709272727274, 161.106989247311, 160.897760683762, 154.903295389869
1/2/2018, 160.86, 161.63, 160.44, 161.62, 145451, 0.763898787304917, 1.18050932701475, 1.21877025052325, 1.65986405872855, 0.625080273935168, 1.17297462261217, 1.15984150177311, 0.0131331208390604, 161.000000000001, 161.227010752687, 161.038461538462, 155.046798732669
1/3/2018, 161.62, 162.02, 161.36, 161.66, 154830, 0.745937497859765, 1.21692052013954, 1.11648035943381, 2.03817506204837, 0.674678330090638, 1.2095098844857, 1.16977517831563, 0.0397347061700679, 161.503454545455, 161.320924731182, 161.167242979244, 155.188879897918
1/4/2018, 162.37, 162.5, 161.87, 161.93, 83982, 0.73339617803254, 0.889308794026529, 1.34113229138258, 2.0576068239001, 0.866940256771428, 1.24588925051782, 1.18499799275607, 0.060891257761752, 161.758000000001, 161.443333333332, 161.317426129427, 155.333163501621
1/5/2018, 162.16, 162.21, 161.46, 162.11, 77132, 0.719085194950149, 0.64129812082109, 1.28670181684803, 1.90831272073093, 0.875902864423548, 1.27455240908409, 1.20290887602167, 0.0716435330624212, 161.995454545455, 161.593075268816, 161.459167277168, 155.478206188726
1/8/2018, 162.15, 163.18, 161.74, 162.95, 115202, 0.723794758549864, 0.6816092696613, 1.59970153742878, 2.11036335515814, 0.893557964971474, 1.34949303292848, 1.23222570740303, 0.117267325525444, 162.526181818182, 161.809505376343, 161.625045177046, 155.634245804961
