Date,EXI_Open,EXI_High,EXI_Low,EXI_Close,EXI_Volume,EXI_ATRPercentOfClose20,EXI_SQN25,EXI_SQN50,EXI_SQN100,EXI_SQN200,EXI_MACD,EXI_MACD_Avg,EXI_MACD_Diff,EXI_LinReg10,EXI_LinReg30,EXI_LinReg90,EXI_LinReg270
2/16/2017, 79.38, 79.58, 79.24, 79.58, 5308, 0.642113441980601, 1.39684996052383, 0, 0, 0, 0.633372707831597, 0.498058374737131, 0.135314333094467, 79.6349090909089, 78.9974193548387, 79.0185227272727, 79.0185227272727
2/17/2017, 79.26, 79.38, 79.12, 79.38, 10847, 0.640519253302789, 1.21292764810252, 0, 0, 0, 0.64693958379317, 0.527834616548339, 0.119104967244831, 79.8172727272725, 79.1308602150538, 79.1393582887701, 79.1393582887701
2/21/2017, 79.65, 79.84, 79.36, 79.8, 30809, 0.635365882341061, 1.26832499114776, 0, 0, 0, 0.683700645201327, 0.559007822278936, 0.124692822922391, 79.9856363636361, 79.3023225806452, 79.2942857142857, 79.2942857142857
2/22/2017, 79.67, 79.7, 79.41, 79.55, 7692, 0.630007385798565, 1.35237249509865, 0, 0, 0, 0.684767566302284, 0.584159771083606, 0.100607795218678, 79.973818181818, 79.4103440860215, 79.4056666666666, 79.4056666666666
2/23/2017, 79.87, 79.88, 79.36, 79.5, 8463, 0.631587838531598, 1.37087005932145, 0, 0, 0, 0.673811250169962, 0.602090066900877, 0.0717211832690847, 79.864727272727, 79.4948172043011, 79.50006006006, 79.50006006006
2/24/2017, 78.86, 79.29, 78.86, 79.23, 9181, 0.642441897073065, 1.13661880171265, 0, 0, 0, 0.636010019580013, 0.608874057436704, 0.0271359621433086, 79.6290909090907, 79.5517419354839, 79.5566145092461, 79.5566145092461
2/27/2017, 79.35, 79.61, 79.22, 79.61, 13162, 0.6319009914564, 1.20369649756373, 0, 0, 0, 0.629459083709492, 0.612991062691262, 0.0164680210182298, 79.5705454545452, 79.6505161290323, 79.6454655870445, 79.6454655870445
2/28/2017, 79.65, 79.8, 79.43, 79.44, 10563, 0.624878600621245, 1.24906708806117, 0, 0, 0, 0.6035920076433, 0.611111251681669, -0.00751924403836934, 79.5138181818178, 79.7297419354839, 79.7087179487179, 79.7087179487179
3/1/2017, 80.13, 80.84, 80.13, 80.56, 158990, 0.6722733146932, 1.32329541433937, 0, 0, 0, 0.665791967903203, 0.622047394925976, 0.0437445729772271, 79.8289090909088, 79.9126666666667, 79.8734512195121, 79.8734512195121
3/2/2017, 80.41, 80.41, 79.84, 79.84, 541525, 0.689509285071392, 0.528678473866011, 0, 0, 0, 0.64950086021048, 0.627538087982877, 0.0219627722276032, 79.8865454545452, 79.9755483870967, 79.9557491289198, 79.9557491289198
3/3/2017, 79.87, 80.08, 79.73, 80.08, 15690, 0.67492382934684, 0.685950000188138, 0, 0, 0, 0.648480751787872, 0.631726620743876, 0.0167541310439959, 80.0216363636361, 80.0596559139785, 80.0524141749723, 80.0524141749723
3/6/2017, 79.57, 79.87, 79.57, 79.81, 21065, 0.675297647430024, 0.65143776081489, 0, 0, 0, 0.618752965966308, 0.629131889788363, -0.0103789238220542, 79.9961818181815, 80.1043655913979, 80.1161627906976, 80.1161627906976
3/7/2017, 79.64, 79.78, 79.55, 79.55, 15286, 0.65997146422779, 0.839400621637345, 0, 0, 0, 0.567669909086547, 0.616839493648, -0.0491695845614526, 79.9414545454542, 80.0834408602151, 80.1511515151515, 80.1511515151515
3/8/2017, 79.54, 79.6, 79.4, 79.47, 13797, 0.640187410096321, 0.972069148325777, 0, 0, 0, 0.514796631940456, 0.596430921306491, -0.0816342893660349, 79.8227272727269, 80.087182795699, 80.1756714975845, 80.1756714975845
3/9/2017, 79.37, 79.42, 78.93, 79.11, 6593, 0.645075323048121, 0.668784978820064, 0, 0, 0, 0.438787122701314, 0.564902161585455, -0.126115038884142, 79.5739999999997, 80.1015483870968, 80.1671692876965, 80.1671692876965
3/10/2017, 79.61, 79.71, 79.33, 79.71, 12757, 0.645845105582988, 1.1751533084859, 0, 0, 0, 0.422098337711077, 0.53634139681058, -0.114243059099503, 79.4998181818178, 80.1838494623656, 80.2078989361701, 80.2078989361701
3/13/2017, 79.81, 79.85, 79.59, 79.82, 40405, 0.628993957626146, 0.978383386525636, 0, 0, 0, 0.412987770123735, 0.511670671473211, -0.0986829013494761, 79.5134545454542, 80.2601290322581, 80.2538010204081, 80.2538010204081
3/14/2017, 79.39, 79.39, 79.05, 79.15, 2789, 0.651244255373758, 0.814555933221482, 0, 0, 0, 0.347696154263289, 0.478875768031227, -0.131179613767937, 79.2501818181815, 80.2040860215054, 80.2426612244897, 80.2426612244897
3/15/2017, 79.38, 80.35, 79.38, 80.14, 22205, 0.685908206540944, 1.11951994979806, 0, 0, 0, 0.37155376401067, 0.457411367227115, -0.085857603216445, 79.5687272727268, 80.2449247311828, 80.3083999999999, 80.3083999999999
3/16/2017, 80.41, 80.45, 80.24, 80.24, 3937, 0.670117765311338, 1.11357490877589, 1.52067172489684, 0, 0, 0.393988600547658, 0.444726813891224, -0.0507382133435659, 79.8007272727269, 80.296, 80.3766214177979, 80.3766214177979
3/17/2017, 80.37, 80.74, 80.34, 80.55, 5397, 0.665198473173838, 1.11379343487227, 1.44028392066777, 0, 0, 0.43180519782824, 0.442142490678627, -0.0103372928503873, 80.1659999999996, 80.3426666666666, 80.4628156748911, 80.4628156748911
3/20/2017, 80.62, 80.7, 80.42, 80.53, 7595, 0.649480319923569, 0.877660823265259, 1.37647229884001, 0, 0, 0.454917287460262, 0.444697450034954, 0.0102198374253077, 80.4447272727269, 80.4030107526882, 80.5412788259958, 80.5412788259958
3/21/2017, 80.81, 80.81, 79.71, 79.74, 19146, 0.69209327383086, 0.250291569218712, 1.05258545639084, 0, 0, 0.404820864380397, 0.436722132904043, -0.0319012685236453, 80.3592727272723, 80.3196774193549, 80.5571582491582, 80.5571582491582
3/22/2017, 79.67, 79.92, 79.53, 79.84, 4579, 0.681088950056477, 0.298086620048064, 1.14663033281708, 0, 0, 0.368935394851945, 0.423164785293623, -0.054229390441678, 80.2819999999995, 80.2447741935484, 80.578461038961, 80.578461038961
3/23/2017, 79.82, 80.33, 79.82, 79.97, 29614, 0.677869634661545, 0.211677161460227, 1.1753468686529, 0, 0, 0.346985976904008, 0.4079290236157, -0.0609430467116919, 80.1574545454541, 80.1797634408602, 80.6068609022556, 80.6068609022556
3/24/2017, 80.11, 80.36, 79.85, 80.01, 10067, 0.675525221218467, 0.202804999160243, 1.0617239312759, 0, 0, 0.329025766524225, 0.392148372197405, -0.0631226056731803, 80.1198181818177, 80.1257634408602, 80.6356684815486, 80.6356684815486
3/27/2017, 79.52, 80.01, 79.45, 79.88, 558883, 0.677845947699112, 0.234476812717057, 0.972908439453278, 0, 0, 0.300834424870288, 0.373885582731982, -0.0730511578616937, 80.0429090909087, 80.0788817204301, 80.6534365867913, 80.6534365867913
3/28/2017, 79.97, 80.69, 79.83, 80.54, 4183, 0.692066272499315, 0.330978792343954, 1.07679105807725, 0, 0, 0.327968451496162, 0.364702156484818, -0.0367337049886564, 80.0567272727269, 80.1456774193548, 80.713220338983, 80.713220338983
3/29/2017, 80.35, 80.55, 80.31, 80.54, 1730, 0.672362387729576, 0.441641606757251, 1.21313605192227, 0, 0, 0.345489772054947, 0.360859679598844, -0.0153699075438969, 80.1927272727269, 80.2031612903225, 80.7690218579235, 80.7690218579235
3/30/2017, 80.43, 80.85, 80.43, 80.69, 4612, 0.66358239400611, 0.52757047758081, 1.29027869243689, 0, 0, 0.367245908993539, 0.362136925477783, 0.00510898351575595, 80.3787272727268, 80.2929677419354, 80.830729772607, 80.830729772607
3/31/2017, 80.36, 80.65, 80.35, 80.38, 14354, 0.653984078175359, 0.511039958561859, 1.13055640383821, 0, 0, 0.355376832133544, 0.360784906808935, -0.00540807467539106, 80.4950909090905, 80.3398924731182, 80.868955453149, 80.868955453149
4/3/2017, 80.44, 80.44, 79.96, 80.36, 9686, 0.651305104449336, 0.340903711163738, 1.05102705778121, 0, 0, 0.340432377817194, 0.356714401010587, -0.0162820231933927, 80.6098181818178, 80.3657849462365, 80.9033283730158, 80.9033283730158
4/4/2017, 80.26, 80.48, 80.25, 80.48, 4573, 0.632106539312515, 0.468883446630122, 1.17655420872746, 0, 0, 0.334416838078567, 0.352254888424183, -0.0178380503456156, 80.6172727272724, 80.4285806451612, 80.9426682692307, 80.9426682692307
