Date,IXC_Open,IXC_High,IXC_Low,IXC_Close,IXC_Volume,IXC_ATRPercentOfClose20,IXC_SQN25,IXC_SQN50,IXC_SQN100,IXC_SQN200,IXC_MACD,IXC_MACD_Avg,IXC_MACD_Diff,IXC_LinReg10,IXC_LinReg30,IXC_LinReg90,IXC_LinReg270
4/25/2017, 32.74, 33, 32.73, 32.95, 140958, 1.16465652235978, 0.034967853153198, -0.446571899143511, 0, 0, -0.13592867440218, -0.0782546363679698, -0.0576740380342104, 32.3907272727268, 33.0517204301075, 32.4759363842908, 32.4759363842908
4/26/2017, 32.81, 33.18, 32.76, 32.8, 284227, 1.17550795095021, 0.0598121139055421, -0.584824521015953, 0, 0, -0.132525196434948, -0.0891087483813654, -0.0434164480535823, 32.5081818181813, 32.9811397849462, 32.4642974683544, 32.4642974683544
4/27/2017, 32.64, 32.64, 32.18, 32.46, 137258, 1.22393184693803, -0.244692121644451, -0.770681035387348, 0, 0, -0.155470902341705, -0.102381179173433, -0.0530897231682715, 32.5383636363632, 32.9149892473118, 32.4366481481482, 32.4366481481482
4/28/2017, 32.62, 32.64, 32.45, 32.49, 155754, 1.19090139624586, -0.125498695117957, -0.708006575345636, 0, 0, -0.16928339668641, -0.115761622676029, -0.0535217740103814, 32.5241818181813, 32.8546451612903, 32.4118006624511, 32.4118006624511
5/1/2017, 32.47, 32.51, 32.35, 32.42, 58112, 1.15847523275221, -0.0939530053587821, -0.604523005131258, 0, 0, -0.183760041581131, -0.129361306457049, -0.0543987351240818, 32.5472727272722, 32.7870322580645, 32.3848133999412, 32.3848133999412
5/2/2017, 32.47, 32.58, 32.25, 32.36, 119171, 1.15358092378045, -0.134329145269027, -0.511635684363907, 0, 0, -0.197794335540458, -0.143047912273731, -0.0547464232667269, 32.5256363636358, 32.7096774193548, 32.356273666093, 32.356273666093
5/3/2017, 32.29, 32.49, 32.21, 32.39, 93244, 1.13811005738989, -0.419087951220803, -0.64159862797152, 0, 0, -0.204142636100727, -0.15526685703913, -0.0488757790615968, 32.4356363636358, 32.6278064516129, 32.3304733893558, 32.3304733893558
5/4/2017, 32.23, 32.26, 31.82, 31.97, 561448, 1.18455475511153, -1.05459318020545, -0.636115367651855, 0, 0, -0.240294237552781, -0.17227233314186, -0.0680219044109212, 32.2252727272722, 32.4976344086021, 32.286462380301, 32.286462380301
5/5/2017, 32, 32.59, 31.99, 32.59, 191795, 1.19903972828689, -0.493609502114101, -0.36850059682541, 0, 0, -0.216421056496095, -0.181102077812707, -0.035318978683388, 32.2343636363631, 32.4434193548387, 32.2727185244587, 32.2727185244587
5/8/2017, 32.55, 32.74, 32.5, 32.72, 151152, 1.17123684314262, -0.325076035909693, -0.121127939619729, 0, 0, -0.184880290067113, -0.181857720263588, -0.00302256980352467, 32.3418181818177, 32.3988817204301, 32.2655538140021, 32.2655538140021
5/9/2017, 32.77, 32.77, 32.41, 32.54, 193159, 1.17414646687908, -0.382290251210082, -0.30808601687571, 0, 0, -0.172420939844216, -0.179970364179714, 0.00754942433549832, 32.437454545454, 32.3298064516129, 32.2507814096017, 32.2507814096017
5/10/2017, 32.78, 33.04, 32.72, 32.9, 298628, 1.17922157235966, -0.308477857792677, -0.0698809990819051, 0, 0, -0.131976480953398, -0.170371587534451, 0.0383951065810528, 32.6498181818176, 32.3304731182795, 32.2526441947566, 32.2526441947566
5/11/2017, 33, 33, 32.78, 32.82, 721657, 1.15650732005183, -0.268157965028888, -0.365149770104357, 0, 0, -0.105166987737476, -0.157330667575056, 0.0521636798375795, 32.7610909090903, 32.3437204301075, 32.2510866910867, 32.2510866910867
5/12/2017, 32.83, 32.92, 32.71, 32.83, 103361, 1.13033023855913, -0.452350671976812, -0.244354116253123, 0, 0, -0.0821661940470833, -0.142297772869461, 0.0601315788223781, 32.8621818181812, 32.3643440860214, 32.2627765567766, 32.2501648351648
5/15/2017, 33.31, 33.42, 33.04, 33.11, 159888, 1.15382979901242, -0.257729635199581, -0.117017284685095, 0, 0, -0.0408730799700336, -0.122012834289576, 0.0811397543195422, 33.027454545454, 32.4168602150537, 32.2886788766789, 32.2613955119215
5/16/2017, 33.32, 33.32, 33.04, 33.1, 88499, 1.13876554117934, -0.386061525854559, -0.141586409092313, 0, 0, -0.00885285577895445, -0.0993808385874516, 0.0905279828084971, 33.1396363636358, 32.4620215053763, 32.3168083028083, 32.271921757035
5/17/2017, 33.01, 33.13, 32.77, 32.78, 61211, 1.14729964741868, -0.628226819108101, -0.20999444395718, 0, 0, -0.00919196382550069, -0.0813430636350614, 0.0721510998095607, 33.1069090909085, 32.4845806451612, 32.3303247863248, 32.268790593505
5/18/2017, 32.59, 32.8, 32.45, 32.64, 69290, 1.14822482598852, -0.657118468826866, 0.12018300159646, 0, 0, -0.0205209862115368, -0.0691786481503565, 0.0486576619388197, 32.9205454545448, 32.4838494623655, 32.3290354090354, 32.2600986842105
5/19/2017, 32.85, 33.15, 32.85, 33.09, 118099, 1.15304186776222, 0.0638994999924286, 0.274407922983066, 0, 0, 0.00673429238871393, -0.0539960600425424, 0.0607303524312563, 32.9770909090903, 32.5613548387096, 32.3427106227107, 32.2703049828179
5/22/2017, 33.26, 33.26, 32.98, 33.1, 102379, 1.13735491341509, -0.0431039456091946, 0.196114090228065, 0, 0, 0.0288091198688107, -0.0374350240602718, 0.0662441439290825, 33.0358181818176, 32.6440430107526, 32.3673601953603, 32.2806753629287
5/23/2017, 33.18, 33.18, 33.01, 33.08, 41911, 1.1068357089582, 0.182979008664071, 0.175214970840726, 0, 0, 0.0441804619700932, -0.0211119268541988, 0.065292388824292, 33.0309090909085, 32.7381720430107, 32.3910915750916, 32.2899938157081
5/24/2017, 33.07, 33.16, 32.88, 33.02, 52115, 1.09580311901031, 0.580661726297243, 0.409192893964729, 0, 0, 0.0509337304315522, -0.00670279539704858, 0.0576365258286008, 33.0478181818175, 32.8312258064516, 32.4134603174604, 32.2967131313131
5/25/2017, 32.9, 33.09, 32.41, 32.49, 137914, 1.16264229117373, 0.0354672226934414, -0.308977420636455, 0, 0, 0.0133651090787765, -0.00268921450188356, 0.0160543235806601, 32.8590909090903, 32.8548817204301, 32.4164102564103, 32.2824257425743
5/26/2017, 32.48, 32.5, 32.36, 32.44, 45207, 1.1277908643102, 0.0809186628749874, -0.320709698304432, -0.953916967687527, 0, -0.0202099088936691, -0.00619335338024068, -0.0140165555134285, 32.6730909090903, 32.8401505376344, 32.4147252747253, 32.2667850902737
5/30/2017, 32.36, 32.42, 32.17, 32.19, 250524, 1.12166072868318, -0.3640874782542, -0.443490204732074, -1.0471445404469, 0, -0.0662278299957961, -0.0182002487033518, -0.0480275812924444, 32.4779999999994, 32.8081720430107, 32.3980048840049, 32.2421206929374
5/31/2017, 32.04, 32.1, 31.9, 32, 78924, 1.11721705979675, -0.721305531998439, -0.500162739044002, -1.13389178655925, 0, -0.116683718836548, -0.037896942729991, -0.0787867761065568, 32.2654545454539, 32.7365376344085, 32.3784200244201, 32.2111183719194
6/1/2017, 32.03, 32.29, 31.96, 32.21, 47979, 1.10566279471659, -0.43371092366866, -0.277591969857339, -1.01682407212812, 0, -0.13813282013529, -0.0579441182110508, -0.0801887019242393, 32.1214545454539, 32.6617634408601, 32.3646080586081, 32.1892142857143
