Date,XOP_Open,XOP_High,XOP_Low,XOP_Close,XOP_Volume,XOP_ATRPercentOfClose20,XOP_SQN25,XOP_SQN50,XOP_SQN100,XOP_SQN200,XOP_MACD,XOP_MACD_Avg,XOP_MACD_Diff,XOP_LinReg10,XOP_LinReg30,XOP_LinReg90,XOP_LinReg270
1/22/2018, 38.72, 39.71, 38.7, 39.69, 16903886, 1.9177109190257, 1.90611176437747, 0.780011725365853, 2.07471900967295, 0.307064665202648, 0.912098019539762, 0.931661110175302, -0.0195630906355394, 39.3269090909096, 40.0463010752673, 38.2325811965814, 32.8521242729466
1/23/2018, 39.91, 40.05, 39.38, 39.85, 12875018, 1.89857588600561, 2.16159624838288, 0.964373931438841, 2.11222658303247, 0.277074526388824, 0.926213974561286, 0.930571683052498, -0.00435770849121275, 39.5363636363641, 40.2112473118264, 38.3575189255192, 32.9405643321788
1/24/2018, 39.95, 40.2, 39.42, 39.72, 18111584, 1.90773757815854, 2.34113237910637, 0.810924530351314, 2.06971090142107, 0.282776944659955, 0.916347968101668, 0.927726940062332, -0.0113789719606643, 39.6300000000005, 40.3604516129017, 38.4743516483519, 33.0259433171223
1/25/2018, 39.93, 39.95, 38.76, 38.91, 17127742, 2.00299588214429, 1.65473996960908, 0.637736932347321, 1.79475869860289, 0.167127099274335, 0.833560094458356, 0.908893570941537, -0.0753334764831811, 39.3427272727278, 40.4070322580629, 38.549567765568, 33.0982186650392
1/26/2018, 39.03, 39.2, 38.78, 39.06, 6567085, 1.94930213224585, 1.68654618140222, 0.835703969869935, 1.72600971401878, 0.174985090180859, 0.771164351923474, 0.881347727137925, -0.110183375214451, 39.2678181818187, 40.4154623655898, 38.6323760683763, 33.1718033870302
1/29/2018, 38.63, 38.97, 38.24, 38.3, 17237851, 1.99563326948425, 1.04065323977446, 1.01995105774563, 1.62129666874856, 0.17019467475092, 0.652863820285909, 0.835650945767521, -0.182787125481613, 39.0129090909096, 40.2790967741919, 38.6784273504276, 33.2332680060135
1/30/2018, 37.78, 37.86, 36.76, 36.97, 38646681, 2.17233206681591, 0.149716417073063, 0.770398202254756, 1.24419243621363, 0.134932290210491, 0.446641308942681, 0.757849018402553, -0.311207709459873, 38.2320000000006, 39.9282580645145, 38.6769694749697, 33.3120092934263
1/31/2018, 36.99, 37.21, 36.57, 36.91, 23521907, 2.15376756122122, 0.0700837964295431, 0.723407977620919, 1.27068343824187, 0.116338149995373, 0.275194711064735, 0.66131815693499, -0.386123445870255, 37.6070909090915, 39.5270752688156, 38.6709890109892, 33.3917613776138
2/1/2018, 37, 37.38, 36.62, 37.09, 17782203, 2.13860292937291, -0.169056562165626, 0.590529336362044, 1.51788130840565, 0.178307941722312, 0.152093305763607, 0.559473186700713, -0.407379880937106, 37.0863636363642, 39.1751397849446, 38.6728351648354, 33.4736370097035
2/2/2018, 36.55, 36.61, 35.37, 35.51, 37168663, 2.36425636490902, -0.566171054380873, 0.287200846115712, 1.12325651579377, 0.130404944431847, -0.0721268072872903, 0.433153187903113, -0.505279995190403, 36.0854545454551, 38.6116344086004, 38.6235384615387, 33.5303476834769
2/5/2018, 35.09, 35.72, 34.03, 34.37, 28154032, 2.56639529653836, -0.991616561410566, -0.0189908663885286, 0.766203682170648, 0.0282771790243649, -0.337916049053234, 0.278939340511843, -0.616855389565077, 35.0598181818188, 37.9569677419338, 38.5264004884007, 33.5621096077628
2/6/2018, 34, 35.01, 33.46, 34.82, 22707864, 2.62914003517869, -0.698703627768376, -0.0517015529052242, 0.680526488876046, 0.0575120527453747, -0.506407152441902, 0.121870041921094, -0.628277194362996, 34.5118181818188, 37.4331827956972, 38.4543052503054, 33.601012163455
2/7/2018, 34.9, 35.35, 33.68, 33.71, 28583544, 2.82762750589368, -1.39629496912537, -0.314234272580675, 0.43526883318659, -0.0618243393455682, -0.721191838544797, -0.0467423341720841, -0.674449504372713, 33.8287272727279, 36.7910967741918, 38.3295824175826, 33.6269982233156
2/8/2018, 33.86, 34.1, 32.29, 32.38, 32446230, 3.07607649976814, -1.85908155139424, -0.415274518615186, 0.18660222080507, -0.23818752248967, -0.987348594453962, -0.23486358622846, -0.752485008225503, 32.8520000000007, 36.0549892473101, 38.1446373626375, 33.6319133524669
2/9/2018, 32.59, 32.7, 30.98, 32.39, 32281264, 3.18688450785328, -1.91932171898372, -0.475585607420669, 0.135260914068696, -0.219206297537574, -1.18382641068531, -0.42465615111983, -0.759170259565483, 32.2649090909098, 35.3340860215036, 37.9658266178268, 33.6358078447451
