Date,FXE_Open,FXE_High,FXE_Low,FXE_Close,FXE_Volume,FXE_ATRPercentOfClose20,FXE_SQN25,FXE_SQN50,FXE_SQN100,FXE_SQN200,FXE_MACD,FXE_MACD_Avg,FXE_MACD_Diff,FXE_LinReg10,FXE_LinReg30,FXE_LinReg90,FXE_LinReg270
11/30/2017, 114.51, 115.03, 114.51, 114.73, 330522, 0.503058868391069, 0.309112760281249, -0.00375540515272335, 0.758500302301811, 1.1708825950304, 0.364808233189819, 0.161643296151204, 0.203164937038615, 114.732727272726, 113.905268817203, 113.282068376067, 116.352838856546
12/1/2017, 114.41, 115.04, 114.26, 114.64, 235187, 0.512300652232921, 0.991406045692603, -0.149265279007741, 0.832754356800376, 1.09561253785221, 0.391593016443636, 0.20763324020969, 0.183959776233946, 114.831999999999, 114.164279569891, 113.299760683759, 116.386837723842
12/4/2017, 114.17, 114.32, 114.04, 114.29, 168422, 0.514425054102571, 1.04283330420565, -0.274120547600941, 0.792344874325708, 1.13389274063533, 0.380195419090413, 0.242145675985835, 0.138049743104578, 114.798181818181, 114.333161290321, 113.290542124541, 116.414222515681
12/5/2017, 113.96, 114.12, 113.76, 113.96, 383651, 0.513372740099278, 0.662569121997377, -0.111739328959902, 0.607079421662116, 1.17369377638515, 0.340608179920935, 0.261838176772855, 0.0787700031480797, 114.494909090908, 114.438516129031, 113.284080586079, 116.4354599018
12/6/2017, 113.76, 113.81, 113.58, 113.69, 188557, 0.505574453237998, 0.580147337141595, -0.0317182809445465, 0.533196767890257, 1.12583571771249, 0.284172500458553, 0.266305041509994, 0.0178674589485582, 114.066545454544, 114.514408602149, 113.282507936507, 116.451682293545
12/7/2017, 113.63, 113.89, 113.49, 113.51, 172857, 0.498676958939271, 0.633126675305442, 0.0385425396635799, 0.359278087682166, 1.09096730689418, 0.222359104863159, 0.257515854180627, -0.0351567493174684, 113.706727272726, 114.592838709676, 113.265179487178, 116.464501180004
12/8/2017, 113.39, 113.48, 113.25, 113.41, 289600, 0.485623671005527, 0.413013951710801, -0.0797069331679018, 0.421711645250254, 1.10612581202142, 0.163418591449513, 0.238696401634405, -0.0752778101848912, 113.539999999999, 114.559032258063, 113.255890109889, 116.475323192568
12/11/2017, 113.6, 113.85, 113.46, 113.47, 232082, 0.480486926080021, 0.704155201527391, -0.172223446585957, 0.221383867215363, 1.08131012388365, 0.120164131180118, 0.214989947543547, -0.0948258163634291, 113.42818181818, 114.496731182794, 113.254324786323, 116.48685876024
12/12/2017, 113.15, 113.23, 112.95, 113.23, 288719, 0.480392201070255, 0.580056612811062, 0.00212378069357841, 0.0979427871831857, 1.05383031934374, 0.0657606180781301, 0.185144081650464, -0.119383463572334, 113.18818181818, 114.430645161289, 113.222131868131, 116.494105648535
12/13/2017, 113.36, 113.99, 113.24, 113.98, 812618, 0.486708795234477, 0.968964760907863, 0.178781372934068, 0.302370137137178, 1.17496347642302, 0.0822164341027332, 0.164558552140918, -0.0823421180381846, 113.275999999998, 114.4488172043, 113.226510378509, 116.513541839557
12/14/2017, 113.74, 113.85, 113.45, 113.6, 1279760, 0.487247491697046, 0.754042180014146, 0.0237378531701299, 0.215387133384561, 1.18058371471002, 0.0638588377219946, 0.144418609257133, -0.0805597715351385, 113.343272727271, 114.389118279569, 113.20407081807, 116.526302595933
12/15/2017, 113.56, 113.59, 113.27, 113.28, 551909, 0.478758380154883, 0.423464592513071, 0.102012877725415, 0.00840598836018419, 1.04707363321908, 0.0232213039453768, 0.120179148194782, -0.0969578442494051, 113.343636363635, 114.306408602149, 113.16982173382, 116.533497602285
12/18/2017, 113.75, 114.04, 113.48, 113.55, 475512, 0.487204419539832, 0.451625220001825, 0.0928305052462053, 0.157499310188372, 1.11186372409029, 0.0126566116252747, 0.0986746408808804, -0.0860180292556058, 113.441454545453, 114.216924731182, 113.151638583637, 116.544882277541
12/19/2017, 113.88, 114.18, 113.76, 114.11, 254302, 0.488177712267203, 0.662253071474162, 0.213143988759131, 0.105704057895631, 1.17638927094653, 0.0489075608146692, 0.0887212248676382, -0.039813664052969, 113.707090909089, 114.189569892472, 113.168798534797, 116.565105386417
12/20/2017, 114.19, 114.66, 114.14, 114.48, 199241, 0.486291586386007, 0.351649048858413, 0.136876331140041, 0.0278530264282157, 1.2388258532158, 0.106267620027836, 0.0922305038996778, 0.0140371161281583, 114.038363636362, 114.182752688171, 113.19227106227, 116.590922847187
12/21/2017, 114.31, 114.46, 114.24, 114.43, 93154, 0.472665627623845, 0.332811744986622, -0.0245460706768359, 0.0941200150309915, 1.19253136008477, 0.146008206362623, 0.102986044392267, 0.0430221619703563, 114.273272727271, 114.157569892472, 113.203763125762, 116.615445508706
