Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,SPY_ATRPercentOfClose20,SPY_SQN25,SPY_SQN50,SPY_SQN100,SPY_SQN200,SPY_MACD,SPY_MACD_Avg,SPY_MACD_Diff,SPY_LinReg10,SPY_LinReg30,SPY_LinReg90,SPY_LinReg270
10/3/2017, 252.46, 252.89, 252.23, 252.86, 66810169, 0.495866001229838, 1.96769261105334, 0.767869556904, 1.18798471120535, 0, 1.34159809193665, 1.11588339376962, 0.225714698167029, 252.004363636373, 251.940838709679, 249.579494505495, 250.889560209424
10/4/2017, 252.69, 253.44, 252.56, 253.16, 55953619, 0.487894782814932, 1.97018317343832, 0.730349435656525, 1.25001622279697, 0, 1.45513249684274, 1.18373321438424, 0.271399282458495, 252.905636363646, 252.374365591399, 249.816588522589, 251.05280104712
10/5/2017, 253.54, 254.68, 253.2, 254.66, 63522757, 0.490613645867261, 2.00757556537254, 0.901043827950351, 1.25738660221911, 0, 1.64715936681938, 1.27641844487127, 0.370740921948111, 254.02200000001, 252.889741935485, 250.106195360196, 251.24378832038
10/6/2017, 254.15, 254.7, 253.85, 254.37, 80645998, 0.483322276619605, 1.64147970110406, 0.894333373176269, 1.25243804158262, 0, 1.75570281917351, 1.37227531973172, 0.38342749944179, 254.760727272737, 253.265161290324, 250.372151404152, 251.425066502857
10/9/2017, 254.63, 254.7, 253.65, 253.95, 35803138, 0.480588907771382, 1.44096547373434, 0.878871703030097, 1.72999815282014, 0, 1.78723170270825, 1.45526659632702, 0.33196510638123, 254.983454545464, 253.558322580646, 250.652942612944, 251.594198255353
10/10/2017, 254.6, 255.05, 253.98, 254.62, 43057363, 0.47695890139076, 2.30623940939099, 0.975918102888164, 1.70120648053165, 0, 1.84501380003366, 1.53321603706835, 0.311797762965304, 255.193818181828, 253.876580645163, 250.973262515264, 251.773648874934
10/11/2017, 254.51, 255.02, 254.32, 255.02, 47674325, 0.466124663549956, 2.20373195727208, 0.956517279583219, 1.60133311990341, 0, 1.90116770762441, 1.60680637117956, 0.294361336444847, 255.434181818192, 254.19941935484, 251.299411477413, 251.957713664146
10/12/2017, 254.66, 255.06, 254.37, 254.64, 47065144, 0.457027788696136, 2.08380751219652, 0.894128172857064, 1.45420504517099, 0, 1.89318381519408, 1.66408185998247, 0.229101955211612, 255.332181818192, 254.485763440862, 251.583536019537, 252.130569143209
10/13/2017, 255.14, 255.27, 254.64, 254.95, 54800435, 0.446003837253991, 2.27522669271794, 0.993592613275308, 1.43177186212211, 0, 1.89008322921367, 1.70928213382871, 0.180801095384965, 255.279272727283, 254.854430107528, 251.882837606839, 252.306301710573
10/16/2017, 255.21, 255.51, 254.82, 255.29, 38221675, 0.436653391799561, 2.14986592431438, 0.979023733579002, 1.40932328610446, 0, 1.89323709228643, 1.74607312552025, 0.147163966766175, 255.358909090919, 255.241440860216, 252.191396825398, 252.485444221105
10/17/2017, 255.23, 255.52, 254.98, 255.47, 31560964, 0.425097201913667, 1.95984394489452, 0.944269704485469, 1.32025967758674, 0, 1.88849169050829, 1.77455683851786, 0.11393485199043, 255.446727272737, 255.484559139786, 252.491169719171, 252.664743283582
10/18/2017, 255.9, 255.95, 255.5, 255.72, 40888330, 0.412832797842328, 2.00644670883765, 1.05469242012548, 1.3483281411777, 1.47299945184822, 1.88319553024894, 1.79628457686408, 0.0869109533848649, 255.538545454556, 255.754688172045, 252.791924297925, 252.845577065169
10/19/2017, 254.83, 255.83, 254.35, 255.79, 61903788, 0.421013811763666, 2.06991190916487, 1.0645685011713, 1.37599421718826, 1.41333940262895, 1.8631692448007, 1.8096615104514, 0.0535077343493007, 255.81490909092, 255.974795698926, 253.113128205129, 253.024372530849
10/20/2017, 256.7, 257.14, 255.77, 257.11, 89176377, 0.424552007955648, 2.93706812925025, 1.85163949662833, 1.49516533309987, 1.47806354874203, 1.93154558247178, 1.83403832485548, 0.0975072576163067, 256.427636363647, 256.285505376346, 253.47690842491, 253.225623007824
10/23/2017, 257.48, 257.51, 256.02, 256.11, 63915306, 0.433988280142138, 2.15553405234625, 1.64370585763684, 1.2293818438675, 1.39047915246999, 1.88333279195803, 1.84389721827599, 0.0394355736820382, 256.461454545465, 256.576731182797, 253.777103785105, 253.403677666188
10/24/2017, 256.6, 256.83, 256.15, 256.56, 66935910, 0.425597526917067, 2.21558051229497, 1.43516863765926, 1.19434753620922, 1.45094824216124, 1.85999419207448, 1.84711661303569, 0.0128775790387949, 256.66690909092, 256.93653763441, 254.062818070819, 253.58712810798
