Date,INR_Open,INR_High,INR_Low,INR_Close,INR_Volume,INR_ATRPercentOfClose20,INR_SQN25,INR_SQN50,INR_SQN100,INR_SQN200,INR_MACD,INR_MACD_Avg,INR_MACD_Diff,INR_LinReg10,INR_LinReg30,INR_LinReg90,INR_LinReg270
10/11/2017, 40.49, 40.58, 40.49, 40.58, 394, 1.12172573490516, -0.614638819266188, -0.361862128729982, 0, 0, -0.152053886647849, -0.0315913690138043, -0.120462517634045, 41.1334545454546, 41.5193548387096, 42.1761684981686, 42.4234209972649
10/13/2017, 41.29, 41.29, 41.29, 41.29, 100, 1.13329253587621, -0.388786047084697, 0.162753736441077, 0, 0, -0.157093640900399, -0.0566918233911232, -0.100401817509276, 41.0798181818182, 41.4621720430107, 42.1336556776558, 42.4047680890539
10/16/2017, 41.24, 41.24, 40.99, 41.2, 540, 1.11538753315564, -0.184778686151782, 0.0551100211527901, 0, 0, -0.16643141256948, -0.0786397412267946, -0.0877916713426855, 41.0383636363637, 41.3915698924731, 42.0851355311357, 42.3830505050506
10/17/2017, 41.29, 41.29, 41.27, 41.27, 580, 1.06872469221497, -0.170641973108234, 0.114544597618288, 0, 0, -0.166266630685485, -0.0961651191185326, -0.0701015115669519, 41.0929090909092, 41.3385161290322, 42.0323125763127, 42.3647128712872
10/18/2017, 39.6, 41.1, 39.6, 40.99, 1979, 1.22593204794648, -0.334171307406375, -0.00775240415544516, 0.906670746949745, 0, -0.186578933987938, -0.114247882092414, -0.0723310518955247, 41.0327272727274, 41.2612688172043, 41.9863052503054, 42.3359522422831
10/23/2017, 41.3, 43.07, 41.1, 41.1, 720, 1.41455977890657, -0.269329163130775, -0.00764315285589485, 0.856008460798524, 0, -0.191591947299116, -0.129716695133754, -0.061875252165362, 41.013090909091, 41.2004946236559, 41.9474920634922, 42.3122977346279
10/24/2017, 41.2, 41.6, 41.1, 41.3, 796, 1.39785681761276, -0.199190838823474, -0.00744552830576263, 0.895254850259815, 0, -0.177381721861437, -0.139249700479291, -0.0381320213821461, 41.0838181818183, 41.1898494623656, 41.9198290598292, 42.2969772218073
10/25/2017, 41.42, 42.15, 41.32, 42.15, 1090, 1.40201452524404, 0.183156542267119, 0.146000600500447, 1.06638093482596, 0, -0.0964206424232472, -0.130683888868082, 0.0342632464448349, 41.4585454545455, 41.2550537634408, 41.928573870574, 42.3142802197802
10/27/2017, 40.03, 41.22, 40.03, 41.22, 800, 1.61912097591181, -0.273015789870856, -0.00905100583546937, 0.773425360124082, 0, -0.106078820727532, -0.125762875239972, 0.0196840545124398, 41.4780000000001, 41.2017634408602, 41.8890744810746, 42.2959766397125
10/31/2017, 41.35, 42.35, 41.32, 42.35, 600, 1.63053502469257, 0.011725322739638, 0.405224926260954, 1.01508410259349, 0, -0.0222944439490931, -0.105069188981796, 0.0827747450327032, 41.901090909091, 41.3002795698924, 41.9089645909647, 42.3202080761771
