Date,ITA_Open,ITA_High,ITA_Low,ITA_Close,ITA_Volume,ITA_ATRPercentOfClose20,ITA_SQN25,ITA_SQN50,ITA_SQN100,ITA_SQN200,ITA_MACD,ITA_MACD_Avg,ITA_MACD_Diff,ITA_LinReg10,ITA_LinReg30,ITA_LinReg90,ITA_LinReg270
8/11/2017, 167.38, 168.29, 166.83, 167.3, 389460, 0.885947166467718, 2.0408582006214, 1.33289327087615, 1.89026545112599, 0, 1.98436303364764, 2.03849270404655, -0.0541296703989129, 168.396727272736, 168.872580645163, 166.608017094018, 164.838129032258
8/14/2017, 168.76, 169.01, 168.1, 168.87, 217624, 0.884455574717514, 2.2417111005236, 1.38686620825476, 2.02842107927763, 0, 2.00448756362749, 2.03169167596274, -0.027204112335248, 168.482545454554, 169.065161290325, 166.872539682541, 165.088868486353
8/15/2017, 169.42, 169.61, 167.85, 168.26, 194101, 0.89557893888874, 1.8096651971816, 1.55756637027688, 1.95843850567553, 0, 1.94875051374132, 2.01510344351846, -0.066352929777139, 168.3030909091, 169.172688172045, 167.117113553114, 165.318057324841
8/16/2017, 168.32, 168.84, 167.97, 168.16, 151571, 0.877174159399075, 1.57593517079372, 1.80677822640736, 2.16217365393208, 0, 1.87489669387332, 1.98706209358943, -0.112165399716105, 168.126000000009, 169.309591397852, 167.368774114775, 165.539176005805
8/17/2017, 168, 168.03, 165.76, 165.76, 221506, 0.917774651980701, 0.831461047659929, 1.37808916481207, 1.90241751590226, 0, 1.60421467894685, 1.91049261066091, -0.306277931714067, 167.278181818191, 169.004946236561, 167.505247863249, 165.694771913065
8/18/2017, 165.74, 166.2, 164.9, 165.61, 186811, 0.911924461063371, 0.604265070467134, 1.17691392664409, 1.73811428034972, 0, 1.36189441450077, 1.80077297142888, -0.438878556928116, 166.520363636373, 168.752258064518, 167.645865689867, 165.842757075472
8/21/2017, 165.65, 166, 164.85, 165.72, 440222, 0.900450274540609, 0.608488852813965, 1.15353671312634, 1.76874889952226, 0, 1.16529711996893, 1.67367780113689, -0.508380681167966, 166.046727272736, 168.504107526884, 167.731953601955, 165.989783385094
8/22/2017, 166.75, 167.76, 166.22, 167.63, 325620, 0.906529192400085, 1.1352153322984, 1.49131940385258, 1.83310724661606, 0, 1.15035283371216, 1.56901280765195, -0.418659973939784, 166.347272727282, 168.521827956991, 167.870070818072, 166.180184034967
8/23/2017, 167.5, 167.66, 166.64, 167.06, 247111, 0.894669065580779, 0.743289903743342, 1.27566722652139, 1.84648104824899, 0, 1.08006482785615, 1.47122321169279, -0.391158383836639, 166.510181818191, 168.481118279572, 168.011345543346, 166.3520919488
8/24/2017, 167.19, 167.81, 166.52, 167.1, 235753, 0.888331797672823, 0.802968927647876, 1.26185935647644, 1.91326475711929, 0, 1.01587832950338, 1.38015423525491, -0.364275905751526, 166.462727272737, 168.398150537637, 168.135155067156, 166.5208454287
8/25/2017, 167.5, 167.95, 166.9, 166.98, 122246, 0.875962577683388, 0.664918412694196, 1.19577942914725, 1.84165246731149, 0, 0.944440151825233, 1.29301141856897, -0.348571266743738, 166.435636363646, 168.326688172045, 168.243374847376, 166.682662971175
8/28/2017, 167.47, 167.49, 166.56, 166.66, 192019, 0.861663384498341, 0.522468035938554, 1.20951941709373, 1.97703703566666, 0, 0.852180153338622, 1.2048451655229, -0.352665012184279, 166.629454545464, 168.195139784948, 168.349882783884, 166.832927345747
8/29/2017, 166.9, 169.07, 166.75, 169.06, 261873, 0.878236003060859, 0.917944891421829, 1.32002948037138, 2.06044955769462, 0, 0.961638215454968, 1.15620377550931, -0.194565560054347, 167.650909090919, 168.299268817206, 168.56685958486, 167.036902820865
8/30/2017, 169.65, 170, 169.2, 170, 702053, 0.857357939668208, 1.08502099022222, 1.65356601246369, 2.03048612176771, 0, 1.11142287135291, 1.14724759467803, -0.0358247233251205, 168.933454545464, 168.566559139787, 168.856632478633, 167.258494439692
8/31/2017, 170.57, 171.12, 170.28, 170.96, 263847, 0.84267259742873, 1.31953001852831, 1.87938615953758, 2.09822526564165, 0, 1.29269093085867, 1.17633626191416, 0.116354668944507, 169.967272727282, 168.900537634411, 169.183748473749, 167.497704282897
