Date,IJS_Open,IJS_High,IJS_Low,IJS_Close,IJS_Volume,IJS_ATRPercentOfClose20,IJS_SQN25,IJS_SQN50,IJS_SQN100,IJS_SQN200,IJS_MACD,IJS_MACD_Avg,IJS_MACD_Diff,IJS_LinReg10,IJS_LinReg30,IJS_LinReg90,IJS_LinReg270
4/7/2017, 135.66, 136.35, 135.21, 135.89, 217959, 1.35480885485515, -0.746448583329933, -0.429138469215482, 0, 0, -0.854703762614065, -0.836385817395718, -0.0183179452183472, 135.864727272727, 135.153354838709, 137.085004389816, 137.085004389816
4/10/2017, 135.94, 137.44, 135.7, 136.63, 211881, 1.34377315759316, -0.416275265656627, -0.272303151615955, 0, 0, -0.775374823690413, -0.824183618654657, 0.0488087949642438, 135.716545454545, 135.326043010752, 137.005179028133, 137.005179028133
4/11/2017, 136.12, 137.8, 135.84, 137.78, 314571, 1.33705719404744, -0.0454091105344811, 0.0973412990330888, 0, 0, -0.612648449050056, -0.781876584733737, 0.169228135683681, 136.135999999999, 135.52129032258, 136.994964803313, 136.994964803313
4/12/2017, 137.5, 137.5, 135.54, 135.69, 151020, 1.37231006843587, -0.222443988445942, -0.266350883681069, 0, 0, -0.644898173203046, -0.754480902427599, 0.109582729224553, 135.873999999999, 135.638236559139, 136.868732394366, 136.868732394366
4/13/2017, 135.48, 135.77, 133.9, 134.12, 240873, 1.38866921806412, -0.326319348825723, -0.417679839422263, 0, 0, -0.788057949411751, -0.761196311824429, -0.026861637587322, 135.38709090909, 135.507591397849, 136.662394366197, 136.662394366197
4/17/2017, 134.35, 135.63, 134, 135.56, 187977, 1.36534301969919, -0.198429352715784, -0.179845259978699, 0, 0, -0.776367654995084, -0.76423058045856, -0.0121370745365241, 135.694181818181, 135.560967741935, 136.544672754947, 136.544672754947
4/18/2017, 134.9, 135.9, 134.55, 135.77, 159200, 1.34478607028726, -0.216252773798989, -0.405104447737151, 0, 0, -0.741608961021967, -0.759706256571242, 0.0180972955492745, 135.692363636363, 135.584623655914, 136.444179933358, 136.444179933358
4/19/2017, 136.03, 137.3, 136.03, 136.4, 156332, 1.32773111821669, -0.071225470574552, -0.190910413480991, 0, 0, -0.655668571601211, -0.738898719577236, 0.0832301479760245, 135.927272727272, 135.635849462365, 136.382140540541, 136.382140540541
4/20/2017, 136.95, 138.44, 136.84, 138.34, 239398, 1.31738758347924, -0.0774740121701767, 0.0960289361650042, 0, 0, -0.42610651639572, -0.676340278940933, 0.250233762545213, 136.536363636362, 135.88217204301, 136.424775438597, 136.424775438597
4/21/2017, 138.03, 138.25, 137.24, 137.76, 248987, 1.2967118785104, -0.21621032217777, 0.0594220657725139, 0, 0, -0.28766209688834, -0.598604642530414, 0.310942545642074, 137.03709090909, 135.989268817204, 136.435933014354, 136.435933014354
4/24/2017, 139.7, 139.81, 138.97, 139.37, 135099, 1.29119090883556, -0.0533879816287439, -0.0135350757059464, 0, 0, -0.0474829978795697, -0.488380313600245, 0.440897315720676, 137.964363636362, 136.335741935483, 136.528991008991, 136.528991008991
4/25/2017, 140.32, 141.29, 140.32, 140.57, 128009, 1.2844533905968, 0.252773367109343, -0.0153734145502717, 0, 0, 0.236959122402283, -0.34331242639974, 0.580271548802022, 139.264363636362, 136.841440860215, 136.678659526128, 136.678659526128
4/26/2017, 140.55, 142.4, 140.55, 141.59, 128262, 1.27676977512806, 1.01291005621552, 0.0871463022196924, 0, 0, 0.538479767951856, -0.166953987529421, 0.705433755481276, 140.931818181817, 137.433913978494, 136.872800632912, 136.872800632912
4/27/2017, 141.83, 142.11, 140.88, 141.42, 97038, 1.25787682673853, 1.0737289716011, 0.0192197029508552, 0, 0, 0.755016116824578, 0.0174400333413791, 0.737576083483199, 141.914727272726, 138.108129032258, 137.050527777778, 137.050527777778
4/28/2017, 141.48, 141.48, 139.36, 139.36, 186385, 1.28870905421566, 0.531712381746076, -0.292493486177203, 0, 0, 0.751732445806624, 0.164298515834428, 0.587433929972196, 141.559454545453, 138.529548387096, 137.121087021981, 137.121087021981
5/1/2017, 139.79, 140.29, 138.83, 139.72, 126826, 1.27336651235128, 0.743821221597477, -0.191527618665322, 0, 0, 0.76931096628195, 0.285301005923932, 0.484009960358017, 141.330727272726, 139.03217204301, 137.206168086982, 137.206168086982
5/2/2017, 139.68, 140.28, 138.96, 139.37, 258482, 1.26009206178112, 0.660164269031988, -0.204870533801702, 0, 0, 0.746396006924641, 0.377520006124074, 0.368876000800567, 140.79618181818, 139.428344086021, 137.271376936317, 137.271376936317
5/3/2017, 138.72, 139.14, 137.94, 138.54, 343441, 1.25586891235681, 0.337225821372805, -0.432203595382142, 0, 0, 0.653725927577199, 0.432761190414699, 0.2209647371625, 139.904545454544, 139.490623655914, 137.295296918768, 137.295296918768
5/4/2017, 138.84, 139.1, 137.29, 138.19, 246339, 1.26158676577189, 0.195972278777484, -0.411240890745039, 0, 0, 0.545751068514903, 0.45535916603474, 0.0903919024801632, 139.163272727271, 139.456731182795, 137.302268125855, 137.302268125855
