Date,EFG_Open,EFG_High,EFG_Low,EFG_Close,EFG_Volume,EFG_ATRPercentOfClose20,EFG_SQN25,EFG_SQN50,EFG_SQN100,EFG_SQN200,EFG_MACD,EFG_MACD_Avg,EFG_MACD_Diff,EFG_LinReg10,EFG_LinReg30,EFG_LinReg90,EFG_LinReg270
8/14/2017, 75.2, 75.36, 75.12, 75.25, 81404, 0.655951255577949, 1.03559405898966, -0.373707245484704, 1.60111409899176, 0, 0.152867742523313, 0.29624725049728, -0.143379507973967, 75.0141818181814, 76.2062150537616, 76.5856776556779, 77.2811861042185
8/15/2017, 75.23, 75.23, 74.91, 75.17, 90222, 0.646432291913378, 0.935617318893037, -0.30367004143332, 1.5350631626252, 0, 0.119344913226982, 0.26086678304322, -0.141521869816238, 74.9101818181814, 76.1305376344068, 76.5431892551895, 77.3069214437368
8/16/2017, 75.33, 75.75, 75.28, 75.71, 111932, 0.648034600633631, 0.837214373180446, -0.0220691893848987, 1.57665320888138, 0, 0.134797455365458, 0.235652917507668, -0.10085546214221, 75.0192727272722, 76.1138924731165, 76.5191159951163, 77.345462388132
8/17/2017, 75.48, 75.62, 74.93, 74.98, 122773, 0.673640499243445, 0.272425157685889, -0.228042679130502, 1.33585230742956, 0, 0.0871343763529779, 0.20594920927673, -0.118814832923752, 74.9192727272723, 75.95698924731, 76.4579633699637, 77.3645999522332
8/18/2017, 75.03, 75.16, 74.87, 74.96, 124759, 0.659472870885936, -0.0680540084759524, -0.130351729212667, 1.27425503639891, 0, 0.0472030822394629, 0.174199983869276, -0.126996901629813, 74.901454545454, 75.7892688172025, 76.3995091575095, 77.3825746855347
8/21/2017, 75.08, 75.16, 74.85, 75.07, 78320, 0.646228614380303, 0.063033007444189, 0.00451295031429489, 1.3000336184084, 0, 0.0241548822104818, 0.144190963537517, -0.120036081327036, 74.997454545454, 75.6390107526863, 76.3441514041517, 77.4026405279504
8/22/2017, 75.35, 75.58, 75.16, 75.58, 99209, 0.64351366733862, 0.291091209922079, 0.304147102003666, 1.4925384022038, 0, 0.0465056670058885, 0.124653904231192, -0.0781482372253031, 75.2450909090904, 75.5490107526863, 76.3002564102567, 77.4345870715437
8/23/2017, 75.35, 75.53, 75.26, 75.51, 64210, 0.633093958794599, 0.0508634042846072, 0.0760080212119051, 1.4861272724156, 0, 0.0579029409395275, 0.111303711572859, -0.0534007706333313, 75.4616363636358, 75.4883010752669, 76.2578705738709, 77.4638991138379
8/24/2017, 75.56, 75.62, 75.35, 75.36, 107205, 0.620550405880457, -0.207469963334801, 0.0138029536774844, 1.43188218286838, 0, 0.0542067545235625, 0.0998843201629996, -0.0456775656394371, 75.4378181818176, 75.4134838709658, 76.1985152625157, 77.4887049229389
8/25/2017, 75.63, 75.99, 75.56, 75.83, 135650, 0.627409266224366, 0.164920948723087, 0.388806527341892, 1.51675073869754, 0, 0.0881860186760264, 0.0975446598656049, -0.00935864118957855, 75.545454545454, 75.4327526881701, 76.1494188034193, 77.52411308204
8/28/2017, 75.9, 75.94, 75.77, 75.81, 111200, 0.607408289472418, 0.299543416027232, 0.158639384613193, 1.58493219533089, 0, 0.112207538810566, 0.100477235654597, 0.0117303031559686, 75.6887272727267, 75.4367741935464, 76.1046202686207, 77.5580664476088
8/29/2017, 75.49, 75.72, 75.42, 75.58, 80205, 0.604594354374951, 0.182261572663395, -0.0314567124677179, 1.54407469385797, 0, 0.111401521379676, 0.102662092799613, 0.00873942858006328, 75.7059999999994, 75.4122580645142, 76.0430622710628, 77.5855905057356
8/30/2017, 75.48, 75.54, 75.38, 75.49, 68853, 0.588296188084195, -0.135615920617798, 0.515689182460993, 1.53285383397662, 0, 0.102321006054851, 0.10259387545066, -0.000272869395809741, 75.7778181818176, 75.3976989247293, 76.0078485958491, 77.6101817792987
8/31/2017, 75.83, 76.18, 75.66, 76.13, 94869, 0.599500266341155, 0.246212741586425, 0.731991973225543, 1.67178013149113, 0, 0.14509472189944, 0.111094044740416, 0.0340006771590237, 75.9367272727267, 75.4846881720411, 76.0067643467648, 77.6491462383771
9/1/2017, 76.43, 76.5, 76.22, 76.31, 85222, 0.592425075517292, 0.388909830032964, 0.819568631631258, 1.62883126514364, 0, 0.191312365687651, 0.127137708929863, 0.0641746567577875, 76.0910909090903, 75.5787311827937, 76.0066520146525, 77.6913136094676
9/5/2017, 76.07, 76.2, 75.55, 75.83, 101919, 0.616478433826828, 0.0951446016910428, 0.516329668146911, 1.48334014740641, 0, 0.187051974174864, 0.139120561978863, 0.0479314121960004, 76.0279999999994, 75.5896344086002, 75.9884126984132, 77.7212074303407
9/6/2017, 76.21, 76.45, 76.13, 76.31, 125408, 0.622594439198453, 0.139563043011036, 0.638911088702206, 1.66876631626486, 0, 0.219873012457711, 0.155271052074633, 0.0646019603830781, 76.1912727272721, 75.6566236559121, 75.985240537241, 77.7614096287231
9/7/2017, 76.94, 77, 76.77, 76.97, 119526, 0.631215701864002, 0.504838032139494, 0.899016457973868, 1.70722146222379, 0, 0.295731398434796, 0.183363121346666, 0.112368277088131, 76.5287272727267, 75.8326451612884, 76.0116678876684, 77.8158031993549
9/8/2017, 77.19, 77.25, 77.04, 77.1, 84360, 0.616802061528517, 0.49455615546084, 0.834553720020902, 1.8115033352415, 0, 0.362164818805041, 0.219123460838341, 0.143041357966701, 76.8014545454539, 76.0132903225787, 76.0508498168503, 77.8718736296593
9/11/2017, 77.57, 77.72, 77.45, 77.61, 86238, 0.622054722286512, 0.655344383518418, 1.49215633587378, 1.99039088654695, 0, 0.450770321160022, 0.265452832902677, 0.185317488257345, 77.2494545454539, 76.2435483870948, 76.105660561661, 77.9382390804599
9/12/2017, 77.72, 77.74, 77.57, 77.68, 80503, 0.601361787420487, 0.673690236888359, 1.47485990271664, 1.90233931673364, 0, 0.520637648404986, 0.316489796003139, 0.204147852401847, 77.6205454545448, 76.4743870967723, 76.1752796092801, 78.0046655844157
9/13/2017, 77.48, 77.49, 77.12, 77.13, 89785, 0.611669836178948, 0.624341388577173, 1.34284109267727, 1.78900134830259, 0, 0.525569170908526, 0.358305670984216, 0.167263499924309, 77.6536363636357, 76.6484731182777, 76.2310744810749, 78.0571802773499
9/14/2017, 77.07, 77.3, 77.06, 77.23, 178963, 0.59587193760531, 0.719314006491444, 1.38104288924645, 1.53509445593536, 0, 0.531420715081879, 0.392928679803749, 0.13849203527813, 77.6187272727266, 76.8210107526862, 76.2789816849822, 78.1107001840921
9/15/2017, 77.31, 77.43, 77.25, 77.4, 67697, 0.5777549128449, 1.47562721705586, 1.69768811461357, 1.47302333709245, 0, 0.543510435273731, 0.423045030897745, 0.120465404375986, 77.6756363636357, 77.0168602150518, 76.3305616605621, 78.1667604042434
9/18/2017, 77.57, 77.68, 77.35, 77.52, 111986, 0.569302357346305, 1.53068839520509, 1.72370661867141, 1.54521040190769, 0, 0.556361236731462, 0.449708272064489, 0.106652964666973, 77.7407272727266, 77.2288817204281, 76.3868156288161, 78.2241899441342
9/19/2017, 77.76, 77.8, 77.59, 77.74, 59246, 0.557315446416404, 1.39855214200359, 1.7191794165663, 1.52427266991331, 0, 0.577639087027606, 0.475294435057112, 0.102344651970494, 77.7198181818175, 77.462559139783, 76.4463369963374, 78.2851589932475
9/20/2017, 77.73, 77.94, 77.16, 77.54, 88033, 0.581111912099442, 1.32310568367227, 1.59565663573452, 1.50903553959105, 0, 0.571772569886107, 0.494590062022911, 0.0771825078631962, 77.6216363636357, 77.6313763440841, 76.5045030525035, 78.3403752049057
9/21/2017, 77.17, 77.34, 77.01, 77.26, 81336, 0.588356805345343, 0.88016490575503, 1.21467108620756, 1.38942952946116, 0, 0.538324186713851, 0.503336886961099, 0.0349872997527517, 77.4916363636357, 77.7469032258044, 76.5529890109895, 78.3882363538102
9/22/2017, 77.41, 77.48, 77.25, 77.37, 97107, 0.573007941604396, 1.52286055726697, 1.18134195681477, 1.29790445453308, 0, 0.514758368710375, 0.505621183310954, 0.00913718539942043, 77.4098181818176, 77.7997849462345, 76.6147863247868, 78.4373776431458
9/25/2017, 77.16, 77.28, 76.82, 77, 86503, 0.582687574283579, 1.25751046296642, 0.79558040366405, 1.24021746589996, 0, 0.460913259235156, 0.496679598495795, -0.0357663392606389, 77.2874545454539, 77.7899569892452, 76.6443101343105, 78.477418331375
9/26/2017, 76.76, 76.82, 76.51, 76.76, 78358, 0.587201616191295, 1.02651088983217, 0.745064219390479, 1.01307436068788, 0, 0.394329048002604, 0.476209488397156, -0.0818804403945528, 77.1294545454539, 77.7690967741914, 76.6641709401714, 78.5113670444639
9/27/2017, 76.45, 76.85, 76.31, 76.75, 154220, 0.593093371412398, 0.738649881626469, 0.703795391425672, 0.860992483754761, 0, 0.336870431817516, 0.448341677081228, -0.111471245263712, 76.9081818181812, 77.7318924731161, 76.6989304029308, 78.5442774998563
9/28/2017, 76.76, 77.08, 76.71, 76.98, 79515, 0.585787483022948, 0.921828402015822, 0.64805675486362, 1.03486838605267, 0, 0.306361596552094, 0.419945660975401, -0.113584064423308, 76.8070909090903, 77.7496774193527, 76.7469987789993, 78.5812680623508
9/29/2017, 77.16, 77.51, 76.98, 77.39, 72371, 0.587792019911503, 1.25221201933725, 0.68263176791597, 1.13965386940796, 0, 0.311673915400519, 0.398291311860425, -0.0866173964599062, 76.8952727272721, 77.7626236559118, 76.8095702075706, 78.6260418777441
10/2/2017, 77.24, 77.5, 77.24, 77.45, 397139, 0.574754850870286, 1.02887786810731, 0.792590157251558, 1.12338593227721, 0, 0.317070473866934, 0.382047144261727, -0.0649766703947926, 77.0287272727266, 77.7663010752667, 76.8754310134315, 78.6710665552772
10/3/2017, 77.51, 77.75, 77.49, 77.67, 75967, 0.56378299266008, 1.17524450782103, 0.994279174955279, 1.21393015398487, 0, 0.335235065555821, 0.372684728520546, -0.0374496629647246, 77.2859999999994, 77.7891612903204, 76.9502857142861, 78.7196786993664
10/4/2017, 77.7, 77.86, 77.67, 77.78, 125045, 0.547050318692633, 1.41656216270444, 1.04726426016897, 1.12076719213199, 0, 0.354421169408297, 0.369032016698096, -0.0146108472897987, 77.5450909090903, 77.8432043010731, 77.0260976800981, 78.7695091623038
